% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 22 2022, 17:30
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5302161910820606       -0.7509929861734508
330000000                0.45782240631515525      -0.7952634960610292
360000000                0.38190254690927966      -0.8327326021498049
390000000                0.30306417785864037      -0.8631104280513949
420000000                0.22194539460164206      -0.8861621133075941
450000000                0.1392082017961913       -0.9017110205470399
480000000                0.05553205453812904      -0.9096411752279634
510000000                -0.02839253138437883     -0.9098990085788725
540000000                -0.11187033710036971     -0.9024944413467774
570000000                -0.19420776876004275     -0.8875013284702992
600000000                -0.2747191372236388      -0.8650572765243845
630000000                -0.35273285710777813     -0.8353628427828792
660000000                -0.42759752304596194     -0.7986801253725121
690000000                -0.49868781590163436     -0.7553307565245048
720000000                -0.5654101874636052      -0.7056933151825105
750000000                -0.6272082703284348      -0.6502001804815077
780000000                -0.6835679599614908      -0.5893338529747835
810000000                -0.7340221163163063      -0.5236227768422256
840000000                -0.7781548351250986      -0.4536367021878476
870000000                -0.8156052422660335      -0.3799816324420981
900000000                -0.8460707691053051      -0.3032944073903868
930000000                -0.8693098720246728      -0.2242369773888413
960000000                -0.8851441655117753      -0.14349042865982298
990000000                -0.893459945063524       -0.06174882300552009
1020000000               -0.8942090834358659      0.020287082041702525
1050000000               -0.8874092915304497      0.10191616503704448
1080000000               -0.8731437430943857      0.18244325616907614
1110000000               -0.8515600703760011      0.26118536890766814
1140000000               -0.822868745670382       0.3374777814792837
1170000000               -0.7873408712415485      0.41067990455028003
1200000000               -0.7453054071174647      0.48018087504032725
1230000000               -0.6971458728394746      0.5454048201553747
1260000000               -0.6432965649083191      0.6058157411322362
1290000000               -0.5842383367578178      0.6609219717001947
1320000000               -0.520493992226506       0.7102801725817174
1350000000               -0.4526233465451688      0.7534988301137565
1380000000               -0.3812180113589295      0.7902412336244895
1410000000               -0.3068959614428855      0.8202279132923906
1440000000               -0.23029594136872966     0.8432385268886998
1470000000               -0.15207176977962505     0.8591131904899678
1500000000               -0.07288659800324453     0.8677532544320011
1530000000               0.006592822507289498     0.8691215317752339
1560000000               0.08570181159609565      0.8632419918353975
1590000000               0.16378332168935916      0.8501989362531133
1620000000               0.24019334313643378      0.8301356792988946
1650000000               0.3143061116894725       0.8032527577889964
1680000000               0.38551908006602886      0.7698056990355074
1710000000               0.45325761950232923      0.7301023777534764
1740000000               0.5169794214496556       0.6844999947005239
1770000000               0.5761785733265875       0.6334017113045713
1800000000               0.630389286360483        0.5772529753821558
1830000000               0.6791892571390264       0.5165375736316926
1860000000               0.7222026481863804       0.45177344669031894
1890000000               0.759102676170657        0.38350830249464923
1920000000               0.7896137997500049       0.3123150630524527
1950000000               0.813513501952503        0.23878717935557112
1980000000               0.8306336652048888       0.16353384785824374
2010000000               0.8408615399235381       0.08717516075023142
2040000000               0.8441403104721783       0.010337220158981772
2070000000               0.8404692648115735       -0.0663527565652221
2100000000               0.8299035758810309       -0.14227131760008763
2130000000               0.8125537025156313       -0.21680362674912734
2.16E9                   0.7885844133630379       -0.2893482737368386
2.19E9                   0.7582134257116544       -0.35932204271634127
2.22E9                   0.7217096291313884       -0.4261646377688658
2.25E9                   0.6793908321842435       -0.4893433468839854
2.28E9                   0.6316209423415935       -0.548357574522038
2.31E9                   0.5788064997310578       -0.6027430806657483
2.34E9                   0.5213925851383584       -0.6520756635313548
2.37E9                   0.45985832919731107      -0.695974009557995
2.4E9                    0.3947124650375205       -0.7341016216480302
2.43E9                   0.326489374823367        -0.76616810519545
2.46E9                   0.25574574712352355      -0.7919303827283621
2.49E9                   0.18305747918640025      -0.8111943173217308
2.52E9                   0.10901623116313477      -0.8238167766686868
2.55E9                   0.0342252419235777       -0.8297077421325973
2.58E9                   -0.04070558399838653     -0.8288319702167133
2.61E9                   -0.1151650387983521      -0.8212099052331535
2.64E9                   -0.18854610655427104     -0.8069177873691787
2.67E9                   -0.2602513731249229      -0.7860870445397404
2.7E9                    -0.3296982442621828      -0.7589030887126766
2.73E9                   -0.3963239342830435      -0.7256036121625464
2.76E9                   -0.45959021395974553     -0.6864764433513216
2.79E9                   -0.5189879080051265      -0.6418569965358782
2.82E9                   -0.5740411255710183      -0.5921253366716279
2.85E9                   -0.6243111995746726      -0.5377028781266187
2.88E9                   -0.6694003056478492      -0.47904873788759644
2.91E9                   -0.7089547292580426      -0.41665576848063096
2.94E9                   -0.7426677498447432      -0.3510463010007141
2.97E9                   -0.7702821128554955      -0.2827676336274593
3.0E9                    -0.7915920639101085      -0.2123873055341343
3.03E9                   -0.8064449236809905      -0.14048819973577742
3.06E9                   -0.8147421869955468      -0.06766352152793927
3.09E9                   -0.8164401352158089      0.005488298854131156
3.12E9                   -0.811549956685095       0.07836872949317153
3.15E9                   -0.8001373759491234      0.15038423571736825
3.18E9                   -0.782321798286158       0.22095130535912433
3.21E9                   -0.7582749815951468      0.2895013522585595
3.24E9                   -0.7282192527057966      0.35548545253388075
3.27E9                   -0.6924252894976646      0.41837887085298436
3.3E9                    -0.6512094938373519      0.47768533711996697
3.33E9                   -0.6049309832024413      0.5329410372469103
3.36E9                   -0.5539882313053682      0.5837182845062716
3.39E9                   -0.49881539016618465     0.6296288405892109
3.42E9                   -0.4398783284249954      0.6703268576479913
3.45E9                   -0.3776704234292478      0.7055114146571011
3.48E9                   -0.3127081482478731      0.734928623638331
3.51E9                   -0.24552649900962464     0.758373284478554
3.54E9                   -0.1766743129221597      0.7756900716400578
3.57E9                   -0.10670953185013055     0.7867742428612333
3.6E9                    -0.03619446959840431     0.791571868892817
3.63E9                   0.03430885836894326      0.7900795939004392
3.66E9                   0.10424328668270988      0.7823439470792523
3.69E9                   0.1730608830864572       0.768460235719608
3.72E9                   0.24022712040470148      0.7485710574310999
3.75E9                   0.30522480409369646      0.7228644743665567
3.78E9                   0.3675577312061446       0.691571895792805
3.81E9                   0.42675406695399654      0.6549657175415238
3.84E9                   0.4823694370693538       0.6133567668091078
3.87E9                   0.5339897477533383       0.5670915961432634
3.9E9                    0.5812337571620939       0.5165496592488205
3.93E9                   0.6237554286952612       0.4621403837925736
3.96E9                   0.6612460927520409       0.40430013662443093
3.99E9                   0.693436429403063        0.34348906112002836
4.02E9                   0.7200982633174604       0.2801877606371912
4.05E9                   0.7410461411224063       0.214893808877568
4.08E9                   0.7561386471544648       0.14811808484489142
4.11E9                   0.7652794102179439       0.08038095168202922
4.14E9                   0.7684177616265182       0.012208318162991219
4.17E9                   0.765549020050925        -0.055872365594308006
4.2E9                    0.7567143967128896       -0.12333612292288376
4.23E9                   0.7420005305352974       -0.18966442501032377
4.26E9                   0.7215386736580005       -0.25434908401920886
4.29E9                   0.6955035519097547       -0.316896035977904
4.32E9                   0.6641119229496657       -0.3768289946898409
4.35E9                   0.627620849140833        -0.4336929640874867
4.38E9                   0.5863256957230151       -0.48705759760610196
4.41E9                   0.54055786022307         -0.5365203902386616
4.44E9                   0.4906822378071851       -0.581709683907213
4.47E9                   0.43709442950687         -0.6222874618958768
4.5E9                    0.3802177051910345       -0.6579519047768921
4.53E9                   0.3204997393572372       -0.6884396794744766
