% Model:              cali 2.99 1.02mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 21 2022, 19:11
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.40235283102118713      -0.7488349131861747
330000000                0.3221727679276116       -0.7837629631974775
360000000                0.2392087991978599       -0.8103159883035996
390000000                0.15431031029059403      -0.8282730822605354
420000000                0.06834815183691294      -0.8375037788195219
450000000                -0.017796744679769282    -0.8379689972182794
480000000                -0.10324413611493598     -0.8297209236518681
510000000                -0.18712473431383927     -0.8129018480566412
540000000                -0.2685899927769195      -0.7877419895272535
570000000                -0.34682139019733765     -0.7545563552484555
600000000                -0.42103916367768845     -0.7137406878205914
630000000                -0.4905104340909633      -0.6657665650613139
660000000                -0.5545566632170187      -0.611175724572788
690000000                -0.6125603844888616      -0.5505736927276624
720000000                -0.663971154216746       -0.4846228041939867
750000000                -0.7083106777697886      -0.4140347035375458
780000000                -0.7451770740819206      -0.3395624248090941
810000000                -0.7742482519349297      -0.2619921485745113
840000000                -0.7952843827557106      -0.18213473808350952
870000000                -0.8081294668181759      -0.1008171578145709
900000000                -0.8127120035722926      -0.018873877843561926
930000000                -0.8090447927816968      0.06286163376396119
960000000                -0.7972239127349953      0.1435652320104529
990000000                -0.7774269471661249      0.22243014041109516
1020000000               -0.7499105657685796      0.2986746524077362
1050000000               -0.7150076049479103      0.371549466360079
1080000000               -0.6731238362364785      0.44034472834770244
1110000000               -0.6247346090524881      0.5043970451559603
1140000000               -0.5703813930377127      0.5630970438714471
1170000000               -0.5106676613499955      0.6158984125011426
1200000000               -0.4462522113349612      0.6623292449089587
1230000000               -0.37783619798817725     0.7020045873679169
1260000000               -0.30614057429062663     0.7346340363004715
1290000000               -0.23187850695389117     0.7600135702980929
1320000000               -0.15574046729120408     0.7779984230379621
1350000000               -0.07840725490629233     0.7884761544000491
1380000000               -5.779702786464114E-4    0.7913659770031045
1410000000               0.07701693508453573      0.786642788407275
1440000000               0.15362709315956347      0.774361155884062
1470000000               0.22850437134988122      0.7546640786159329
1500000000               0.3009220148894917       0.7277792552718487
1530000000               0.37018708024703617      0.6940106767603954
1560000000               0.43564801108834283      0.653730151416571
1590000000               0.4966997715231813       0.6073699991421967
1620000000               0.5527879620334278       0.5554167092309258
1650000000               0.6034125069087122       0.49840509023106216
1680000000               0.6481310791780331       0.4369125520464723
1710000000               0.686562270732043        0.3715533053872513
1740000000               0.7183884736428887       0.30297235143960916
1770000000               0.7433584267029787       0.23183916288044293
1800000000               0.7612893492915092       0.15884094656782385
1830000000               0.7720684990863482       0.08467536439718605
1860000000               0.7756538371540593       0.010042635870939502
1890000000               0.7720733084237218       -0.06436285223364407
1920000000               0.7614222100057948       -0.1378608789881208
1950000000               0.7438584966058749       -0.20979258481693863
1980000000               0.7195968028819305       -0.27952527235030367
2010000000               0.6889030090476521       -0.3464543301063125
2040000000               0.6520912760122113       -0.41000346561608086
2070000000               0.6095239806977588       -0.46962574698824194
2100000000               0.5616128508819678       -0.5248074962618177
2130000000               0.5088186913107065       -0.5750750850862126
2.16E9                   0.45164803747750004      -0.6200029010604159
2.19E9                   0.390646744219054        -0.6592204005909078
2.22E9                   0.32639161438127573      -0.6924169238266031
2.25E9                   0.25948140737086955      -0.7193438924493264
2.28E9                   0.19052833586062867      -0.7398146492329462
2.31E9                   0.12015082153506979      -0.7537025489135835
2.34E9                   0.04896792383103357      -0.7609381118391181
2.37E9                   -0.022404554370028685    -0.7615061255647255
2.4E9                    -0.09335671131499926     -0.7554434540263886
2.43E9                   -0.16328668808851976     -0.7428379632402492
2.46E9                   -0.23160312394886626     -0.7238284970252767
2.49E9                   -0.29772853271352206     -0.6986054209633762
2.52E9                   -0.3611038290459604      -0.6674110483320623
2.55E9                   -0.4211938532559851      -0.6305392982443592
2.58E9                   -0.47749348411002446     -0.5883341331578303
2.61E9                   -0.529533817832475       -0.541186566927113
2.64E9                   -0.5768878851466476      -0.4895302522021019
2.67E9                   -0.6191754226528445      -0.4338358362113797
2.7E9                    -0.6560662923226297      -0.3746044419834267
2.73E9                   -0.6872822810875777      -0.31236080091176
2.76E9                   -0.7125972532359545      -0.2476466941785403
2.79E9                   -0.7318359693579719      -0.18101536354460498
2.82E9                   -0.7448722330483807      -0.11302733726123998
2.85E9                   -0.7516272116794891      -0.044247686974023766
2.88E9                   -0.7520686581845684      0.024755765884757724
2.91E9                   -0.7462113442954404      0.09341410863767277
2.94E9                   -0.7341184860625154      0.161159677864966
2.97E9                   -0.7159035463022847      0.22742959078567226
3.0E9                    -0.6917316836129527      0.29167053640614143
