% Model:              cali 2.99 1.02mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 21 2022, 19:22
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.24668498209418763      -0.5451935670261178
330000000                0.183539765318778        -0.5708433144913956
360000000                0.11789833560200567      -0.5892640310313099
390000000                0.050585681528474424     -0.6002299829086062
420000000                -0.0175550939480166      -0.6036098667223699
450000000                -0.08567366206604242     -0.5993678862739994
480000000                -0.15292334561673987     -0.5875635604833455
510000000                -0.21847183568968662     -0.568350283172412
540000000                -0.28151160231522854     -0.5419726735414552
570000000                -0.34126986237066675     -0.5087627736331473
600000000                -0.39701797734202926     -0.4691351650195363
630000000                -0.4480801658931066      -0.42358109136835137
660000000                -0.49384143039958        -0.3726616858250945
690000000                -0.5337546125496928      -0.3170004121669766
720000000                -0.5673465106674628      -0.2572748356927563
750000000                -0.5942230109773162      -0.1942078427287548
780000000                -0.6140732048977707      -0.1285584252431724
810000000                -0.6266724835920631      -0.06111213719499886
840000000                -0.6318846153114953      0.0073286909734975834
870000000                -0.6296628119636827      0.07595492516593055
900000000                -0.6200497641744543      0.14396077314631586
930000000                -0.6031765482381263      0.21055411729951157
960000000                -0.579260170430102       0.2749670166894907
990000000                -0.5485993502588905      0.33646617823981606
1020000000               -0.5115681093213309      0.3943627838207833
1050000000               -0.4686071236094015      0.44802051206586724
1080000000               -0.4202138188453708      0.4968604050130487
1110000000               -0.3669333849922515      0.5403621409266602
1140000000               -0.30935294019916565     0.5780632923019934
1170000000               -0.2480991038535353      0.6095596636046826
1200000000               -0.183836590893295       0.6345089259074734
1230000000               -0.11726470914837056     0.6526370217038435
1260000000               -0.04911038312907987     0.6637448516734487
1290000000               0.019881481173366924     0.6677130141777485
1320000000               0.08895861174359149      0.6645038358696287
1350000000               0.1573716873077544       0.6541610840157088
1380000000               0.22438382198090923      0.6368080973971657
