% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 22 2022, 19:57
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.4223207688753792       -0.7688581081061692
330000000                0.34129858620248366      -0.8043700515468708
360000000                0.25760770976435127      -0.8316567985445046
390000000                0.1720328618067679       -0.850514836745272
420000000                0.08538422675445415      -0.8608182324344975
450000000                -0.0015133439047760435   -0.8625214267388064
480000000                -0.08783048963002678     -0.855660622228811
510000000                -0.17274300902760267     -0.8403539419764038
540000000                -0.2554410917702432      -0.8168004848691292
570000000                -0.33513811699560975     -0.7852783709892487
600000000                -0.4110789915706283      -0.7461418559616377
630000000                -0.4825479863414419      -0.6998175868186611
660000000                -0.5488760205850688      -0.6468000706036778
690000000                -0.6094473434885604      -0.5876464278193516
720000000                -0.6637055619297352      -0.52297050570465
750000000                -0.7111589683183114      -0.4534364290890757
780000000                -0.7513851274105054      -0.37975166969819313
810000000                -0.7840346877651839      -0.3026597175584098
840000000                -0.8088343911445648      -0.22293244012971078
870000000                -0.8255892612479105      -0.14136221633283277
900000000                -0.8341839617602181      -0.05875393304946849
930000000                -0.8345833223153994      0.024083068568881823
960000000                -0.826832039631237       0.10634301074058168
990000000                -0.811053569674667       0.18723157675365
1020000000               -0.7874482348726791      0.2659736075858629
1050000000               -0.7562905782782855      0.34182052020243436
1080000000               -0.7179260039151121      0.4140573748461841
1110000000               -0.6727667493010726      0.48200952383449636
1140000000               -0.6212872422301636      0.5450487803213296
1170000000               -0.5640188992544254      0.602599051858121
1200000000               -0.5015444279465647      0.6541413903676311
1230000000               -0.43449169875835203     0.6992184174334999
1260000000               -0.36352725533110253     0.7374380911282281
1290000000               -0.2893495342230056      0.7684767882191648
1320000000               -0.21268186633205213     0.7920816832348818
1350000000               -0.13426533285490835     0.8080724134079076
1380000000               -0.05485154826383525     0.8163420260501089
1410000000               0.02480455811341873      0.8168572121132638
1440000000               0.10395189219328992      0.8096578367547581
1470000000               0.18185020946815167      0.7948557843538394
1500000000               0.2577769291569098       0.7726331417042624
1530000000               0.33103368731052374      0.7432397489559527
1560000000               0.40095257201021917      0.7069901532387549
1590000000               0.4669019882577363       0.6642600047319686
1620000000               0.5282921049695964       0.6154819393049306
1650000000               0.5845798416651935       0.5611409955842367
1680000000               0.6352733578061681       0.5017696175567334
1710000000               0.6799360133902351       0.43794229646537386
1740000000               0.7181897752249373       0.3702699078274265
1770000000               0.7497180492625273       0.2993938009530152
1800000000               0.774267925513528        0.2259796992527981
1830000000               0.7916518283380566       0.1507114699154265
1860000000               0.8017485713638965       0.07428482115473298
1890000000               0.8045038229237967       -0.0025990159609371732
1920000000               0.799929994814222        -0.07923956639099433
1950000000               0.7881055742481622       -0.1549432996945302
1980000000               0.7691739260246454       -0.22902968296641577
2010000000               0.7433415986303121       -0.3008370614858894
2040000000               0.7108761730395998       -0.36972834337579347
2070000000               0.6721036939048286       -0.4350964829440398
2100000000               0.6274057147842957       -0.49636978243151025
2130000000               0.5772159636976207       -0.5530170618132487
2.16E9                   0.5220165806872924       -0.6045527727423073
2.19E9                   0.4623337824411694       -0.6505421333897269
2.22E9                   0.39873267065971024      -0.6906062901850916
2.25E9                   0.3318107637578802       -0.7244273028029439
2.28E9                   0.2621898268226028       -0.7517523486254154
2.31E9                   0.19050593319030204      -0.7723960287194483
2.34E9                   0.11739860518596218      -0.7862393897847957
2.37E9                   0.043501131711330035     -0.7932248803970225
2.4E9                    -0.030565215818318593    -0.7933482734259629
2.43E9                   -0.10419155268542878     -0.7866507583519206
2.46E9                   -0.17677775355704173     -0.7732149646326797
2.49E9                   -0.2477287488541686      -0.7531665051923652
2.52E9                   -0.3164544682755409      -0.7266792592142691
