% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 22 2022, 19:33
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.44612142336277216      -0.7412986021447403
330000000                0.3704616941777012       -0.7784696668688335
360000000                0.2919509381745938       -0.8081846247453387
390000000                0.2112840489867409       -0.8302160227358257
420000000                0.1291822161905781       -0.8444046008124385
450000000                0.046383755086022306     -0.8506615436077803
480000000                -0.036364469925096544    -0.8489697728958595
510000000                -0.11831520921930211     -0.8393843612859849
540000000                -0.19872865872924736     -0.8220321233209531
570000000                -0.27687997933894276     -0.7971104285738677
600000000                -0.3520664970706605      -0.7648852767905147
630000000                -0.42361455500345224     -0.7256886747659164
660000000                -0.490885980498015       -0.6799153562269117
690000000                -0.553284125302113       -0.6280188890822977
720000000                -0.6102594352489045      -0.5705072181227926
750000000                -0.6613145076860708      -0.5079376948206876
780000000                -0.7060085970717026      -0.440911649898979
810000000                -0.7439615337176315      -0.37006856741185784
840000000                -0.7748570251244014      -0.2960799223555315
870000000                -0.7984453151299707      -0.2196427461759592
900000000                -0.8145451820441725      -0.14147298650126083
930000000                -0.8230452634066329      -0.06229872844636733
960000000                -0.8239047013952077      0.017146654283030194
990000000                -0.8171531097095972      0.09613135067189944
1020000000               -0.8028898692847882      0.17393189885990035
1050000000               -0.7812827667421414      0.24983984233747814
1080000000               -0.752565995797676       0.3231681921926488
1110000000               -0.7170375478357454      0.3932576350426727
1140000000               -0.6750560236014057      0.45948242914397164
1170000000               -0.6270369031813886      0.5212559354164575
1200000000               -0.5734483162714573      0.578035734416007
1230000000               -0.514806359001362       0.6293282851054165
1260000000               -0.45167000728174744     0.6746930865126693
1290000000               -0.3846356798701825      0.7137463087485023
1320000000               -0.31433150680088523     0.7461638656797522
1350000000               -0.24141136082840947     0.7716839073450745
1380000000               -0.16654871071547622     0.7901087162437324
1410000000               -0.09043035610045057     0.80130599748126
1440000000               -0.013750103443869933    0.8052095588798169
1470000000               0.06279755750735401      0.8018193828191778
1500000000               0.13852371897230784      0.791201097467275
1530000000               0.21275120518962876      0.7734848603680576
1560000000               0.2848205532552274       0.7488636727330498
1590000000               0.35409577264531245      0.717591147650136
1620000000               0.4199698347783276       0.679978760066325
1650000000               0.4818698470943744       0.636392610683329
1680000000               0.5392618701032487       0.5872497397503743
1710000000               0.5916553397779485       0.5330140302807876
1740000000               0.6386070622550624       0.47419174318351937
1770000000               0.6797247523170462       0.41132672954947636
1800000000               0.7146700922659737       0.3449953673957764
1830000000               0.74316129304069         0.2758012718121145
1860000000               0.7649751450093789       0.20436982861088554
1890000000               0.7799485519113731       0.13134260187429334
1920000000               0.7879795478528813       0.05737166526536983
1950000000               0.7890278041332959       -0.01688609484330912
1980000000               0.7831146399952402       -0.09077465995668316
2010000000               0.7703225588128799       -0.16364450595111085
2040000000               0.7507943378044204       -0.23485814784777015
2070000000               0.7247317031267357       -0.3037955917736662
2100000000               0.6923936188816147       -0.36985970639347354
2130000000               0.6540942003776608       -0.4324815569154639
2.16E9                   0.6102002170252331       -0.4911257768041177
2.19E9                   0.5611280633790078       -0.5452960682316114
2.22E9                   0.5073399411258078       -0.5945408807253404
2.25E9                   0.4493388373102809       -0.6384591518122039
2.28E9                   0.3876618124211326       -0.6767056356230134
2.31E9                   0.3228713433814907       -0.7089948231936684
2.34E9                   0.25554523584294236      -0.7351020555226588
2.37E9                   0.18626684821098183      -0.7548607396854389
2.4E9                    0.11561827219838144      -0.7681560810322507
2.43E9                   0.044178460688606515     -0.7749179255153545
2.46E9                   -0.027474230463902495    -0.7751163979084211
2.49E9                   -0.09875832548845907     -0.7687625790895126
2.52E9                   -0.16908810824753984     -0.7559133686042115
2.55E9                   -0.2378768810314565      -0.7366774884876179
2.58E9                   -0.30454382396816837     -0.7112197283497128
2.61E9                   -0.3685224183403172      -0.6797621631868909
2.64E9                   -0.429268638948681       -0.6425826016777579
2.67E9                   -0.4862679898179992      -0.6000111864792262
2.7E9                    -0.5390411950189596      -0.552426029824635
2.73E9                   -0.587148725183488       -0.5002484596113498
2.76E9                   -0.6301944272478036      -0.443938159100989
2.79E9                   -0.6678284795027003      -0.3839882990295854
2.82E9                   -0.6997498164625088      -0.32092067338270125
2.85E9                   -0.7257081020516768      -0.25528082189709317
2.88E9                   -0.7455052854911337      -0.18763312267351676
2.91E9                   -0.758996748985855       -0.11855584926572216
2.94E9                   -0.7660920442442807      -0.04863619900554394
2.97E9                   -0.7667552107362327      0.021534689656671244
3.0E9                    -0.7610046691984116      0.0913667048744865
3.03E9                   -0.7489126870061106      0.16027568226392355
3.06E9                   -0.730604416574157       0.2276882435732731
3.09E9                   -0.7062565130941443      0.29304651600392945
3.12E9                   -0.6760953432020553      0.35581269518688385
3.15E9                   -0.640394801046837       0.4154734165459882
3.18E9                   -0.599473752277071       0.4715439026925604
3.21E9                   -0.5536931289478534      0.5235718586549145
3.24E9                   -0.5034526991213488      0.5711410908051793
3.27E9                   -0.44918753376431786     0.6138748288124394
3.3E9                    -0.39136419093114194     0.6514387316040144
3.33E9                   -0.33047663416873263     0.6835435573493922
3.36E9                   -0.2670418999254448      0.7099474735611193
3.39E9                   -0.20159552924067922     0.7304579768415309
3.42E9                   -0.13468678356808947     0.7449333837189169
3.45E9                   -0.06687367455972418     0.7532838463104898
3.48E9                   0.00128214669930955      0.7554718419372127
3.51E9                   0.06922057513818806      0.7515120874611394
3.54E9                   0.13638822351096405      0.7414708399529535
3.57E9                   0.20224347251180141      0.7254645668940293
3.6E9                    0.2662612796278346       0.7036580003467586
3.63E9                   0.3279376285807189       0.6762616258396695
3.66E9                   0.3867935172556795       0.6435286911932592
3.69E9                   0.4423784094190447       0.6057518465500924
3.72E9                   0.4942731083547536       0.5632595415487897
3.75E9                   0.5420920434402742       0.5164123107736556
3.78E9                   0.5854849928845088       0.4655990785523001
3.81E9                   0.6241383014781807       0.4112336098227567
3.84E9                   0.6577756950029965       0.3537512190678798
3.87E9                   0.68615883885597         0.2936058129205108
3.9E9                    0.7090878216986071       0.23126727724122534
3.93E9                   0.7264017444003703       0.16721913221517026
3.96E9                   0.7379795450366782       0.10195629296176967
3.99E9                   0.7437410962760804       0.03598271923305901
4.02E9                   0.7436484968379432       -0.03019125962987755
4.05E9                   0.7377073798070939       -0.09605209583002645
4.08E9                   0.7259680081967116       -0.16108669831927036
4.11E9                   0.7085259349793873       -0.22478656845087325
4.14E9                   0.6855220627993618       -0.2866522444522182
4.17E9                   0.6571420251287017       -0.34619785831817124
4.2E9                    0.6236148991373768       -0.4029556112142368
4.23E9                   0.5852113289378339       -0.4564800133687131
4.26E9                   0.5422411735609256       -0.5063517944076729
4.29E9                   0.49505079537209157      -0.5521814504558106
4.32E9                   0.4440200794192169       -0.5936124391058721
4.35E9                   0.38955923640140355      -0.6303240537708455
4.38E9                   0.3321054065971241       -0.6620340051737146
4.41E9                   0.27211906027645655      -0.6885007176154525
4.44E9                   0.21008018608977147      -0.7095253223378138
4.47E9                   0.14648427016628762      -0.7249533097331874
4.5E9                    0.08183808885936816      -0.7346757922067852
4.53E9                   0.01665536057367074      -0.738630331442686
4.56E9                   -0.04854767874901587     -0.736801296314129
4.59E9                   -0.113256699333507       -0.7292197378827933
4.62E9                   -0.17696362031989246     -0.7159627927741294
4.65E9                   -0.23917079975857192     -0.6971526514751794
4.68E9                   -0.29939502020376896     -0.6729551478992729
4.71E9                   -0.3571712470358934      -0.643578034165485
4.74E9                   -0.4120561660688952      -0.6092689952025503
4.77E9                   -0.46363152632320503     -0.5703134323463386
4.8E9                    -0.5115073136807282      -0.5270320121687238
4.83E9                   -0.5553247596121789      -0.4797779498601089
4.86E9                   -0.5947591535684474      -0.4289339881820975
4.89E9                   -0.6295223918767938      -0.37490904842378303
4.92E9                   -0.6593651737166228      -0.3181345647129523
4.95E9                   -0.6840787541377765      -0.2590605567130066
4.98E9                   -0.703496186018143       -0.198151535662168
5.01E9                   -0.717493022414547       -0.1358823650184123
5.04E9                   -0.7259875001431912      -0.0727342029218073
5.07E9                   -0.7289402748934016      -0.009190635735247475
5.1E9                    -0.7263538159355556      0.05426592921280296
5.13E9                   -0.7182715821641756      0.11715760197655348
5.16E9                   -0.7047770811014744      0.1790141301978604
5.19E9                   -0.6859928590265273      0.23937589347423605
5.22E9                   -0.6620793992713122      0.2977968661400422
5.25E9                   -0.6332338462769279      0.3538475983874554
5.28E9                   -0.5996884550507493      0.4071181911392443
5.31E9                   -0.5617087017329608      0.45722116998163065
5.34E9                   -0.5195910653599881      0.5037941338531633
5.37E9                   -0.47366056703204534     0.5465020803216176
5.4E9                    -0.4242681937835173      0.5850393775671116
5.43E9                   -0.37178832386201305     0.6191314301530514
5.46E9                   -0.31661621697853004     0.6485361381475445
5.49E9                   -0.25916556284154063     0.6730452599309092
5.52E9                   -0.1998660204561146      0.6924857602292495
5.55E9                   -0.13916064622010077     0.7067211711117806
5.58E9                   -0.07750310586457232     0.7156529324020322
5.61E9                   -0.015354590871908337    0.7192216233198405
5.64E9                   0.0468195917252757       0.7174079592367394
5.67E9                   0.10855372405613668      0.7102334144348407
5.7E9                    0.16938557726858666      0.6977603511484342
5.73E9                   0.22886035396475235      0.6800915900378702
5.76E9                   0.28653450328733854      0.6573694383855095
5.79E9                   0.34197927243779386      0.6297742734593099
5.82E9                   0.3947839355417637       0.5975228247664816
5.85E9                   0.4445587290606341       0.5608662874039114
5.88E9                   0.49093758066198423      0.5200883366593099
5.91E9                   0.5335807221338981       0.4755030356263077
5.94E9                   0.5721772336609572       0.427452571236147
5.97E9                   0.6064475051528202       0.3763047394327944
6.0E9                    0.6361455490833241       0.3224501223416076
