% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 22 2022, 19:37
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.42172541767046107      -0.7689258440173804
330000000                0.3406625799203612       -0.8043842860199594
360000000                0.2569367823073348       -0.8316109777042169
390000000                0.17133348262924208      -0.8504029457931841
420000000                0.08466359454616601      -0.8606348934973918
450000000                -0.0022473344674644124   -0.8622619995670496
480000000                -0.08856930452998349     -0.8553213026010416
510000000                -0.17347755133286358     -0.8399318537932434
540000000                -0.2561617949773942      -0.8162937629679186
570000000                -0.33583505276794634     -0.7846862323145758
600000000                -0.41174198929616623     -0.7454646572234318
630000000                -0.48316676200019987     -0.699056867214882
660000000                -0.5494403127056212      -0.6459585784568379
690000000                -0.6099470535997091      -0.5867281304420877
720000000                -0.6641308973063191      -0.521980581999162
750000000                -0.7115005846315348      -0.45238124474382585
780000000                -0.7516342690584561      -0.37863873512011326
810000000                -0.7841833236829621      -0.3014976289488872
840000000                -0.8088753440037998      -0.2217308044164022
870000000                -0.8255163281487786      -0.14013156075534222
900000000                -0.8339920245530495      -0.05750560063794059
930000000                -0.8342684459346066      0.02533703632140724
960000000                -0.8263915570070992      0.10759000254258666
990000000                -0.8104861519615719      0.18845854981762633
1020000000               -0.7867539459776047      0.26716723380834523
1050000000               -0.7554709128834679      0.34296733835350895
1080000000               -0.7169839084387315      0.4151439467763255
1110000000               -0.6717066254565375      0.48302259279261917
1140000000               -0.6201149330939291      0.5459754293515287
1170000000               -0.5627416579951244      0.6034268602923594
1200000000               -0.5001708695579784      0.6548585865362617
1230000000               -0.43303173539231543     0.6998140257072959
1260000000               -0.36199201601095715     0.737902071541447
1290000000               -0.287751269906834       0.7688001670459242
1320000000               -0.21103384145840007     0.7922566730070634
1350000000               -0.13258170466613778     0.8080925210305964
1380000000               -0.05314723535568433     0.8162021478152918
1410000000               0.026514016533652908     0.8165537146390994
1440000000               0.1056504846769018       0.8091886230127892
1470000000               0.18352160664316097      0.7942203441787791
1500000000               0.2594046422827592       0.771832586375429
1530000000               0.33260122930183         0.7422768296437896
1560000000               0.40244361918707167      0.7058692633134153
1590000000               0.4683005410938755       0.6629871661644999
1620000000               0.5295826461787506       0.6140647735688978
1650000000               0.5857474900309836       0.5595886796967209
1680000000               0.6363040162386089       0.50009282612546
1710000000               0.6808165098763784       0.4361531307784189
