% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 22 2022, 20:00
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.4047232104993018       -0.77000364050502
330000000                0.3214199830464637       -0.8055882556030606
360000000                0.2352088040428603       -0.8323902121544813
390000000                0.14698397564755636      -0.8501682608344736
420000000                0.05766521578489652      -0.8587752195518903
450000000                -0.03181399626742678     -0.8581599059904641
480000000                -0.12051763868271373     -0.8483678985216919
510000000                -0.20751801994314417     -0.8295411518280729
540000000                -0.2919063114148262      -0.8019164958331552
570000000                -0.37280270145657896     -0.7658230519218611
600000000                -0.4493661072883113      -0.7216786078559834
630000000                -0.5208033689111476      -0.6699850014621394
660000000                -0.586377844722809       -0.6113225720904368
690000000                -0.6454173280857136      -0.5463437480051248
720000000                -0.6973212073888981      -0.47576584678250405
750000000                -0.7415667981364419      -0.40036317397127424
780000000                -0.7777147831831797      -0.320958512695819
810000000                -0.80541370619336        -0.23841410361182175
840000000                -0.824403473859065       -0.15362221977662294
870000000                -0.8345178332950074      -0.06749544539498932
900000000                -0.8356858028302977      0.019043229965794287
930000000                -0.8279320463573794      0.10507038834747191
960000000                -0.8113761936921563      0.18967211830861286
990000000                -0.7862311215458981      0.27195379585897606
1020000000               -0.7528002216540239      0.35104960199126345
1050000000               -0.7114736941717599      0.42613167167835153
1080000000               -0.6627239153778401      0.49641877439791604
1110000000               -0.6070999390212939      0.5611844326640547
1140000000               -0.5452211999451402      0.6197643927664697
1170000000               -0.47777049707516195     0.6715633702809789
1200000000               -0.4054863401622133      0.7160610022511368
1230000000               -0.32915475076835393     0.75281694799446
1260000000               -0.24960061303469533     0.7814750908362792
1290000000               -0.16767867341243203     0.8017668039995294
1320000000               -0.08426429100840274     0.813513254906718
1350000000               -2.440414630589416E-4    0.8166267332157665
1380000000               0.08349372284845896      0.8111109989650004
1410000000               0.16606825442920548      0.7970606579429531
1440000000               0.24661563481297685      0.7746595818957159
1470000000               0.32429774507908926      0.7441784011485187
1500000000               0.3983108909124147       0.7059711066856829
1530000000               0.46789399569175744      0.6604708075106316
1560000000               0.5323362808348583       0.608184697277427
1590000000               0.5909843595071645       0.5496882914742385
1620000000               0.6432486769722318       0.4856190030031054
1650000000               0.6886092386358502       0.41666912975276094
1680000000               0.7266205751592981       0.34357833248553815
1710000000               0.7569159024560108       0.26712568546679216
1740000000               0.7792104433553046       0.18812138520772909
1770000000               0.7933038866995986       0.10739820488044859
1800000000               0.7990819689072453       0.025802783143959035
1830000000               0.7965171722995188       -0.055813163581801745
1860000000               0.7856685438968214       -0.13660161732960371
1890000000               0.7666806477021343       -0.21572693707239035
1920000000               0.7397816727066605       -0.2923743566823967
1950000000               0.7052807277431207       -0.36575822451471734
1980000000               0.66356436252021         -0.43512991366934806
2010000000               0.6150923609089389       -0.49978534148595744
2040000000               0.560392856627877        -0.5590720491418599
2070000000               0.5000568202761547       -0.6123958078459935
2100000000               0.4347319566894314       -0.6592267355582753
2130000000               0.36511602707662427      -0.6991049238159948
2.16E9                   0.29194956555459833      -0.7316455777410183
