% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 22 2022, 20:08
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.4021795088143478       -0.7834220534369493
330000000                0.31687981978399266      -0.8187049437741133
360000000                0.22872717563048628      -0.8449566411287162
390000000                0.1386409522319891       -0.8619418769159403
420000000                0.04756678796443854      -0.8695221253060202
450000000                -0.043535807790516405    -0.8676578878234285
480000000                -0.13370534134609802     -0.8564096086574058
510000000                -0.22198981637589013     -0.8359372995219161
540000000                -0.3074578205503635      -0.8064989350807492
570000000                -0.3892091802229303      -0.7684476744322771
600000000                -0.4663851182951702      -0.722227965945497
630000000                -0.5381778381707986      -0.6683705977463686
660000000                -0.6038394504053537      -0.60748676369927
690000000                -0.6626901590340637      -0.5402612227501851
720000000                -0.7141256278988181      -0.467444637941521
750000000                -0.7576234536686056      -0.38984518942297974
780000000                -0.7927486805468184      -0.3083195631276468
810000000                -0.8191583016049183      -0.22376342311413433
840000000                -0.8366047026878463      -0.13710148090639626
870000000                -0.8449380168313493      -0.04927727905333837
900000000                -0.8441073697372176      0.038757191255071086
930000000                -0.8341610097664133      0.1260519178230058
960000000                -0.8152453289624062      0.21166921967094293
990000000                -0.787602794624201       0.29469390560035186
1020000000               -0.751568823557965       0.37424312389993963
1050000000               -0.7075676433466794      0.44947579297469614
1080000000               -0.656107196427951       0.5196015088121598
1110000000               -0.5977731534177569      0.5838888326123919
1140000000               -0.5332221117386946      0.641672870394759
1170000000               -0.46317406424038743     0.6923620657847577
1200000000               -0.38840422975430544     0.7354441375518047
1230000000               -0.30973434364367575     0.7704911043197075
1260000000               -0.22802351117874978     0.7971633502373896
1290000000               -0.14415872995526033     0.8152126971426038
1320000000               -0.0590451895938136      0.8244844605927226
1350000000               0.026403542240434952     0.8249184789175645
1380000000               0.11127533909692727      0.8165491161805651
1410000000               0.19466923363088393      0.7995042512568346
1440000000               0.2757049305107584       0.7740032761728597
1470000000               0.35353201468458995      0.7403541372501842
1500000000               0.42733876050837055      0.698949462326608
1530000000               0.4963604531022712       0.6502618263462996
1560000000               0.5598871400896492       0.5948382158200518
1590000000               0.6172707392514628       0.5332937600559131
1620000000               0.6679314357157389       0.46630480351099135
1650000000               0.7113633107563463       0.39460139920290543
1680000000               0.7471391532363892       0.31895930772604175
1710000000               0.7749144139337301       0.2401915901056838
1740000000               0.7944302724676806       0.15913988542681962
1770000000               0.8055157961831967       0.07666546590196643
1800000000               0.8080891800935511       -0.0063598371927650055
1830000000               0.8021580668013351       -0.08906274364807383
1860000000               0.7878189550879484       -0.17057757883391403
1890000000               0.7652557156133185       -0.2500551835250256
1920000000               0.7347372416838059       -0.3266715941344019
1950000000               0.6966142721790316       -0.3996364141888342
1980000000               0.6513154320343617       -0.46820080580618106
2010000000               0.5993425423272994       -0.5316650405849709
2040000000               0.5412652556130667       -0.5893855629574628
2070000000               0.47771506998452296      -0.6407815361200095
2100000000               0.4093787632791152       -0.6853408596157717
2130000000               0.3369912610566266       -0.7226256640489392
2.16E9                   0.2613279019737679       -0.7522772910663795
2.19E9                   0.18319599114228088      -0.7740207329200965
2.22E9                   0.10342545338698522      -0.7876684002153197
2.25E9                   0.022858373475634332     -0.7931228723540102
2.28E9                   -0.0576626382296503      -0.7903779716766437
2.31E9                   -0.13730683653743886     -0.7795172353529017
2.34E9                   -0.21526724319465745     -0.7607089930277795
2.37E9                   -0.2907700396994747      -0.7341982066524214
2.4E9                    -0.36307959379033294     -0.7002969157084586
2.43E9                   -0.4314990204717202      -0.6593764515274391
2.46E9                   -0.49536876246476996     -0.6118639883377995
2.49E9                   -0.5540669473430722      -0.55824333339033
2.52E9                   -0.6070139176984932      -0.4990571561656001
2.55E9                   -0.6536805349590096      -0.4349073039414436
2.58E9                   -0.693597957879707       -0.3664514366922837
2.61E9                   -0.7263665622607219      -0.2943962049120514
2.64E9                   -0.7516627370876514      -0.21948824119307475
2.67E9                   -0.7692433523814608      -0.14250425358720004
2.7E9                    -0.7789482486072749      -0.06424105710055114
2.73E9                   -0.7807012115201563      0.014494070373439902
2.76E9                   -0.7745098008599423      0.09289259729946635
2.79E9                   -0.7604642652763167      0.17015351955663263
2.82E9                   -0.7387356704037366      0.2454917439665131
2.85E9                   -0.7095733044945272      0.31814609035366026
2.88E9                   -0.6733013966843769      0.38738690423143574
2.91E9                   -0.6303151740698832      0.4525232518332807
2.94E9                   -0.5810762856946108      0.5129096553087912
2.97E9                   -0.5261076284117518      0.5679523184671357
3.0E9                    -0.4659876181159489      0.6171147911547836
3.03E9                   -0.4013439584967204      0.6599230217529954
3.06E9                   -0.33284696730590024     0.6959697515757757
3.09E9                   -0.2612025267543189      0.724918211288322
3.12E9                   -0.18714472966158413     0.7465050873404102
3.15E9                   -0.1114282961524502      0.76054273518817
3.18E9                   -0.03482083671044674     0.7669206251913534
3.21E9                   0.0419049636465795       0.7656060156225322
3.24E9                   0.11797916807566473      0.7566438544146167
3.27E9                   0.19264234927478602      0.7401559163698773
3.3E9                    0.26515322474888414      0.7163391852219216
3.33E9                   0.3347961031256015       0.6854634905043753
3.36E9                   0.4008880777614714       0.6478684086012065
3.39E9                   0.462785899335786        0.6039594373248045
3.42E9                   0.5198924510540393       0.5542034559361245
3.45E9                   0.5716627394246802       0.4991234900117192
3.48E9                   0.6176093026918008       0.43929281480427096
3.51E9                   0.6573069312392299       0.3753284528634877
3.54E9                   0.6903965941556159       0.3078841506820124
3.57E9                   0.7165884776441683       0.23764295177577388
3.6E9                    0.7356640664541229       0.165309513890564
3.63E9                   0.7474772375611867       0.09160233895302174
3.66E9                   0.7519543804738138       0.017246090406319824
3.69E9                   0.7490936030362442       -0.05703583778412894
3.72E9                   0.7389631188028911       -0.13052835918303715
3.75E9                   0.7216989402198181       -0.20253122892371472
3.78E9                   0.6975020233315959       -0.2723649967037014
3.81E9                   0.6666350268911118       -0.33937634227887864
3.84E9                   0.6294188574539874       -0.4029428093691982
3.87E9                   0.5862291603512081       -0.46247701884969417
3.9E9                    0.5374928705685174       -0.5174305079839359
3.93E9                   0.4836848539854156       -0.5672973856321928
3.96E9                   0.42532456333894314      -0.6116179887186023
3.99E9                   0.3629725367961573       -0.6499826614040742
4.02E9                   0.29722651535123834      -0.6820356678071567
4.05E9                   0.22871696936791486      -0.7074791247693493
4.08E9                   0.15810190082807624      -0.7260767422624874
4.11E9                   0.08606090078341033      -0.7376571138890325
4.14E9                   0.013288556096902937     -0.742116316180706
4.17E9                   -0.0595126145949628      -0.7394196405797531
4.2E9                    -0.13163947524797842     -0.7296023717085102
4.23E9                   -0.20239562271403377     -0.712769613367425
4.26E9                   -0.2710985995708634      -0.6890952288389511
4.29E9                   -0.3370868534016109      -0.6588199938447596
4.32E9                   -0.3997263805424971      -0.6222490593990263
4.35E9                   -0.45841702825871455     -0.579748797999032
4.38E9                   -0.5125984410270855      -0.5317430751291465
4.41E9                   -0.5617556272023241      -0.4787089633004244
4.44E9                   -0.6054241013957006      -0.4211719064477804
4.47E9                   -0.6431945363543831      -0.35970034997204503
4.5E9                    -0.6747168444963096      -0.29489987177729365
4.53E9                   -0.699703607448174       -0.22740687591637299
4.56E9                   -0.7179327825612936      -0.1578819364487492
4.59E9                   -0.7292496367032675      -0.08700289999840138
4.62E9                   -0.7335678869365926      -0.01545786708846534
4.65E9                   -0.7308700607238671      0.056061828836938145
4.68E9                   -0.7212071185694081      0.12686854144521992
4.71E9                   -0.7046974014082308      0.1962850558226726
4.74E9                   -0.681524966495288       0.26365111593331636
4.77E9                   -0.6519373575302785      0.32832972126967713
4.8E9                    -0.616242824231994       0.38971318745363803
4.83E9                   -0.5748069775938144      0.4472289507700986
4.86E9                   -0.5280488545275528      0.5003450634929675
4.89E9                   -0.4764363779820324      0.5485752890545156
4.92E9                   -0.42048123422526135     0.5914836792823991
4.95E9                   -0.3607332375120579      0.628688511247215
4.98E9                   -0.2977743005881145      0.6598654818211919
5.01E9                   -0.23221216494365005     0.6847501006080133
5.04E9                   -0.16467405864861373     0.7031392783581435
5.07E9                   -0.0958004366100857      0.7148921675886886
5.1E9                    -0.026238917322610612    0.7199303614685906
5.13E9                   0.0433615321728567       0.7182375812800001
5.16E9                   0.11235617986538689      0.7098589701096865
5.19E9                   0.1801099484280574       0.6949000595261715
