% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 2 2022, 15:29
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6185996370753856       -0.7511139428928847
330000000                0.5507799196374051       -0.8016666910724839
360000000                0.4789485907808308       -0.8461683958942182
390000000                0.4036290407013223       -0.8843006822742228
420000000                0.32537317354574946      -0.915789556558003
450000000                0.24475683850268323      -0.9404084352031341
480000000                0.16237516408007693      -0.9579805159082175
510000000                0.07883781614299129      -0.9683805810377941
540000000                -0.005235802873556673    -0.9715362862234799
570000000                -0.08922139024939853     -0.9674289649071004
600000000                -0.17249458860896338     -0.9560939682789406
630000000                -0.2544358131583492      -0.9376205542702144
660000000                -0.33443502934082736     -0.9121513366512478
690000000                -0.41189644914843176     -0.8798813048502976
720000000                -0.48624311278607757     -0.8410564262799529
750000000                -0.5569213231209366      -0.7959718441224699
780000000                -0.6234048989886023      -0.7449696865618516
810000000                -0.6851992164758895      -0.688436504512685
840000000                -0.7418450053438617      -0.6268003595823437
870000000                -0.7929218726117644      -0.5605275840034425
900000000                -0.8380515240838255      -0.4901192395435577
930000000                -0.8769006591769891      -0.41610730256017076
960000000                -0.909183515355724       -0.33905060621777167
990000000                -0.934664042092536       -0.2595305719184881
1020000000               -0.9531576866954122      -0.1781467646288347
1050000000               -0.9645327780020901      -0.09551230749109203
1080000000               -0.968711496891868       -0.012249192975618446
1110000000               -0.9656704262555108      0.07101647191934578
1140000000               -0.9554406765472496      0.1536592475899123
1170000000               -0.9381075865954476      0.2350591328257482
1200000000               -0.9138100029920319      0.31460628626215215
1230000000               -0.882739144919404       0.3917056606377769
1260000000               -0.845137064669107       0.46578151294164416
1290000000               -0.801294717686373       0.5362817546606354
1320000000               -0.7515496587770717      0.6026821083261389
1350000000               -0.6962833845795244      0.6644900377883869
1380000000               -0.6359183448669155      0.7212484222684945
1410000000               -0.5709146480457383      0.7725389463026451
1440000000               -0.5017664882749718      0.8179851804969496
1470000000               -0.4289983238721948      0.8572553306098615
1500000000               -0.3531608382528652      0.8900646354613381
1530000000               -0.2748267162081223      0.9161773971944083
1560000000               -0.19458626918590768     0.935408630608703
1590000000               -0.11304294449910907     0.9476253212814174
1620000000               -0.030808753214432195    0.9527472855911457
1650000000               0.05150034754702642      0.9507476287688302
1680000000               0.13326908277462943      0.9416528003202496
1710000000               0.21388746341688647      0.9255422492268788
1740000000               0.2927553314225726       0.9025476843077611
1770000000               0.36928681267292274      0.87285194799645
1800000000               0.44291464543745696      0.8366875145395897
1830000000               0.5130943533561697       0.7943346262395061
1860000000               0.5793082333835248       0.7461190838111138
1890000000               0.6410691309443529       0.6924097091679622
1920000000               0.6979239761796013       0.6336155011610793
1950000000               0.7494570572824906       0.5701825067118638
1980000000               0.7952930092074454       0.5025904312510251
2010000000               0.8350994977590273       0.4313490145527573
2040000000               0.8685895821452061       0.35699419857923587
2070000000               0.8955237410147305       0.28008411550491374
2100000000               0.9157115497845898       0.20119492457669344
2130000000               0.9290129994714743       0.12091652692774316
2.16E9                   0.9353394496384301       0.039848186758937254
2.19E9                   0.9346542095109183       -0.04140591287689769
2.22E9                   0.9269727418685275       -0.12224115261135855
2.25E9                   0.9123624830203977       -0.20205697029344105
2.28E9                   0.8909422696593787       -0.28026133501556655
2.31E9                   0.8628813623596628       -0.3562751629073337
2.34E9                   0.8283980620408369       -0.42953662264285114
2.37E9                   0.7877579356312712       -0.4995052687345034
2.4E9                    0.7412716968520204       -0.5656659484552174
2.43E9                   0.689292808255339        -0.627532460706206
2.46E9                   0.6322148559356411       -0.6846509884429085
2.49E9                   0.5704687038880675       -0.7366033407858583
2.52E9                   0.5045193957640359       -0.7830100137108668
2.55E9                   0.4348627721626363       -0.823533032284567
2.58E9                   0.3620218038886096       -0.8578785125361948
