% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 2 2022, 14:35
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6318310422174407       -0.7581214059306123
330000000                0.5634221615332543       -0.8105788486218186
360000000                0.4907264824254696       -0.8568824830379838
390000000                0.41429443115140024      -0.8966845775726862
420000000                0.3347046817603605       -0.9296861120456468
450000000                0.252559872506173        -0.9556391651423234
480000000                0.16848210773900654      -0.9743489058935371
510000000                0.08310828486267603      -0.9856751752286078
540000000                -0.002914713300414462    -0.989533645369927
570000000                -0.08893492024496137     -0.9858965479140965
600000000                -0.17430024375813993     -0.974792964545576
630000000                -0.258363438952264       -0.9563086770012182
660000000                -0.3404870573564247      -0.9305855764486415
690000000                -0.420048333134392       -0.8978206352902508
720000000                -0.4964439659754348      -0.8582644483918509
750000000                -0.5690947634028988      -0.8122193534602128
780000000                -0.6374501041985773      -0.7600371442040905
810000000                -0.7009921863040607      -0.7021163934882182
840000000                -0.759240025097312       -0.6388994061984161
870000000                -0.8117531685602254      -0.5708688255066375
900000000                -0.8581350983175489      -0.49854391940655934
930000000                -0.8980362889092846      -0.4224765762089462
960000000                -0.931156899276362       -0.3432470415106007
990000000                -0.9572490743155613      -0.26145943062965693
1020000000               -0.9761188372115076      -0.17773705315359678
1050000000               -0.9876275570867442      -0.09271758730945577
1080000000               -0.9916929798922454      -0.00704814388012871
1110000000               -0.9882898144560486      0.07861974029153383
1140000000               -0.9774498693707904      0.1636351378856528
1170000000               -0.9592617403419199      0.24735275521128408
1200000000               -0.933870051560699       0.32913790323894054
1230000000               -0.9014742584731658      0.4083713758390999
1260000000               -0.8623270229710386      0.4844541958772749
1290000000               -0.8167321759818936      0.5568121907350583
1320000000               -0.765042285402624       0.6249003616997302
1350000000               -0.7076558509053414      0.6882070126392172
1380000000               -0.645014150025546       0.7462576061644217
1410000000               -0.5775977625370488      0.798618318112096
1440000000               -0.5059228027824672      0.8448992637282221
1470000000               -0.43053689135341155     0.8847573722962614
1500000000               -0.35201489974891154     0.9178988897090792
1530000000               -0.2709545026567762      0.9440814920905791
1560000000               -0.1879715740088427      0.9631159966775972
1590000000               -0.10369546326925523     0.9748676597477899
1620000000               -0.01876418948652834     0.9792570545744399
1650000000               0.06618040990938444      0.9762605259343751
1680000000               0.15049753822118853      0.9659102208558699
1710000000               0.23355226983131594      0.9482936985889456
1740000000               0.3147203157851454       0.9235531259015511
1770000000               0.393392689799534        0.8918840667160413
1800000000               0.46898024064275745      0.8535338780394972
1830000000               0.5409180186406569       0.8087997267780619
1860000000               0.6086694455293519       0.7580262445463012
1890000000               0.6717302586408938       0.701602839935425
1920000000               0.7296322023344871       0.6399606898980337
1950000000               0.7819464416669814       0.5735694339109364
1980000000               0.8282866756440055       0.5029335962121046
2010000000               0.8683119294418141       0.42858876335236706
2040000000               0.9017290079021962       0.3510975451280063
2070000000               0.9282945947425866       0.27104534873264424
2100000000               0.9478169851043241       0.18903599598428722
2130000000               0.9601574414805463       0.10568721429561473
2.16E9                   0.9652311658082507       0.021626031336752363
2.19E9                   0.9630078823665461       -0.06251589761863634
2.22E9                   0.953512026676674        -0.14610700224862547
2.25E9                   0.9368225338760223       -0.22852052306729062
2.28E9                   0.913072215948991        -0.3091392219885028
2.31E9                   0.882446713307671        -0.38736004006569535
2.34E9                   0.8451830093926933       -0.4625986490057337
2.37E9                   0.801567516573271        -0.5342938258042141
2.4E9                    0.7519337774030206       -0.6019115808634882
2.43E9                   0.6966598575070005       -0.6649490021368248
2.46E9                   0.6361655017617793       -0.7229378315185224
2.49E9                   0.5709090781751165       -0.775447820499148
2.52E9                   0.5013842805826298       -0.8220898923153123
2.55E9                   0.42811654738028226      -0.8625190860083928
2.58E9                   0.3516591831598323       -0.8964372196898461
2.61E9                   0.2725892101737653       -0.9235952083061414
2.64E9                   0.1915030006806532       -0.9437949919892212
2.67E9                   0.1090117447902923       -0.9568910539412562
2.7E9                    0.025736802646460968     -0.9627915207251937
2.73E9                   -0.05769501811244045     -0.9614588437432684
2.76E9                   -0.14065622230950173     -0.9529100621244662
2.79E9                   -0.22252338998859972     -0.9372166479893983
2.82E9                   -0.3026819069289502      -0.9145039361223475
2.85E9                   -0.3805306278696987      -0.884950142087173
2.88E9                   -0.4554864372283441      -0.8487849753798818
2.91E9                   -0.5269886720961864      -0.806287857221035
2.94E9                   -0.594503372768063       -0.757785755850952
2.97E9                   -0.6575273272676226      -0.7036506553076299
3.0E9                    -0.7155918774239615      -0.6442966769866838
3.03E9                   -0.7682664559730604      -0.5801768762766012
3.06E9                   -0.8151618262223773      -0.5117797394332557
3.09E9                   -0.8559329981529626      -0.4396254086452282
3.12E9                   -0.8902817976331646      -0.3642616655670571
3.15E9                   -0.9179590683693383      -0.28625970571933024
3.18E9                   -0.9387664893542381      -0.2062097380197182
3.21E9                   -0.9525579939688756      -0.1247164451212242
3.24E9                   -0.9592407803748375      -0.04239434119770891
3.27E9                   -0.9587759063018713      0.04013693540266552
3.3E9                    -0.9511784648808308      0.12225735687897357
3.33E9                   -0.9365173416142349      0.20335123061457533
3.36E9                   -0.9149145558976065      0.28281187631402355
3.39E9                   -0.8865441937706984      0.3600462189371647
3.42E9                   -0.8516309416879561      0.4344792615991982
3.45E9                   -0.8104482341407042      0.5055584034902283
3.48E9                   -0.7633160310429261      0.572757568964067
3.51E9                   -0.7105982437226684      0.6355811155021376
3.54E9                   -0.6526998315856984      0.6935674896232356
3.57E9                   -0.590063594533315       0.7462926020535617
3.6E9                    -0.5231666892106883      0.7933728959763762
3.63E9                   -0.4525169000641116      0.834468085172492
3.66E9                   -0.3786486981984604      0.8692835426797025
3.69E9                   -0.3021191229228169      0.8975723243103835
3.72E9                   -0.22350352149259678     0.9191368155979808
3.75E9                   -0.14339118328001188     0.9338299945162376
3.78E9                   -0.06238090427738552     0.9415563063614375
3.81E9                   0.018923482677951322     0.9422721510193262
3.84E9                   0.09991757765501569      0.9359859866995223
3.87E9                   0.18000085155463896      0.9227580577440085
3.9E9                    0.25858102295696456      0.9026997566891796
3.93E9                   0.3350783482196363       0.8759726319799015
3.96E9                   0.40892980163635145      0.8427870524931408
3.99E9                   0.47959312374000906      0.8034005389455015
4.02E9                   0.5465507155284648       0.7581157712712718
4.05E9                   0.60931335460748         0.7072782813085896
4.08E9                   0.6674237074048073       0.651273841963804
4.11E9                   0.7204596102617273       0.5905255675396575
4.14E9                   0.7680370925006191       0.5254907441925709
4.17E9                   0.809813116342016        0.4566574138972899
4.2E9                    0.8454880118094654       0.3845407388524573
4.23E9                   0.8748075887320763       0.3096791756726094
4.26E9                   0.8975649121060908       0.23263048982214807
4.29E9                   0.913601730793446        0.15396764076075353
4.32E9                   0.9228095525326346       0.07427456748257076
4.35E9                   0.9251303602798076       -0.005858096446236478
4.38E9                   0.9205569664673775       -0.08583734998556088
4.41E9                   0.9091330029662142       -0.16507216537324804
4.44E9                   0.8909525459543591       -0.24297781360821086
4.47E9                   0.8661593766740968       -0.3189801450786622
4.5E9                    0.8349458813109938       -0.3925197951341075
4.53E9                   0.7975515959382374       -0.46305628386033704
4.56E9                   0.7542614054448546       -0.5300719794706463
4.59E9                   0.7054034085057985       -0.5930758952150621
4.62E9                   0.6513464638188392       -0.6516072907985694
4.65E9                   0.5924974357827008       -0.7052390510255468
4.68E9                   0.5292981602871407       -0.7535808166344339
4.71E9                   0.46222215317281085      -0.7962818447758885
4.74E9                   0.3917710850789689       -0.833033579039057
4.77E9                   0.31847104705910323      -0.8635719109138539
4.8E9                    0.2428686319568959       -0.8876791159080725
4.83E9                   0.16552685769679557      -0.9051854483691774
4.86E9                   0.0870209604958257       -0.9159703799657768
4.89E9                   0.007934088512549486     -0.9199634682778438
4.92E9                   -0.07114707051023982     -0.9171448444467312
4.95E9                   -0.14963669188321446     -0.9075453125641719
4.98E9                   -0.2269542091757929      -0.8912460580110264
5.01E9                   -0.3025286641345563      -0.868377967075951
5.04E9                   -0.37580297405488655     -0.839120565294464
5.07E9                   -0.4462380817499443      -0.8037005865337129
5.1E9                    -0.5133169562222655      -0.7623901884389337
5.13E9                   -0.576548415820637       -0.7155048319756551
5.16E9                   -0.6354707488372418      -0.6634008433787218
5.19E9                   -0.6896551082730062      -0.6064726764686081
5.22E9                   -0.7387086576994657      -0.5451498929627677
5.25E9                   -0.7822774437949266      -0.47989387976974734
5.28E9                   -0.8200489703127936      -0.4111943254007736
5.31E9                   -0.851754448695245       -0.33956548310277723
5.34E9                   -0.8771707042646684      -0.26554225347550325
5.37E9                   -0.8961217227667707      -0.18967612308234283
5.4E9                    -0.9084798288375661      -0.11253099636239489
5.43E9                   -0.9141664937567001      -0.034678956375135725
5.46E9                   -0.9131527735399244      0.043304013172923095
5.49E9                   -0.9054593799822932      0.12084231525927036
5.52E9                   -0.8911563874239544      0.19736500857519412
5.55E9                   -0.8703625778430354      0.27231003098074574
5.58E9                   -0.8432444272013124      0.34512834919757585
5.61E9                   -0.810014737225174       0.41528800496634155
5.64E9                   -0.7709309193075753      0.48227802597063096
5.67E9                   -0.726292941035252       0.5456121683373325
5.7E9                    -0.6764409510409601      0.6048324569171224
5.73E9                   -0.6217526039410042      0.6595124909554726
5.76E9                   -0.5626401130165782      0.7092604865932745
5.79E9                   -0.499547062332994       0.7537220338787232
5.82E9                   -0.43294501086118475     0.7925825530711399
5.85E9                   -0.36332991904289513     0.8255694407474874
5.88E9                   -0.2912184245525928      0.8524538991463079
5.91E9                   -0.2171439912521672      0.8730524421759416
5.94E9                   -0.14165295481602805     0.8872280702238995
5.97E9                   -0.06530049018581643     0.894891105171976
6.0E9                    0.011353471265218752     0.8959996779215356
