% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 2 2022, 14:40
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6316023160406516       -0.7595724717854738
330000000                0.5629584792986793       -0.8121857756453643
360000000                0.48999260277107537      -0.8586121144133998
390000000                0.41326057031270835      -0.8984981280326173
420000000                0.33334708085552567      -0.9315401840587955
450000000                0.2508612221115506       -0.9574867403240264
480000000                0.16643184632495825      -0.9761403140836449
510000000                0.08070278538368464      -0.9873590406122054
540000000                -0.005672060751461316    -0.9910578086537445
570000000                -0.09203372252666463     -0.9872089618414006
600000000                -0.1777232103805716      -0.9758425591962783
630000000                -0.2620865741773239      -0.9570461905912894
660000000                -0.34447993441984937     -0.9309643467994184
690000000                -0.424274445511173       -0.897797346959254
720000000                -0.5008611510346699      -0.8577998302220987
750000000                -0.5736556929198221      -0.8112788215314679
780000000                -0.642102836173788       -0.7585913852616728
810000000                -0.70568077218195        -0.7001418841174998
840000000                -0.7639051657829475      -0.6363788636388694
870000000                -0.816332912415337       -0.5677915864614383
900000000                -0.8625655744354139      -0.49490624320198795
930000000                -0.9022524678963744      -0.4182818700853398
960000000                -0.9350933742411223      -0.3385060057048395
990000000                -0.9608408542289668      -0.256190121946498
1020000000               -0.979302144819469       -0.17196486630463964
1050000000               -0.9903406235184158      -0.08647515368505204
1080000000               -0.9938768279605444      -3.7514876124171903E-4
1110000000               -0.9898890228824979      0.08567682104895172
1140000000               -0.9784133101636008      0.1710233796562524
1170000000               -0.9595432817981506      0.255013201970361
1200000000               -0.9334292195246716      0.33700605750766155
1230000000               -0.9002768488323432      0.4163777568285987
1260000000               -0.8603456587629748      0.4925249611307604
1290000000               -0.8139468027220844      0.5648698161994955
1320000000               -0.7614405989172507      0.6328643740296889
1350000000               -0.7032336523764396      0.6959947673151893
1380000000               -0.639775623538986       0.7537851044118136
1410000000               -0.571555671095443       0.8058010550844037
1440000000               -0.49909859935725537     0.8516531000620902
1470000000               -0.42296074246611454     0.8909994206294208
1500000000               -0.3437256196464096      0.9235484076234615
1530000000               -0.26199939713172143     0.94906077258123
1560000000               -0.17840619365628607     0.9673512471540042
1590000000               -0.0935832670077133      0.9782898604491091
1620000000               -0.00817611986499287     0.981802787342343
1650000000               0.07716643695464197      0.977872764334143
1680000000               0.1617972256337019       0.9665390728810312
1710000000               0.2450756095066746       0.9478970934520247
1740000000               0.32637233101551577      0.9220974368057334
1770000000               0.4050742439809916       0.8893446620025425
1800000000               0.48058890529953385      0.8498955936850972
1830000000               0.5523489930602111       0.8040572538823408
1860000000               0.6198165195852138       0.7521844262186358
1890000000               0.6824868097529961       0.6946768728577825
1920000000               0.7398922170599218       0.6319762266944985
1950000000               0.7916055519093629       0.5645625834789608
1980000000               0.8372431991696644       0.49295082018135317
2010000000               0.8764679042346502       0.41768666778802593
2040000000               0.9089912096422244       0.33934256785143163
2070000000               0.9345755268473575       0.2585133434655806
2100000000               0.9530358307612024       0.1758117156165189
2130000000               0.9642409672045368       0.09186369668843279
2.16E9                   0.9681145662493784       0.0073038917876350725
2.19E9                   0.964635556083485        -0.07722926172072347
2.22E9                   0.9538382726546075       -0.1610982881553658
2.25E9                   0.93581215859999         -0.24367147241298787
2.28E9                   0.9107010414479867       -0.32432763275967075
2.31E9                   0.8787019783657147       -0.40246082736295075
2.34E9                   0.8400636600330291       -0.477484938474218
2.37E9                   0.7950843875155087       -0.5488380639304629
2.4E9                    0.7441096714415973       -0.6159866502382828
2.43E9                   0.6875295304368418       -0.6784293373328206
2.46E9                   0.6257755554582737       -0.7357005364662682
2.49E9                   0.5593177561572785       -0.7873737878289723
2.52E9                   0.48866115611842265      -0.8330649178245798
2.55E9                   0.41434209670350275      -0.8724349634743591
2.58E9                   0.33692424292728856      -0.9051927976768437
2.61E9                   0.256994325100672        -0.9310973916578471
2.64E9                   0.175157670866243        -0.9499596745075136
2.67E9                   0.09203358349077427      -0.9616439723606844
2.7E9                    0.008250614928324752     -0.966069022687554
2.73E9                   -0.07555822583436758     -0.9632085639783933
2.76E9                   -0.15876029228587252     -0.9530915019776229
2.79E9                   -0.24072811302158137     -0.935801654136655
2.82E9                   -0.32084416251330944     -0.9114770750260064
2.85E9                   -0.3985055546946373      -0.880308967517399
2.88E9                   -0.473128624116473       -0.8425401871436122
2.91E9                   -0.5441533592212523      -0.7984633501922854
2.94E9                   -0.61104765326562        -0.7484185592039214
2.97E9                   -0.6733113392239466      -0.6927907628712388
3.0E9                    -0.7304799766426999      -0.6320067704093826
3.03E9                   -0.7821283601015955      -0.5665319435909604
3.06E9                   -0.8278737212168349      -0.49686659239645303
3.09E9                   -0.8673785985441111      -0.423542102892689
3.12E9                   -0.9003533524865811      -0.34711682833621643
3.15E9                   -0.9265583053866371      -0.26817177644743934
3.18E9                   -0.9458054900958306      -0.18730612768020194
3.21E9                   -0.957959993760119       -0.105132620580761
3.24E9                   -0.9629408870114866      -0.022272841259440828
3.27E9                   -0.9607217322239751      0.06064754508827602
3.3E9                    -0.9513306680719325      0.14300358285182269
3.33E9                   -0.934850070988158       0.22417579680309696
3.36E9                   -0.9114157975228885      0.30355490743761643
3.39E9                   -0.8812160148140148      0.3805464539956107
3.42E9                   -0.8444896295568122      0.45457528890218324
3.45E9                   -0.8015243289506385      0.5250899084795541
3.48E9                   -0.7526542501640467      0.5915665859405008
3.51E9                   -0.6982572979735624      0.6535132740442644
3.54E9                   -0.6387521333895133      0.7104732465038975
3.57E9                   -0.5745948591582576      0.7620284494481062
3.6E9                    -0.5062754311742229      0.8078025367679307
3.63E9                   -0.4343138273891081      0.8474635665664846
3.66E9                   -0.3592560081874295      0.8807263394718486
3.69E9                   -0.2816697035402429      0.9073543637115806
3.72E9                   -0.20214006326643652     0.927161435804093
3.75E9                   -0.12126520698697973     0.9400128297612538
3.78E9                   -0.03965171016370875     0.945826091611531
3.81E9                   0.04208993790276416      0.9445714399256357
3.84E9                   0.12334986978258247      0.9362717768708251
3.87E9                   0.20352333704398742      0.9210023176777655
3.9E9                    0.28201513956683116      0.8988898488417139
3.93E9                   0.3582439608280897       0.8701116264215648
3.96E9                   0.43164658532268896      0.8348939255268235
3.99E9                   0.5016819752758943       0.7935102510833899
4.02E9                   0.5678351830193273       0.7462792193990532
4.05E9                   0.6296210738300311       0.6935621206363631
4.08E9                   0.6865878320142251       0.635760174794413
4.11E9                   0.7383202223357372       0.5733114974880831
4.14E9                   0.7844425793855297       0.506687796448386
4.17E9                   0.8246214998491777       0.4363908239912312
4.2E9                    0.8585682162410354       0.3629486140935078
4.23E9                   0.8860406348315589       0.28691153499468974
4.26E9                   0.9068450248382582       0.2088481889963152
4.29E9                   0.9208373496490143       0.12934119101400038
4.32E9                   0.9279242337976588       0.04898285666041394
4.35E9                   0.9280635615352257       -0.031629170198661516
4.38E9                   0.921264704379356        -0.11189632095240834
4.41E9                   0.9075883764007824       -0.19122350735381466
4.44E9                   0.887146117575039        -0.2690234983110144
4.47E9                   0.8600994074883819       -0.34472123794986426
4.5E9                    0.8266584141532616       -0.41775807386982927
4.53E9                   0.7870803855014356       -0.4875958644587395
4.56E9                   0.7416676942110407       -0.5537209343304783
4.59E9                   0.6907655497058756       -0.6156478477653375
4.62E9                   0.6347593942499348       -0.6729229714318704
4.65E9                   0.5740720030188372       -0.725127799510979
4.68E9                   0.5091603102573775       -0.7718820169429833
4.71E9                   0.4405119854891513       -0.8128462789895606
4.74E9                   0.3686417846610914       -0.847724687922854
4.77E9                   0.29408770170719833      -0.8762669496204833
4.8E9                    0.21740694660927337      -0.8982701942036688
4.83E9                   0.13917177717044993      -0.9135804457980051
4.86E9                   0.059965213528542095     -0.9220937275550747
4.89E9                   -0.019623332956352792    -0.9237567897599375
4.92E9                   -0.09900248227010451     -0.9185674516576461
4.95E9                   -0.17758332327557724     -0.9065745514680309
4.98E9                   -0.2547838285118699      -0.8878775037632082
5.01E9                   -0.3300332083897317      -0.8626254684646959
5.04E9                   -0.4027761682760127      -0.8310161406910048
5.07E9                   -0.47247703425968207     -0.7932941750810268
5.1E9                    -0.5386237169092989      -0.7497492614266325
5.13E9                   -0.6007314858484354      -0.7007138702299535
5.16E9                   -0.6583465310031592      -0.6465606871531171
5.19E9                   -0.7110492881543         -0.5876997546705068
5.22E9                   -0.7584575060933066      -0.5245753391875236
5.25E9                   -0.8002290316329292      -0.4576625431425314
5.28E9                   -0.8360642876967032      -0.3874636853142823
5.31E9                   -0.8657084208491684      -0.314504477724158
5.34E9                   -0.8889530984620685      -0.23933003278109785
5.37E9                   -0.905637941953302       -0.16250073733845724
5.4E9                    -0.9156515891309299      -0.08458803087228256
5.43E9                   -0.9189323842324835      -0.006170122634380941
5.46E9                   -0.9154686974499635      0.07217232049758227
5.49E9                   -0.9052988768942287      0.14986048676348904
5.52E9                   -0.8885108358562595      0.22632170557925035
5.55E9                   -0.8652412779962879      0.30099367973522456
5.58E9                   -0.8356745634935502      0.3733286353615223
5.61E9                   -0.8000412206499764      0.44279735956162525
5.64E9                   -0.7586161102725765      0.5088930935219346
5.67E9                   -0.7117162541774191      0.5711352477418634
5.7E9                    -0.6596983446395619      0.6290729054902097
5.73E9                   -0.6029559576766093      0.682288082499466
5.76E9                   -0.5419164988168059      0.7303987150650807
5.79E9                   -0.4770379135420367      0.7730613552831755
5.82E9                   -0.4088051950981042      0.8099735590754609
5.85E9                   -0.33772671974259494     0.8408759581542153
5.88E9                   -0.2643304358734816      0.8655540094029921
5.91E9                   -0.18915993096583536     0.8838394147862991
5.94E9                   -0.11277040017736528     0.8956112034745726
5.97E9                   -0.03572454247112216     0.9007964672951071
6.0E9                    0.04141158671951786      0.8993707417613002
