% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 22 2022, 10:43
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6011082188967664       -0.7305080002026939
330000000                0.5352926164123488       -0.779341670174265
360000000                0.46561902582184234      -0.822320935664441
390000000                0.392595907768408        -0.8591383352036449
420000000                0.31675841216856643      -0.8895311410594406
450000000                0.23866386441619414      -0.913283520415514
480000000                0.15888726257094135      -0.930228309071811
510000000                0.07801675155396044      -0.9402483936479324
540000000                -0.003350934937597927    -0.9432776991133184
570000000                -0.08461505453996487     -0.9393017779301677
600000000                -0.16517544116718386     -0.9283579989957733
630000000                -0.24443706906647222     -0.9105353362184285
660000000                -0.3218145694910611      -0.8859737588744383
690000000                -0.3967366689314209      -0.854863228435871
720000000                -0.4686505180101195      -0.8174423093505047
750000000                -0.5370258797783982      -0.7739964038080975
780000000                -0.6013591454215175      -0.7248556238433358
810000000                -0.6611771469548892      -0.6703923167110578
840000000                -0.716040737441585       -0.611018262175859
870000000                -0.7655481102721513      -0.5471815634575877
900000000                -0.8093378312722566      -0.4793632560159935
930000000                -0.8470915596199732      -0.4080736604745697
960000000                -0.8785364355468674      -0.33384850878106564
990000000                -0.9034471158163728      -0.25724487428093384
1020000000               -0.9216474407882235      -0.17883693794651093
1050000000               -0.933011719663773       -0.09921162527330826
1080000000               -0.9374656241759685      -0.01896414812582843
1110000000               -0.934986683829704       0.06130651203093436
1140000000               -0.9256043794902         0.14100214356874416
1170000000               -0.9093998354065003      0.21952983023807626
1200000000               -0.8865051131572388      0.29630642685144554
1230000000               -0.8571021143772818      0.3707629493678856
1260000000               -0.8214211024337064      0.44234884467535907
1290000000               -0.7797388563114649      0.5105361067027787
1320000000               -0.732376472933939       0.5748232069377025
1350000000               -0.6796968371119694      0.634738809023924
1380000000               -0.6221017806984929      0.6898452395173733
1410000000               -0.560028955106257       0.7397416888181951
1440000000               -0.49394844321006515     0.784067119053705
1470000000               -0.42435913885770726     0.8225028579945542
1500000000               -0.3517849232365077      0.8547748612602281
1530000000               -0.27677066932557076     0.8806556274598661
1560000000               -0.19987810588907956     0.8999657543144108
1590000000               -0.12168157375262983     0.9125751264229713
1620000000               -0.04276370717702758     0.9184037284965986
1650000000               0.036288926450265005     0.9174220807689537
1680000000               0.11489019595949906      0.9096512962504986
1710000000               0.19245875192058082      0.895162762272625
1740000000               0.2684223165828636       0.8740774515782456
1770000000               0.34222188711686297      0.8465648708143519
1800000000               0.413315822150047        0.8128416568013233
1830000000               0.4811837826180636       0.7731698334142227
1860000000               0.5453304997499435       0.7278547440119912
1890000000               0.6052893442182872       0.6772426765273845
1920000000               0.6606256721961252       0.6217182003522778
1950000000               0.7109399262758793       0.5617012355795222
1980000000               0.7558704705181271       0.49764387727390447
2010000000               0.79509614163943         0.43002699823493656
2040000000               0.8283384999272752       0.359356655487963
2070000000               0.8553637661455191       0.2861603261920222
2100000000               0.8759844326944581       0.210982999729392
2130000000               0.8900605397697142       0.13438315262976466
2.16E9                   0.8975006091358889       0.05692863310702828
2.19E9                   0.898262229672147        -0.02080751869364691
2.22E9                   0.8923522892305713       -0.09825128934134983
2.25E9                   0.8798268462886981       -0.17483192354092372
2.28E9                   0.8607906329036091       -0.24998613972840567
2.31E9                   0.8353961800133907       -0.3231622930880873
2.34E9                   0.803842562596401        -0.3938244380709991
2.37E9                   0.7663737803816013       -0.4614562342992299
2.4E9                    0.7232768161872042       -0.5255646473583351
2.43E9                   0.6748794302091249       -0.5856834263917027
2.46E9                   0.6215477345047327       -0.6413763770255999
2.49E9                   0.5636835514822612       -0.6922404599935241
2.52E9                   0.5017215272349883       -0.7379087192874824
2.55E9                   0.4361259727143745       -0.7780530033125077
2.58E9                   0.3673874361025542       -0.8123864214245583
2.61E9                   0.2960190396611715       -0.8406654856454377
2.64E9                   0.22255262815692217      -0.8626919072666367
2.67E9                   0.147534774120998        -0.8783140355443391
2.7E9                    0.07152267868201748      -0.8874279343289605
2.73E9                   -0.004919998961244509    -0.8899780952214817
2.76E9                   -0.08122735317003792     -0.8859577862102894
2.79E9                   -0.15683545484047895     -0.8754090350938273
2.82E9                   -0.23118655570004149     -0.8584222481333855
2.85E9                   -0.30373324331897167     -0.8351354662812632
2.88E9                   -0.37394251585426175     -0.805733263770615
2.91E9                   -0.4412997455621526      -0.7704452966114366
2.94E9                   -0.5053125007324771      -0.7295445113037933
2.97E9                   -0.5655141961423538      -0.6833450270768648
3.0E9                    -0.6214675437181122      -0.6321997075506776
3.03E9                   -0.6727677760885111      -0.5764974406627931
3.06E9                   -0.7190456179586969      -0.5166601478966325
3.09E9                   -0.7599699817897463      -0.45313954656460337
3.12E9                   -0.7952503669407585      -0.3864136906779369
3.15E9                   -0.8246389436700995      -0.31698331805010854
3.18E9                   -0.8479323061575843      -0.24536803282010747
3.21E9                   -0.8649728815597677      -0.1721023538263885
3.24E9                   -0.8756499849605028      -0.09773166041078796
3.27E9                   -0.8799005131338307      -0.022808067740692023
3.3E9                    -0.8777092729559333      0.052113735687410824
3.33E9                   -0.8691089433056259      0.12648065571145936
3.36E9                   -0.8541796721818976      0.19974533280264034
3.39E9                   -0.8330483136396151      0.27137022272064454
