% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 2 2022, 16:39
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5956744987618177       -0.7857850324348387
330000000                0.5210440859095783       -0.8374481892163406
360000000                0.4419838888618586       -0.8820550450145277
390000000                0.35915605300512415      -0.9192262055726641
420000000                0.2732557721690478       -0.9486436591668008
450000000                0.18500565026713112      -0.9700538303462297
480000000                0.09514976096903799      -0.9832701061727624
510000000                0.0044474538735624234    -0.9881748086444729
540000000                -0.0863330429373832      -0.9847205884826625
570000000                -0.17642117050101708     -0.972931217916865
600000000                -0.26505068078265287     -0.9529017638560374
630000000                -0.35146631312853627     -0.9247981274039945
660000000                -0.4349304433147378      -0.8888559411739356
690000000                -0.5147296408467428      -0.845378822035332
720000000                -0.5901810686462559      -0.7947359837457797
750000000                -0.6606386585894483      -0.737359221217303
780000000                -0.7254989967231991      -0.6737392857090408
810000000                -0.784206853116989       -0.6044216781401697
840000000                -0.8362602938834741      -0.5300018953382163
870000000                -0.8812153161757843      -0.45112017180573016
900000000                -0.918689951634817       -0.36845576673929004
930000000                -0.948367789335097       -0.2827208526886804
960000000                -0.9700008757167311      -0.19465406842630106
990000000                -0.9834119564978079      -0.10501380350031607
1020000000               -0.9884960335569339      -0.014571286346018243
1050000000               -0.9852212185196203      0.07589644941135457
1080000000               -0.9736288737612         0.1656136437340544
1110000000               -0.9538330407990765      0.2538128569521216
1140000000               -0.9260191652732808      0.3397419078800532
1170000000               -0.8904421367332415      0.4226706287617562
1200000000               -0.8474236701043818      0.501897365457812
1230000000               -0.7973490637376026      0.576755155657237
1260000000               -0.7406633763830104      0.6466175229214085
1290000000               -0.6778670717990061      0.7109038306871023
1320000000               -0.6095111853626531      0.7690841469214761
1350000000               -0.5361920714103483      0.8206835776353096
1380000000               -0.4585457934955957      0.8652860350534912
1410000000               -0.377242222048928       0.9025374141543581
1440000000               -0.2929789050329625      0.9321481592519381
1470000000               -0.20647477745117976     0.9538952099918108
1500000000               -0.1184637745759055      0.9676233236835863
1530000000               -0.029688412204523475    0.9732457778829424
1560000000               0.059106605426593545     0.970744463723267
1590000000               0.1471806924618198       0.9601693863841869
1620000000               0.23380354928446573      0.9416375943535098
1650000000               0.3182611416780855       0.9153315636631737
1680000000               0.399861446103124        0.8814970671114302
1710000000               0.47793992046330697      0.8404405615839221
1740000000               0.5518646644019898       0.7925261290099211
1770000000               0.621041237799592        0.7381720082723761
1800000000               0.6849171106278953       0.677846756614306
1830000000               0.7429857217107959       0.6120650797389385
1860000000               0.7947901280031939       0.5413833700877678
1890000000               0.8399262299493775       0.4663949926030645
1920000000               0.8780455620689207       0.3877253569507888
1950000000               0.9088576415382932       0.30602681427974976
1980000000               0.9321318707675271       0.22197341573063648
2010000000               0.9476989933271245       0.13625556843572395
2040000000               0.955452105827078        0.04957462269425427
2070000000               0.9553472314098812       -0.03736257883440223
2100000000               0.947403463084638        -0.12384916367147902
2130000000               0.931702686006431        -0.20918368409176807
2.16E9                   0.9083888849130255       -0.2926755530323814
2.19E9                   0.8776670325810962       -0.37365046068408864
2.22E9                   0.8398015328096751       -0.45145577706637297
2.25E9                   0.7951141553158909       -0.5254659354016032
2.28E9                   0.7439813597443767       -0.5950877454266337
2.31E9                   0.6868308959786955       -0.6597654897944054
2.34E9                   0.6241376469873313       -0.7189855320294545
2.37E9                   0.5564188876428139       -0.7722801049744751
2.4E9                    0.4842293939418422       -0.8192300919624806
2.43E9                   0.4081569264727069       -0.8594669873328252
2.46E9                   0.32881833537145994      -0.8926745932989077
2.49E9                   0.24685602111077626      -0.9185910226970443
2.52E9                   0.16293415647314352      -0.9370111682770258
2.55E9                   0.07773419080425442      -0.9477893185900625
2.58E9                   -0.008050454333127987    -0.9508414165476267
2.61E9                   -0.0937202721130662      -0.9461465951570915
2.64E9                   -0.17857582441180908     -0.9337478681434892
2.67E9                   -0.2619239170956857      -0.9137520213849604
2.7E9                    -0.3430836578584197      -0.8863288078402989
2.73E9                   -0.4213923331190538      -0.8517095378717269
