% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 10 2022, 10:03
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5958784811991062       -0.7862840987891794
330000000                0.5211722805139879       -0.8380189479234078
360000000                0.44202291294039747      -0.882685311409063
390000000                0.35909480620189904      -0.9199020487860023
420000000                0.2730854972113237       -0.949349776750835
450000000                0.1847199755025109       -0.9707738904879719
480000000                0.09474472450746614      -0.9839870690106052
510000000                0.0039215081642812065    -0.9888712333252649
540000000                -0.08697904789407662     -0.9853789294781361
570000000                -0.17718402674305533     -0.9735341118991703
600000000                -0.2659248857431513      -0.9534323070486774
630000000                -0.3524441575765213      -0.9252401423597075
660000000                -0.43600212415414474     -0.8891942312312475
690000000                -0.5158833982865388      -0.845599411410741
720000000                -0.5914033471626301      -0.7948263408752805
750000000                -0.6619142903752337      -0.7373084629462726
780000000                -0.7268114059762945      -0.6735383599206642
810000000                -0.7855382790986559      -0.6040635225198869
840000000                -0.8375920301978914      -0.5294815703097325
870000000                -0.8825279636813964      -0.4504349655856794
900000000                -0.9199636817247789      -0.36760527124096337
930000000                -0.9495826144153103      -0.2817070089706242
960000000                -0.9711369233569509      -0.1934811810328088
990000000                -0.9844497436916365      -0.1036885234084971
1020000000               -0.9894167374959135      -0.013102562566125107
1050000000               -0.9860069402598871      0.07749744892019306
1080000000               -0.974262891286715       0.16733364078542776
1110000000               -0.9543000481247333      0.25563660008274186
1140000000               -0.9263054944449082      0.34165233560365355
1170000000               -0.8905359598314416      0.42464905694505656
1200000000               -0.847315178681088       0.5039236962204726
1230000000               -0.7970306234833031      0.5788081049277471
1260000000               -0.7401296551617649      0.6486748636286501
1290000000               -0.6771151396285824      0.7129426483201281
1320000000               -0.6085405853099529      0.7710811041187334
1350000000               -0.535004860809097       0.8226151843893741
1380000000               -0.4571465553354053      0.8671289211127764
1410000000               -0.3756380466717666      0.9042686003331625
1440000000               -0.29117934285826685     0.9337453243355592
1470000000               -0.20449176355940796     0.955336950217845
1500000000               -0.11631152652593553     0.9688894018518082
1530000000               -0.027383302603511163    0.9743173594363177
1560000000               0.06154619974562756      0.9716043373610367
