% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 2 2022, 16:07
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5956057125228352       -0.7866034895393053
330000000                0.5208339090961763       -0.8383450176119456
360000000                0.4416150062144672       -0.883008142594534
390000000                0.3586148763091428       -0.9202110121650504
420000000                0.2725325814544059       -0.9496337477038413
450000000                0.1840946886379948       -0.9710214658082134
480000000                0.09404928449920719      -0.9841867826813427
510000000                0.003159736279874892     -0.9890117699527651
540000000                -0.08780175156179269     -0.985449333661379
570000000                -0.17806073186947274     -0.9735239917063512
600000000                -0.2668472036202287      -0.9533320295411963
630000000                -0.353402335429385       -0.9250410189868641
660000000                -0.43698516058789516     -0.8888886909539585
690000000                -0.5168791788414681      -0.8451811592664886
720000000                -0.5923987980742554      -0.7942904999555838
750000000                -0.6628955489045014      -0.736651697669444
780000000                -0.727764005008206       -0.6727589788547644
810000000                -0.7864473437733217      -0.6031615590373278
840000000                -0.8384424839038541      -0.5284588397667872
870000000                -0.8833047406694217      -0.4492950979400672
900000000                -0.9206519434252789      -0.36635371836992736
930000000                -0.9501679664406795      -0.2803510263154026
960000000                -0.9716056301237661      -0.1920297835732755
990000000                -0.9847889376126745      -0.10215241629607008
1020000000               -0.989614619715521       -0.01149404725069449
1050000000               -0.9860529700526618      0.07916459203078702
1080000000               -0.9741479613693896      0.1690442915692689
1110000000               -0.9540166433617174      0.25737445805670617
1140000000               -0.9258478316645432      0.34340009729143867
1170000000               -0.8899001067729562      0.42638860883912044
1200000000               -0.8464991504001343      0.5056363207746478
1230000000               -0.7960344548995528      0.5804746967935115
1260000000               -0.7389554487912213      0.6502761532507664
1290000000               -0.6757670879269858      0.7144594299206841
1320000000               -0.6070249673863037      0.7724944651285495
1350000000               -0.5333300136528731      0.8239067333717097
1380000000               -0.4553228200820974      0.8682810112926476
1410000000               -0.3736776907009922      0.9052645460154656
1440000000               -0.28909645882568563     0.9345696076305535
1470000000               -0.20230214679224315     0.9559754156594731
1500000000               -0.11403253238364038     0.9693294367491231
1530000000               -0.025033685626273085    0.9745480580182981
1560000000               0.06394646291967554      0.9716166470264045
1590000000               0.15216446449304932      0.9605890152869231
1620000000               0.23888755104686352      0.9415863075200847
1650000000               0.3233996409305519       0.9147953433639633
1680000000               0.40500710592378814      0.8804664421008186
1710000000               0.48304425897260334      0.8389107640411679
1740000000               0.5568785266926771       0.7904972045878167
1770000000               0.6259152752642564       0.7356488788219098
1800000000               0.6896022630496127       0.6748392355574246
1830000000               0.747433697475379        0.6085878405770364
1860000000               0.798953878040356        0.53745586886196
1890000000               0.8437604110393881       0.46204134565274535
1920000000               0.8815069854568442       0.3829741755932672
1950000000               0.911905702915146        0.30091099855484305
1980000000               0.9347289579705991       0.2165299097956329
2010000000               0.9498108684810505       0.1305250806762772
2040000000               0.9570482591542376       0.04360131412516849
2070000000               0.956401204695768        -0.043531433657372255
2100000000               0.9478931419728497       -0.13016353867480232
2130000000               0.9316105620061258       -0.2155911818631463
