% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 22 2022, 11:35
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5963464042507457       -0.7864059508814671
330000000                0.5216422207847037       -0.8382137718745233
360000000                0.4424824018539029       -0.8829534034350335
390000000                0.35953192024201536      -0.9202417528418506
420000000                0.2734890444093216       -0.9497577110175348
450000000                0.1850796451797896       -0.9712451566982886
480000000                0.09505120893332375      -0.9845154489383025
510000000                0.004166601149769278     -0.9894493759433811
540000000                -0.08680237193503207     -0.9859985312481993
570000000                -0.1770815514711348      -0.9741860919482292
600000000                -0.2659011080659945      -0.9541069782670881
630000000                -0.35250225878614094     -0.9259273788636018
660000000                -0.4361439563899329      -0.889883632253693
690000000                -0.5161094863078864      -0.8462804611987625
720000000                -0.5917129048670484      -0.7954885640827172
750000000                -0.6623052519949744      -0.7379415745878259
780000000                -0.7272804714452837      -0.6741324089287343
810000000                -0.7860809729898709      -0.6046090279033232
840000000                -0.8382027737154948      -0.5299696486287951
870000000                -0.8832001587035117      -0.45085744878885753
900000000                -0.9206898060394425      -0.36795481361429827
930000000                -0.9503543269281529      -0.2819771822940513
960000000                -0.9719451780451719      -0.19366655694955617
990000000                -0.9852849108956514      -0.10378474219430106
1020000000               -0.9902687310284229      -0.013106387740505612
1050000000               -0.9868653487710466      0.07758809073261232
1080000000               -0.9751171122297472      0.16751963493704006
1110000000               -0.9551394226652632      0.25591763406916085
1140000000               -0.927119441631589       0.3420269042537205
1170000000               -0.891314108410417       0.4251144822438233
1200000000               -0.8480474949250661      0.5044761614232657
1230000000               -0.7977075335742234      0.5794427021638574
1260000000               -0.7407421606732197      0.6493856542799323
1290000000               -0.677654924860494       0.7137227351238726
1320000000               -0.6090001153105147      0.7719227139278598
1350000000               -0.5353774690771367      0.8235097603790928
1380000000               -0.45742652041982973     0.8680672230977576
1410000000               -0.37582065696054817     0.9052408118757512
1440000000               -0.2912609490844611      0.9347411652288617
1470000000               -0.20446981870589254     0.9563457929296191
1500000000               -0.11618461297846086     0.9699003905248
1530000000               -0.0271511465209203      0.9753195300699297
1560000000               0.06188272665109356      0.9725867378295867
1590000000               0.1501734537088032       0.9617539756814182
1620000000               0.23698798195819093      0.9429405482101153
1650000000               0.32160976629064497      0.9163314620453868
1680000000               0.4033445396990278       0.8821752678291684
1710000000               0.48152580611244233      0.840781418301318
1740000000               0.5555200195077177       0.7925171784013243
1770000000               0.6247314178669723       0.7378041250912468
1800000000               0.6886064851870888       0.6771142757489294
1830000000               0.746638019011342        0.610965884725085
1860000000               0.798368785199704        0.5399189478287515
1890000000               0.8433947455006884       0.4645704544191433
1920000000               0.8813678472122913       0.38554942632940103
1950000000               0.911998367738514        0.3035117821140108
1980000000               0.9350568102279859       0.21913506416302206
2010000000               0.950375349889617        0.13311306472867543
2040000000               0.9578488338792568       0.04615038507109599
2070000000               0.9574353409900724       -0.04104304111667376
2100000000               0.9491563101880929       -0.1277574334191482
2130000000               0.9330962483291473       -0.21328863982699248
2.16E9                   0.9094020249288527       -0.29694359124461656
2.19E9                   0.8782817516512346       -0.37804573674964576
2.22E9                   0.8400032211056971       -0.4559404687890083
2.25E9                   0.7948918406126282       -0.5300005394131679
2.28E9                   0.7433279508554307       -0.5996314231351146
2.31E9                   0.6857434017983032       -0.6642764812608768
2.34E9                   0.6226173338058989       -0.7234216444695831
2.37E9                   0.5544713291695054       -0.7765992535320617
2.4E9                    0.48186438758478406      -0.8233908357160327
2.43E9                   0.40538829612667         -0.8634289918584103
2.46E9                   0.3256636853602748       -0.8963989821322498
2.49E9                   0.24333651063111664      -0.9220406356514457
2.52E9                   0.15907432621608422      -0.9401507814283607
2.55E9                   0.07356182796439051      -0.9505858764625966
2.58E9                   -0.012504448216866137    -0.9532642976157544
2.61E9                   -0.09842204173480998     -0.9481679047297056
2.64E9                   -0.18348876586584437     -0.9353427405899292
2.67E9                   -0.2670089306824888      -0.9148989135650041
2.7E9                    -0.34829944447012784     -0.8870097703319033
2.73E9                   -0.4266957276294833      -0.8519104554364599
2.76E9                   -0.5015574094784597      -0.8098959227360878
2.79E9                   -0.572273786432726       -0.7613184373844346
2.82E9                   -0.6382690155359966      -0.7065845927707136
2.85E9                   -0.6990070105808801      -0.6461518623749567
2.88E9                   -0.753996002614946       -0.5805247082538233
2.91E9                   -0.8027927238783837      -0.5102502727302077
2.94E9                   -0.8450061741502952      -0.43591368571275685
2.97E9                   -0.8803009301672811      -0.3581330263622678
3.0E9                    -0.9083999623456009      -0.2775539834116257
3.03E9                   -0.9290869275919328      -0.1948442636758433
3.06E9                   -0.9422079126496355      -0.11068780249385082
3.09E9                   -0.9476726087539271      -0.02577883322095227
3.12E9                   -0.9454549052540628      0.05918412476776913
3.15E9                   -0.9355928970797642      0.1435042989452999
3.18E9                   -0.9181883082321438      0.22649265665918353
3.21E9                   -0.8934053405901715      0.3074737988699965
3.24E9                   -0.8614689639569195      0.3857916972849774
3.27E9                   -0.8226626691861084      0.4608152207349021
3.3E9                    -0.7773257111911123      0.5319434003926092
3.33E9                   -0.7258498727022931      0.5986103872934158
3.36E9                   -0.6686757828327008      0.6602900594593072
3.39E9                   -0.606288827175897       0.7165002392834484
3.42E9                   -0.5392146886537148      0.7668064846727558
3.45E9                   -0.46801456117170137     0.8108254197392353
3.48E9                   -0.393280081871793       0.8482275729439608
3.51E9                   -0.3156280325286706      0.8787396932731639
3.54E9                   -0.23569486667222073     0.9021465189713546
3.57E9                   -0.15413112548013555     0.918291979722957
3.6E9                    -0.07159581123842358     0.9270798224591466
3.63E9                   0.01124920928205846      0.9284736629930643
3.66E9                   0.0937446994806047       0.9224964793764759
3.69E9                   0.17523937777860504      0.90922957633501
3.72E9                   0.2550950126657906       0.8888110618819257
3.75E9                   0.332691237884476        0.8614338865739827
3.78E9                   0.4074300493509929       0.8273435031597235
3.81E9                   0.4787399588312541       0.786835209929353
3.84E9                   0.5460797960871379       0.7402512435880717
3.87E9                   0.6089421705574694       0.6879776840204038
3.9E9                    0.6668566224517432       0.6304412208247436
3.93E9                   0.7193925055370514       0.5681058094882199
3.96E9                   0.76616164368495         0.5014692180389952
3.99E9                   0.8068207884189335       0.431059440982529
4.02E9                   0.8410738788396253       0.3574309447952382
4.05E9                   0.868674076820502        0.2811607126803701
4.08E9                   0.8894255285437289       0.20284407413890249
4.11E9                   0.9031847945254512       0.1230903305959864
4.14E9                   0.909861895336395        0.042518213860660486
4.17E9                   0.9094209360822436       -0.03824876741356269
4.2E9                    0.9018802935792292       -0.11858703006157022
4.23E9                   0.887312370262265        -0.19787760650485875
4.26E9                   0.8658429337240854       -0.2755107717282576
4.29E9                   0.8376500680042714       -0.3508905698295217
4.32E9                   0.8029627624039541       -0.4234392157883791
4.35E9                   0.762059157787687        -0.49260135685697026
4.38E9                   0.7152644623616351       -0.5578481810220247
4.41E9                   0.6629485422826336       -0.6186813575206589
4.44E9                   0.605523189254458        -0.6746367887437268
4.47E9                   0.5434390683835492       -0.725288146210975
4.5E9                    0.4771823542225965       -0.7702501579954362
4.53E9                   0.4072710699107628       -0.8091816121067815
4.56E9                   0.33425115233997327      -0.8417880403677036
4.59E9                   0.25869227402362827      -0.8678240504038774
4.62E9                   0.18118345888812615      -0.8870952791471537
4.65E9                   0.10232853310068535      -0.8994599493005506
4.68E9                   0.022741452357296944     -0.9048300190591541
4.71E9                   -0.05695845691228936     -0.9031719228938627
4.74E9                   -0.1361513115265119      -0.8945069047403766
4.77E9                   -0.21422151654891436     -0.878910943116098
4.8E9                    -0.29056261978754094     -0.8565142611835509
4.83E9                   -0.3645821505479534      -0.8275004069899323
4.86E9                   -0.43570640710766856     -0.7921048845451738
4.89E9                   -0.5033851436067803      -0.7506133187426688
4.92E9                   -0.5670960942465683      -0.7033591475014364
4.95E9                   -0.6263492651763237      -0.6507208512827651
4.98E9                   -0.6806909246864861      -0.5931187499437768
5.01E9                   -0.7297072309200214      -0.5310114159370022
5.04E9                   -0.7730274525298777      -0.46489176719640857
5.07E9                   -0.810326758794297       -0.3952829096434409
5.1E9                    -0.8413285778315948      -0.32273379554927306
5.13E9                   -0.8658065388754045      -0.24781474993948494
5.16E9                   -0.883586021095654       -0.17111289635658516
5.19E9                   -0.8945453237872014      -0.09322749303961775
5.22E9                   -0.8986164530575552      -0.014765180950426707
5.25E9                   -0.895785497884027       0.0636648475739911
5.28E9                   -0.8860925562193294      0.14145572741342305
5.31E9                   -0.8696311790908333      0.21800778553790115
5.34E9                   -0.8465473267524746      0.292733312050736
5.37E9                   -0.8170378649212771      0.36506115793476573
5.4E9                    -0.7813486559189062      0.43444110084995463
5.43E9                   -0.7397723085738634      0.5003479512938459
5.46E9                   -0.6926456408343488      0.5622853993574565
5.49E9                   -0.6403468872786324      0.6197896172686175
5.52E9                   -0.58329266012535        0.6724326323691063
5.55E9                   -0.5219346552338778      0.7198254721806446
5.58E9                   -0.45675608797381684     0.7616210638740277
5.61E9                   -0.3882678485057369      0.7975168503264064
5.64E9                   -0.31700438066843334     0.8272570687138242
5.67E9                   -0.24351931146777686     0.8506346290806169
5.7E9                    -0.1683808856088721      0.8674925336756815
5.73E9                   -0.09216728521138862     0.877724796134411
5.76E9                   -0.015461929254428597    0.8812768517389717
5.79E9                   0.0611511581695126       0.8781454875022008
5.82E9                   0.13709184813844805      0.8683783493331512
5.85E9                   0.2117882502754327       0.8520730905325534
5.88E9                   0.28468090470356877      0.8293762095309914
5.91E9                   0.355226839779173        0.8004815958514238
5.94E9                   0.42290350369658897      0.7656287775449588
5.97E9                   0.48721255712010375      0.7251008516710042
6.0E9                    0.5476834929146958       0.6792220831087492
