% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 2 2022, 16:54
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5367932075646177       -0.8367027342969643
330000000                0.4506036908644504       -0.8858392594815767
360000000                0.3599962302933543       -0.9261001541789087
390000000                0.26588653503803883      -0.957096397143705
420000000                0.1692236273627751       -0.9785338705531473
450000000                0.07097992564804496      -0.9902160791696097
480000000                -0.027858869563094402    -0.9920458264903383
510000000                -0.12630397927402762     -0.9840258362198745
540000000                -0.22337372959821558     -0.966258318472145
570000000                -0.31810360612217203     -0.9389434918597775
600000000                -0.409556071986874       -0.902377083935919
630000000                -0.49683004490245575     -0.8569468438625116
660000000                -0.5790699334330747      -0.8031281119711644
690000000                -0.6554741385919307      -0.7414785008989049
720000000                -0.7253029327644461      -0.672631752954216
750000000                -0.7878856365864135      -0.597290846634332
780000000                -0.8426270225053923      -0.5162204332335275
810000000                -0.8890128833431329      -0.43023869113970514
840000000                -0.9266147142604109      -0.340208690937016
870000000                -0.95509346699702        -0.24702936895338667
900000000                -0.974202346221734       -0.15162621009011346
930000000                -0.9837886290113369      -0.05494174239665409
960000000                -0.9837944994849815      0.042074052819683884
990000000                -0.9742569019267844      0.13847331293421444
1020000000               -0.9553064264186715      0.2333197467157695
1050000000               -0.9271652515918896      0.32569786978452436
1080000000               -0.8901441790200757      0.4147219289248611
1110000000               -0.8446388032119243      0.4995444261201848
1140000000               -0.7911248697247298      0.5793641595635995
1170000000               -0.7301528817932224      0.6534337054663185
1200000000               -0.6623420228013025      0.7210662721292799
1230000000               -0.5883734678356743      0.7816418659460748
1260000000               -0.5089831625919347      0.8346127175286657
1290000000               -0.4249541518910527      0.8795079251227647
1320000000               -0.33710854284542197     0.9159372817671001
1350000000               -0.24629918975086565     0.9435942618117203
1380000000               -0.15340118853053825     0.9622581517806239
1410000000               -0.05930326852823242     0.9717953196665111
1440000000               0.035100831699524805     0.9721596257098475
1470000000               0.12892091979830198      0.9633919862934834
1500000000               0.22127875428983934      0.9456191108155845
1530000000               0.3113162200358039       0.9190514391290879
1560000000               0.39820320029334333      0.8839803143434436
1590000000               0.48114507593829076      0.8407744324136606
1620000000               0.5593897878849454       0.7898756159243879
1650000000               0.6322344044808332       0.7317939648689381
1680000000               0.6990311420056404       0.6671024418598716
1710000000               0.759192792879336        0.5964309532842804
1740000000               0.812197523154849        0.5204599911942919
1770000000               0.8575930079556944       0.43991390339832864
1800000000               0.8949998809144489       0.35555386115976834
1830000000               0.9241144812959323       0.2681705951491944
1860000000               0.9447108904322328       0.1785769706869873
