% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 22 2022, 15:08
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.44911838147391914      -0.7278034337619301
330000000                0.37540882493153344      -0.7652669836727879
360000000                0.2987957212746034       -0.7955008897785408
390000000                0.21995415673888452      -0.8182726603109084
420000000                0.13958433907126208      -0.833416117976414
450000000                0.05840310082974423      -0.8408332677460875
480000000                -0.022864088328990385    -0.8404953915225477
510000000                -0.10349076241485254     -0.8324433953314045
540000000                -0.182756821311828       -0.8167874320909179
570000000                -0.2599556310684985      -0.7937058232403318
600000000                -0.3344008501453158      -0.7634433045241136
630000000                -0.4054329526642456      -0.726308624533566
660000000                -0.4724254114266951      -0.682671528491346
690000000                -0.5347904990982636      -0.6329591640656684
720000000                -0.591984665098325       -0.5776519503199781
750000000                -0.6435134468328334      -0.5172789550874316
780000000                -0.6889358763041472      -0.4524128302244721
810000000                -0.7278683471439559      -0.38366435748069505
840000000                -0.7599879112226153      -0.31167666121014903
870000000                -0.7850349792583615      -0.23711914667145934
900000000                -0.8028154053828728      -0.1606812246904806
930000000                -0.8132019414107676      -0.08306588501712238
960000000                -0.8161350526269268      -0.00498318160783705
990000000                -0.8116230931126496      0.0728563068650896
1020000000               -0.7997418447669381      0.14974797827875463
1050000000               -0.7806334303047301      0.22499960812828892
1080000000               -0.7545046164808102      0.29793759036676076
1110000000               -0.7216245295255395      0.3679129598625923
1140000000               -0.682321810200072       0.43430714155988986
1170000000               -0.6369812410357473      0.4965373744815124
1200000000               -0.5860398829354886      0.5540617627780551
1230000000               -0.5299827626653768      0.6063839100843857
1260000000               -0.46933815640792287     0.653057098279212
1290000000               -0.4046725179204444      0.6936879764767313
1320000000               -0.336585102358604       0.7279397315028371
1350000000               -0.2657023391779014      0.7555347162329316
1380000000               -0.19267200888792113     0.7762565178967628
1410000000               -0.11815727954731835     0.7899514538913592
1440000000               -0.04283065929984371     0.7965294882632163
1470000000               0.0326320789179988       0.7959645675588989
1500000000               0.10755794496637866      0.7882943801320362
1530000000               0.18128269708344505      0.7736195482998862
1560000000               0.2531566728188741       0.752102267773323
1590000000               0.32255043471690376      0.7239644136433849
1620000000               0.38886018285792423      0.6894851367404105
1650000000               0.45151288918241783      0.648997978427061
1680000000               0.5099711118896233       0.6028875358230477
1710000000               0.5637374519156021       0.5515857129696293
1740000000               0.6123586173980308       0.49556759667527245
1770000000               0.6554290663965663       0.4353469984965852
1800000000               0.6925942026596115       0.37147170675661595
1830000000               0.7235531042082365       0.30451849426990796
1860000000               0.7480607696971742       0.2350879289120009
1890000000               0.7659298731631318       0.16379903481937427
1920000000               0.7770320238540734       0.09128385187589538
1950000000               0.7812985343549315       0.018181939888638126
1980000000               0.7787207072488542       -0.054865129150332086
2010000000               0.7693496576920342       -0.12721925289681918
2040000000               0.7532956958578979       -0.19825122601045847
2070000000               0.7307272973224713       -0.26734609908002
2100000000               0.7018696873162714       -0.3339084768203493
2130000000               0.6670030493645019       -0.39736779145874923
