% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 2 2022, 17:25
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.4706313450811047       -0.8684794951998329
330000000                0.3751852123397457       -0.9131002009181872
360000000                0.2756505926159525       -0.9472837840697759
390000000                0.17315742312788168      -0.9706693309929042
420000000                0.06886770443955968      -0.9830167769700987
450000000                -0.03603768132974956     -0.9842101822731198
480000000                -0.1403724822874155      -0.9742593939810704
510000000                -0.24295870847535098     -0.9533001132640395
540000000                -0.3426401912392878      -0.9215923973516857
570000000                -0.43829588999144314     -0.879517636949665
600000000                -0.5288527760008871      -0.8275740629514257
630000000                -0.6132981320135333      -0.7663708503035094
660000000                -0.6906911162817535      -0.696620901222785
690000000                -0.760173450023346       -0.6191324044607873
720000000                -0.8209790998233842      -0.5347992806849317
750000000                -0.8724428395273391      -0.4445906370343837
780000000                -0.9140075910755757      -0.3495393654066634
810000000                -0.9452304600494869      -0.2507300284090523
840000000                -0.9657873983675658      -0.14928618555592799
870000000                -0.9754764448371213      -0.04635731793107695
900000000                -0.9742195126635731      0.05689448646659012
930000000                -0.9620627118269033      0.15930792259484464
960000000                -0.939175213106741       0.2597357700967747
990000000                -0.9058466790728087      0.35705794602343655
1020000000               -0.8624833053278073      0.4501941528562037
1050000000               -0.8096025324791658      0.5381159728346637
1080000000               -0.7478265053557248      0.6198582686778178
1110000000               -0.6778743707133984      0.69452976140429
1140000000               -0.6005535179550217      0.7613226680860401
1170000000               -0.5167498788547233      0.8195212960265668
1200000000               -0.42741741215298995     0.868509504321424
1230000000               -0.3335669065681474      0.9077769593794447
1260000000               -0.2362542417882276      0.9369241268789477
1290000000               -0.13656825091202549     0.9556659590211904
1320000000               -0.03561832975342654     0.9638342523830977
1350000000               0.06547806143615968      0.9613786678933489
1380000000               0.16560786001373595      0.9483664203455682
1410000000               0.2636746863794107       0.9249806601497845
1440000000               0.3586108173377479       0.8915175845777816
1470000000               0.44938871854884294      0.8483823293703452
1500000000               0.5350320147247983       0.7960837042168816
1530000000               0.6146257852692092       0.7352278470814597
1560000000               0.6873260828246665       0.6665108826160488
1590000000               0.7523685827852962       0.5907106789696889
1620000000               0.8090762832185381       0.5086778049805518
1650000000               0.8568661863740407       0.4213257962490673
1680000000               0.8952549052565459       0.32962084360784893
1710000000               0.9238631511090869       0.23457102149449907
1740000000               0.9424190704142625       0.13721517609998563
1770000000               0.9507604126597216       0.038611594608496544
1800000000               0.9488355229223959       -0.06017342334061664
1830000000               0.9367031659885833       -0.1580769719836826
1860000000               0.9145312013615918       -0.25405080647792955
1890000000               0.8825941409401552       -0.34707235768968636
1920000000               0.8412696333380396       -0.43615538785521696
1950000000               0.7910339304985098       -0.5203601884077472
1980000000               0.7324564030163057       -0.5988032321480319
2010000000               0.666193179385206        -0.6706662064045386
2040000000               0.5929799895537856       -0.7352043724764354
2070000000               0.5136242913155901       -0.7917542201589811
2100000000               0.42899674363432294      -0.8397404134289741
2130000000               0.34002205597599056      -0.8786820492693759
