% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 2 2022, 17:30
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.469157151267803        -0.8704765660493905
330000000                0.37324948602664887      -0.9151378941302177
360000000                0.2732240779034429       -0.9492789616844628
390000000                0.17022574547993552      -0.9725329750326198
420000000                0.06543195868354293      -0.9846566833389412
450000000                -0.0399607524796874      -0.9855335797435858
480000000                -0.14475068155297263     -0.9751754632745222
510000000                -0.2477449178528075      -0.9537223803624371
540000000                -0.3477732184007454      -0.9214409746694362
570000000                -0.44370160003789877     -0.8787212858891096
600000000                -0.5344454801031319      -0.8260720521553213
630000000                -0.6189822030766609      -0.7641145853420124
660000000                -0.6963627990431995      -0.6935753041055852
690000000                -0.7657228314084298      -0.6152770241911663
720000000                -0.8262922030944442      -0.5301291199606023
750000000                -0.8774038043419963      -0.43911668440747154
780000000                -0.9185009007757359      -0.3432888264008467
810000000                -0.9491431767453771      -0.24374625426680085
840000000                -0.9690113668386662      -0.1416283027979586
870000000                -0.9779104269937309      -0.03809956698073072
900000000                -0.9757712158703562      0.06566369084909439
930000000                -0.9626506764309908      0.16848719167383405
960000000                -0.9387305272086786      0.2692121807702109
990000000                -0.9043144917769953      0.36670869436252396
1020000000               -0.8598241133506653      0.4598883929686226
1050000000               -0.8057932190416865      0.547716809576728
1080000000               -0.7428611146015996      0.6292248706038182
1110000000               -0.6717646054926646      0.7035195586279359
1140000000               -0.5933289534462014      0.7697935988271234
1170000000               -0.5084578892929205      0.8273340651461034
1200000000               -0.41812281254366646     0.8755298174850646
1230000000               -0.3233513158713242      0.913877697263724
1260000000               -0.22521517843627042     0.9419874252445584
1290000000               -0.12481797551973149     0.9595851624475975
1320000000               -0.023282453757981793    0.9665157117957005
1350000000               0.07826217920182295      0.9627433548765817
1380000000               0.17869290382274397      0.9483513343788122
1410000000               0.2769053336528737       0.9235400083767038
1440000000               0.37182581883776433      0.8886237173891204
1470000000               0.46242307762505847      0.8440264189400996
1500000000               0.5477192336448825       0.7902761570559209
1530000000               0.6268001460849111       0.7279984456347768
1560000000               0.6988249301769678       0.6579086548697867
1590000000               0.7630345764638229       0.5808034989055212
1620000000               0.8187595892017282       0.497551730373323
1650000000               0.8654265762775353       0.40908415388697333
1680000000               0.902563735791162        0.3163830753153689
1710000000               0.9298051971670347       0.22047130730210307
1740000000               0.9468941876224769       0.12240085378957098
1770000000               0.9536850078575082       0.023241397134969578
1800000000               0.9501438137431628       -0.07593128884219574
1830000000               0.9363482136864839       -0.17404687830759336
1860000000               0.9124857040616654       -0.27005186688150884
1890000000               0.8788509776243839       -0.36292066524245403
1920000000               0.8358421519532669       -0.4516663055682182
1950000000               0.78395597662903         -0.5353506618702204
1980000000               0.7237820883436243       -0.6130940968017913
2010000000               0.6559963916474172       -0.6840844621476245
2040000000               0.5813536477680528       -0.7475853990499186
2070000000               0.500679351309705        -0.8029439076120515
2100000000               0.41486095958010644      -0.8495971821452342
2130000000               0.32483850338893616      -0.8870787331333135
2.16E9                   0.23159454286287176      -0.9150238256358686
2.19E9                   0.136143333173481        -0.9331742278069337
2.22E9                   0.039518952925327436     -0.9413821347681591
2.25E9                   -0.05723790396786974     -0.9396128600615982
2.28E9                   -0.15309460617837978     -0.9279454703950748
2.31E9                   -0.24704227077551755     -0.906570154455234
2.34E9                   -0.33811091709718416     -0.8757812211073217
2.37E9                   -0.42538147190441117     -0.8359657861576828
2.4E9                    -0.5079920878880685      -0.7875904036912935
2.43E9                   -0.5851384170003867      -0.7311897434877022
2.46E9                   -0.6560708763018961      -0.6673608338951817
2.49E9                   -0.7200937858648193      -0.5967630235419258
2.52E9                   -0.7765696818302081      -0.5201202173612693
2.55E9                   -0.8249285239111283      -0.43822104001983475
2.58E9                   -0.864678958500163       -0.35191450891489723
2.61E9                   -0.8954186318729056      -0.2621013679883812
2.64E9                   -0.9168418651457211      -0.1697226477082858
2.67E9                   -0.9287443683566505      -0.07574709932620187
2.7E9                    -0.9310254113663285      0.01884139958851072
2.73E9                   -0.9236880417918649      0.11305594460707556
2.76E9                   -0.9068378337403113      0.2059180470949097
2.79E9                   -0.880680483267144       0.2964684176421998
2.82E9                   -0.8455184325542917      0.3837771270595969
2.85E9                   -0.8017466234052067      0.4669531683190508
2.88E9                   -0.7498474408875199      0.5451534162298146
2.91E9                   -0.6903848943546028      0.6175909576245966
2.94E9                   -0.6239980834491808      0.6835427487945286
2.97E9                   -0.5513940034958142      0.7423565485963851
3.0E9                    -0.47333975378786236     0.7934570734958918
3.03E9                   -0.39065422173695175     0.8363513231798806
3.06E9                   -0.3041993239555814      0.8706330314819095
3.09E9                   -0.21487089236880755     0.8959862055601742
3.12E9                   -0.1235892980180168      0.912187726539289
3.15E9                   -0.03128990775284173     0.9191089959080778
3.18E9                   0.06108653131266504      0.9167166233508474
3.21E9                   0.1526034875673796       0.9050721621681181
3.24E9                   0.2423381337421395       0.8843309070125547
3.27E9                   0.3293906478827937       0.8547397744283964
3.3E9                    0.41289325096222174      0.8166342892531913
3.33E9                   0.49201890928908815      0.7704346996757858
3.36E9                   0.5659896293961921       0.7166412420418781
3.39E9                   0.6340842682013502       0.6558285753864753
3.42E9                   0.6956457715006448       0.5886394079159835
3.45E9                   0.7500877408369452       0.5157773461328843
3.48E9                   0.7969002153369331       0.43799901444286427
3.51E9                   0.8356545456281623       0.3561055203078499
3.54E9                   0.8660072372556755       0.27093337587123817
3.57E9                   0.8877026560427765       0.18334502772010985
3.6E9                    0.9005745209388692       0.09421918373143578
3.63E9                   0.9045461588749906       0.004441151474794685
3.66E9                   0.899629554311602        -0.08510659152729357
3.69E9                   0.8859232832132264       -0.17355339027299901
3.72E9                   0.8636094688513964       -0.26004879417206517
3.75E9                   0.8329499323253249       -0.3437701962650929
3.78E9                   0.7942817368204406       -0.4239296447398059
3.81E9                   0.7480123436894183       -0.4997797969858569
3.84E9                   0.6946146048096097       -0.5706190562324023
3.87E9                   0.6346217941652089       -0.6357960145434302
3.9E9                    0.5686228160154825       -0.694713407435064
3.93E9                   0.4972576148923546       -0.7468318342046639
3.96E9                   0.4212126758533861       -0.7916734833149651
3.99E9                   0.3412163841551397       -0.8288260121944657
4.02E9                   0.2580339556821251       -0.8579465847685426
4.05E9                   0.1724616771350748       -0.8787659119747296
4.08E9                   0.08532029966455285      -0.8910920203791592
4.11E9                   -0.002552423433259854    -0.8948134254233291
4.14E9                   -0.09030992069332983     -0.8899014153950756
4.17E9                   -0.17710547072490074     -0.8764112412758559
4.2E9                    -0.26210107362864515     -0.8544821237937941
4.23E9                   -0.344476259120695       -0.824336098934273
4.26E9                   -0.4234366217858945      -0.7862758016878534
4.29E9                   -0.4982219484602257      -0.740681323145195
4.32E9                   -0.5681138707704242      -0.6880062705007891
4.35E9                   -0.6324430196053545      -0.6287731267680315
4.38E9                   -0.6905956709083519      -0.5635679666246941
4.41E9                   -0.7420198592530124      -0.49303455401433044
4.44E9                   -0.7862309090780143      -0.41786783644223596
4.47E9                   -0.8228163074290782      -0.3388068611445739
4.5E9                    -0.851439826630214       -0.25662716362985794
4.53E9                   -0.8718448049319764      -0.17213271132992938
4.56E9                   -0.8838565081932835      -0.08614751619957428
4.59E9                   -0.8873835235976893      4.929459451137825E-4
4.62E9                   -0.8824181736150085      0.08695035961934856
4.65E9                   -0.8690359793881681      0.17239209187792603
4.68E9                   -0.8473942392369882      0.2559994892376596
4.71E9                   -0.8177298099614934      0.336975863300918
4.74E9                   -0.7803561777186101      0.41455412189160995
4.77E9                   -0.7356598803963531      0.4880040354412846
4.8E9                    -0.684096304070232       0.5566391375917856
4.83E9                   -0.6261848404333694      0.6198232384888157
4.86E9                   -0.5625033783213803      0.6769764869902208
4.89E9                   -0.493682120319963       0.7275808715563347
4.92E9                   -0.4203967618336304      0.7711850185241965
4.95E9                   -0.3433611311227159      0.8074081442818255
4.98E9                   -0.26331944778599115     0.8359430475527525
5.01E9                   -0.18103839830207136     0.8565580847260261
5.04E9                   -0.0972992401115958      0.8690981439217412
5.07E9                   -0.012890123661527399    0.8734847083478648
5.1E9                    0.0714012347802747       0.8697151588368691
5.13E9                   0.15479447908751887      0.857861490827456
5.16E9                   0.23652317444078952      0.8380685984715033
5.19E9                   0.31584110091898926      0.8105522085095423
5.22E9                   0.39202838294482856      0.7755964514108751
5.25E9                   0.4643975004177325       0.7335509780716345
5.28E9                   0.5322991288767309       0.684827508362551
5.31E9                   0.5951276652548698       0.6298957491772944
5.34E9                   0.6523262615288182       0.5692787214407925
5.37E9                   0.703391230456801        0.5035476365061822
5.4E9                    0.7478757845662287       0.43331651258771686
5.43E9                   0.7853931743198483       0.35923670036852795
5.46E9                   0.8156193583415074       0.28199140891791136
5.49E9                   0.83829534578665         0.20229022550233916
5.52E9                   0.8532293036304616       0.12086354327787885
5.55E9                   0.8602984424983848       0.03845677174351368
5.58E9                   0.8594506094495561       -0.044175787983534484
5.61E9                   0.8507054456714407       -0.12627747366693298
5.64E9                   0.8341549256126339       -0.20709619230814283
5.67E9                   0.8099630922577415       -0.2858916521803255
5.7E9                    0.7783648485907442       -0.36194270920486515
5.73E9                   0.7396637566351189       -0.4345545803410197
5.76E9                   0.6942289132977084       -0.5030656739480934
5.79E9                   0.6424910761898777       -0.566853854254489
5.82E9                   0.5849382568735934       -0.6253420742552441
5.85E9                   0.522110961866122        -0.6780034274322935
5.88E9                   0.45459716502437697      -0.7243657294228468
5.91E9                   0.3830269917307014       -0.7640157241208654
5.94E9                   0.30806703579550804      -0.7966029354065336
5.97E9                   0.23041423205616793      -0.8218431005762489
6.0E9                    0.1507892566608236       -0.8395210619125044
