% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 22 2022, 16:08
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.4053160919321787       -0.7701205270069839
330000000                0.32202923091903524      -0.8057605924704507
360000000                0.23582866742434644      -0.8326220966544252
390000000                0.1476080904208704       -0.8504632498958611
420000000                0.05828663900959104      -0.8591362225606276
450000000                -0.03120272897395502     -0.8585890856231533
480000000                -0.11992443690329857     -0.8488665814297504
510000000                -0.20695114613208077     -0.8301097508038375
540000000                -0.2913742757093249      -0.8025544449272295
570000000                -0.372314145458603       -0.7665287558305814
600000000                -0.4489296793258637      -0.7224494067281606
630000000                -0.5204275931364707      -0.6708171520005477
660000000                -0.5860709862581555      -0.6122112456335664
690000000                -0.645187256536095       -0.5472830460048563
720000000                -0.6971752610166757      -0.47674883387885547
750000000                -0.7415116511074022      -0.40138192840728293
780000000                -0.777756317963097       -0.32200419387079016
810000000                -0.8055568934561465      -0.2394770358999807
840000000                -0.8246522618701513      -0.1546919918302483
870000000                -0.8348750487963935      -0.0685610236206264
900000000                -0.8361530651755509      0.017993375116667456
930000000                -0.828509696516222       0.10404814496598258
960000000                -0.8120632395023272      0.18868958633469463
990000000                -0.7870252003511355      0.2710231330729136
1020000000               -0.7536975812252349      0.3501828648591445
1050000000               -0.712469192521989       0.4253406532856519
1080000000               -0.6638110398160726      0.49571484174009933
1110000000               -0.6082708444907826      0.560578365645491
1140000000               -0.5464667664183708      0.61926622720876
1170000000               -0.47908040551040537     0.6711822471933299
1200000000               -0.40684916620788825     0.7158050256013496
1230000000               -0.33055807519071917     0.7526930530317982
1260000000               -0.25103114760855477     0.7814889248986092
1290000000               -0.16912240072846407     0.8019226216201747
1320000000               -0.08570661651734267     0.813813828777405
1350000000               -0.0016699558851684061   0.8170732823826246
1380000000               0.08209947277302963      0.8117031354072823
1410000000               0.16472098899974022      0.7977963524247376
1440000000               0.24533056044088453      0.7755351497429237
1470000000               0.3230897716529455       0.7451885083314764
1500000000               0.39719444979549917      0.7071087963238549
1530000000               0.4668828605875073       0.6617275466767005
1560000000               0.5314433938420985       0.6095504436840249
1590000000               0.5902216645433812       0.5511515794015395
1620000000               0.6426269626694986       0.4871670475909922
1650000000               0.6881379927278843       0.4182879485129523
1680000000               0.7263078521975775       0.3452528827384338
1710000000               0.7567682065601677       0.268840016177309
1740000000               0.7792326275268568       0.1898588014908515
1770000000               0.7934990700084559       0.10914144337281113
1800000000               0.7994514726687858       0.02753419624583081
1830000000               0.7970604761281614       -0.054111416684767925
1860000000               0.7863832622951986       -0.13494737501503587
1890000000               0.7675625275971463       -0.2141378371991537
1920000000               0.7408246121077927       -0.29086763833475726
1950000000               0.7064768154606917       -0.36435053176938925
1980000000               0.6649039386427816       -0.433837103558832
2010000000               0.6165640975398177       -0.4986222982615009
2040000000               0.5619838581632312       -0.5580525068352181
2070000000               0.5017527424161804       -0.6115321829580547
2100000000               0.436517143262153        -0.6585299716112406
2130000000               0.3669736637696815       -0.6985843493875109
2.16E9                   0.29386184981291613      -0.7313087795620853
2.19E9                   0.2179562197229526       -0.7563963561130748
2.22E9                   0.14005742114513264      -0.7736238168963143
2.25E9                   0.0609823189598389       -0.7828546128985333
2.28E9                   -0.018447050794311616    -0.7840404335264441
2.31E9                   -0.09741529599191896     -0.7772203363460715
2.34E9                   -0.17512513433359198     -0.7625167347601622
2.37E9                   -0.2508066698837918      -0.7401283418867388
2.4E9                    -0.32372275311411597     -0.7103217023505655
2.43E9                   -0.39317026474282823     -0.6734241771815731
