% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 2 2022, 17:17
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.4771989633752206       -0.8702807710600793
330000000                0.38174631590134356      -0.915877801891376
360000000                0.28204290327537046      -0.9510332991126934
390000000                0.1792271237883467       -0.9753621102637968
420000000                0.07447146135321994      -0.988602790643275
450000000                -0.031031037248420646    -0.9906206370324524
480000000                -0.13608054636741543     -0.9814091935791096
510000000                -0.23948432940438585     -0.9610902212665802
540000000                -0.34007051730610716     -0.9299121388772019
570000000                -0.4367016278622198      -0.8882469600926828
600000000                -0.5282876600287262      -0.8365857687672174
630000000                -0.6137986045834993      -0.7755327912682946
660000000                -0.6922762191469429      -0.705798141951405
690000000                -0.7628449260082428      -0.6281893336157669
720000000                -0.8247217020663853      -0.5436016601058936
750000000                -0.8772248433302683      -0.45300757213095494
780000000                -0.9197815011941544      -0.35744517949589594
810000000                -0.9519339034280613      -0.2580060238784903
840000000                -0.973344190209205       -0.15582227466804344
870000000                -0.9837978134487442      -0.05205350723388458
900000000                -0.9832054664896657      0.0521267729788388
930000000                -0.9716035302005654      0.1555446945852219
960000000                -0.9491530406941993      0.2570395073215321
990000000                -0.9161372027279393      0.3554768288603939
1020000000               -0.8729574911512229      0.4497614932642973
1050000000               -0.8201284002860704      0.5388498495309968
1080000000               -0.7582709175231497      0.6217613676937224
1110000000               -0.6881048125088873      0.6975894205250938
1140000000               -0.6104398468539292      0.7655111211656291
1170000000               -0.5261660211895842      0.8247961105849602
1200000000               -0.4362429863918249      0.8748142035920673
1230000000               -0.3416887539879448      0.9150418176615531
1260000000               -0.24356784673110649     0.9450671251725251
1290000000               -0.1429790347456672      0.9645938860775429
1320000000               -0.04104280446257694     0.9734439348563207
1350000000               0.061111291933476336     0.9715583119875583
1380000000               0.16235726056435773      0.9589970463869645
1410000000               0.261585120838617        0.9359376108066613
1440000000               0.3577130536578002       0.9026720869929474
1470000000               0.4496991116366946       0.8596030913224612
1500000000               0.5365523679342564       0.8072385244776323
1530000000               0.6173433891648519       0.7461852204517573
1560000000               0.691213927781618        0.6771415806832787
1590000000               0.7573857400949763       0.6008892883421336
1620000000               0.8151684475132837       0.5182842057009952
1650000000               0.8639663705312408       0.43024656414743445
1680000000               0.9032842773626435       0.33775056167362366
1710000000               0.9327320017828562       0.2418134865696589
1740000000               0.9520278974837013       0.1434844888442259
1770000000               0.9610011092311042       0.043833122121374204
1800000000               0.9595926539821673       -0.05606222110302742
1830000000               0.9478553180214377       -0.15512585918695984
1860000000               0.9259523889693139       -0.25229623717219457
1890000000               0.894155254185614        -0.3465370937989636
1920000000               0.8528399094843995       -0.4368482710529077
1950000000               0.8024824340928092       -0.5222760654369352
1980000000               0.7436534988314712       -0.6019230313002569
2010000000               0.6770119838629892       -0.6749571608344072
2040000000               0.603297788023691        -0.7406203844132232
2070000000               0.5233239107145379       -0.7982363588376646
2100000000               0.43796787366348333      -0.8472175394511243
2130000000               0.34816251544327365      -0.8870715598912137
2.16E9                   0.2548861258948426       -0.9174069574427666
2.19E9                   0.15915178482026793      -0.9379382534980126
2.22E9                   0.06199564534492144      -0.9484902779164099
2.25E9                   -0.035536172868415504    -0.9490013540743926
2.28E9                   -0.1324022804682386      -0.9395245257397344
2.31E9                   -0.22758193203699398     -0.9202255688557477
2.34E9                   -0.3200906781382547      -0.8913765534745146
2.37E9                   -0.4089930905885735      -0.8533448256092595
2.4E9                    -0.4934098135054245      -0.8065795289382438
2.43E9                   -0.5725182902584565      -0.751599831581073
2.46E9                   -0.6455500370219677      -0.6889886617416153
2.49E9                   -0.7117894459689831      -0.6193924263061813
2.52E9                   -0.7705777121333741      -0.543523396224544
2.55E9                   -0.8213218581331845      -0.46216030048227963
2.58E9                   -0.8635060991245187      -0.3761444995621037
2.61E9                   -0.8967024789411857      -0.28637172830290747
2.64E9                   -0.9205789792582794      -0.1937809117363621
2.67E9                   -0.9349046918311716      -0.09934171086140824
2.7E9                    -0.9395524241819034      -0.004041931077518652
2.73E9                   -0.9344993119700583      0.09112464819681927
2.76E9                   -0.9198259205126336      0.18516983583105096
2.79E9                   -0.8957141557071939      0.2771219659074509
2.82E9                   -0.8624441711480935      0.3660362378245866
2.85E9                   -0.8203903754910487      0.4510044787217224
2.88E9                   -0.7700166027935927      0.5311643225425909
2.91E9                   -0.7118704936641139      0.6057077767970945
2.94E9                   -0.6465771345397171      0.6738891321446819
2.97E9                   -0.5748320087632873      0.7350321613293231
3.0E9                    -0.49739332208238207     0.788536551531384
