% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 22 2022, 16:03
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.4693941278461063       -0.8706684636420919
330000000                0.37345314678240343      -0.9154622173870731
360000000                0.27335837774326993      -0.9497276972308475
390000000                0.1702583406210385       -0.9730902375472891
420000000                0.06533532234693222      -0.9853001834653151
450000000                -0.04020857014701012     -0.9862360308606564
480000000                -0.14516556965086186     -0.9759059174307488
510000000                -0.24833644459962284     -0.9544474900257953
540000000                -0.34854455811553653     -0.9221261781375031
570000000                -0.44464962108564327     -0.8793319135646102
600000000                -0.5355609732611083      -0.8265743498614788
630000000                -0.6202502333690425      -0.7644766498588782
660000000                -0.697763165605654       -0.6937679257085277
690000000                -0.7672306210976205      -0.6152744306228419
720000000                -0.8278784234298766      -0.5299096168215538
750000000                -0.8790360815761424      -0.43866318740606797
780000000                -0.9201442285616542      -0.3425892820468483
810000000                -0.9507607008245588      -0.24279394670540647
840000000                -0.9705651911105483      -0.14042204582580936
870000000                -0.9793624263776648      -0.03664378190521438
900000000                -0.9770838416959935      0.06735900940665068
930000000                -0.9637877405369967      0.17040661828840753
960000000                -0.9396579515955482      0.2713351048290435
990000000                -0.9050010115375584      0.36900966199050855
1020000000               -0.8602419216336475      0.4623375372477531
1050000000               -0.8059185439850739      0.5502803598112668
1080000000               -0.7426747195713057      0.6318657302152155
1110000000               -0.671252205364265       0.706197940550418
1140000000               -0.5924815412202881      0.7724677065354012
1170000000               -0.5072719689833075      0.8299608069606763
1200000000               -0.4166005358403479      0.8780655416169948
1230000000               -0.32150052171262855     0.9162789349984689
1260000000               -0.22304933622310685     0.9442116298178296
1290000000               -0.12235603427775672     0.961591431524759
1320000000               -0.02054860088737769     0.9682654820500031
1350000000               0.08123884449751789      0.964201057827016
1380000000               0.18187877618059894      0.9494850035259308
1410000000               0.28026277893091706      0.9243218286506425
1440000000               0.37531371493022014      0.8890305090145312
1470000000               0.4659974096804863       0.8440400489935698
1500000000               0.5513337340212908       0.7898838732189204
1530000000               0.6304069689451922       0.7271931279049086
1560000000               0.7023753503002269       0.6566889823097368
1590000000               0.7664797017950296       0.5791740297397672
1620000000               0.8220510766242946       0.49552289504696206
1650000000               0.8685173403140528       0.4066721618841099
1680000000               0.9054086402274912       0.313609737702495
1710000000               0.932361720037558        0.217363778047432
1740000000               0.9491230505503201       0.11899129385601262
