% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 26 2022, 10:18
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6053981265870864       -0.741900436312612
330000000                0.5380946863893471       -0.7913212853900816
360000000                0.46688575992277426      -0.8346997571827108
390000000                0.392298780630185        -0.8717302540780416
420000000                0.3148872323860694       -0.9021520454378671
450000000                0.23522641857773685      -0.9257518642094089
480000000                0.1539090603705427       -0.9423660039657572
510000000                0.07154075828168889      -0.9518819354021709
540000000                -0.011264645684505581    -0.9542394551037383
570000000                -0.09388977069581622     -0.9494313765585283
600000000                -0.17571842738895693     -0.9375037712744345
630000000                -0.2561403401350299      -0.9185557676109748
660000000                -0.33455582512609844     -0.8927389155892327
690000000                -0.41038038830442797     -0.8602561272194837
720000000                -0.4830492073403665      -0.8213602039535076
750000000                -0.5520214632130144      -0.7763519647853555
780000000                -0.6167844868491626      -0.7255779913923562
810000000                -0.6768576880362946      -0.6694280092118547
840000000                -0.7317962356760025      -0.60833192567467
870000000                -0.7811944595155419      -0.5427565498879765
900000000                -0.8246889460729012      -0.4732020203313072
930000000                -0.861961303930605       -0.400197969369708
960000000                -0.8927405758187685      -0.3242994559384134
990000000                -0.9168052782657576      -0.24608269926051643
1020000000               -0.9339850523791884      -0.16614064836147371
1050000000               -0.9441619126442545      -0.08507842359353428
1080000000               -0.9472710841388002      -0.0035086670873198072
1110000000               -0.9433014219121033      0.07795315978566
1140000000               -0.9322954099571924      0.15869349374773056
1170000000               -0.9143487407354063      0.23810536371352395
1200000000               -0.8896094797909623      0.31559302334292566
1230000000               -0.8582768235226805      0.3905764851531019
1260000000               -0.8205994616015261      0.462495919750509
1290000000               -0.7768735587187257      0.5308158855862815
1320000000               -0.7274403736768061      0.5950293556999283
1350000000               -0.6726835364724657      0.6546615105834679
1380000000               -0.6130260069944486      0.7092732678681304
1410000000               -0.5489267412093529      0.7584645224221771
1440000000               -0.4808770929691497      0.801877072883595
1470000000               -0.4093969814748194      0.8391972135220871
1500000000               -0.335030855990296       0.8701579733021
1530000000               -0.2583434907032401      0.8945409870728543
1560000000               -0.17991564360851575     0.9121779869185809
1590000000               -0.10033961399315211     0.9229519049052138
1620000000               -0.02021473343830831     0.9267975816072664
1650000000               0.05985717472023353      0.9237020779835157
1680000000               0.13927633253755545      0.9137045912231336
1710000000               0.21744950703255342      0.8968959782498328
1740000000               0.2937944385038403       0.873417893501978
1770000000               0.3677441650293517       0.8434615503702304
1800000000               0.43875121177021603      0.8072661183814239
1830000000               0.5062916148658989       0.7651167708002293
1860000000               0.56986875181052         0.7173423995028483
1890000000               0.6290169512754482       0.6643130164639222
1920000000               0.6833048578995705       0.6064368628937444
1950000000               0.7323385291646052       0.544157249167288
1980000000               0.7757642439099386       0.47794915014366
2010000000               0.8132710042546766       0.4083155819841907
2040000000               0.8445927151549321       0.33578378776802903
2070000000               0.8695100284408778       0.26090125990970947
2100000000               0.8878518406213733       0.1842316282140023
2130000000               0.8994964364744743       0.10635044200365494
2.16E9                   0.9043722725110727       0.02784087447180125
2.19E9                   0.9024583958371264       -0.05071062378088238
2.22E9                   0.8937844937902768       -0.1287186964912843
2.25E9                   0.8784305673167854       -0.20560345270939387
2.28E9                   0.8565262172412794       -0.28079480692621667
2.31E9                   0.828249531137876        -0.353736747030521
2.34E9                   0.7938255677122513       -0.42389147192398424
2.37E9                   0.7535244624603138       -0.49074332990284114
2.4E9                    0.7076592157428625       -0.5538025032035195
2.43E9                   0.6565832429500258       -0.6126084309416231
2.46E9                   0.6006877376990105       -0.6667330134498178
2.49E9                   0.540398837757315        -0.7157836477372949
2.52E9                   0.4761745422012347       -0.7594060979251696
2.55E9                   0.40850134237519886      -0.7972871477000263
2.58E9                   0.33789057513425685      -0.8291569616232158
2.61E9                   0.26487454466273874      -0.8547910991173607
2.64E9                   0.19000247062475284      -0.8740121538846237
2.67E9                   0.11383631345092873      -0.8866910121117825
2.7E9                    0.03694651762175969      -0.8927477307902603
2.73E9                   -0.040092293907134646    -0.8921520388551653
2.76E9                   -0.11670564379265827     -0.8849234628994731
2.79E9                   -0.19232351321331348     -0.8711310790228878
2.82E9                   -0.2663846133003963      -0.8508928932927591
2.85E9                   -0.3383405842582555      -0.8243748551972344
2.88E9                   -0.4076600910769546      -0.7917895109613977
2.91E9                   -0.4738327848869768      -0.7533943063705717
2.94E9                   -0.53637309971725        -0.7094895515658963
2.97E9                   -0.5948238552754508      -0.6604160631486489
3.0E9                    -0.6487596377774566      -0.6065525016842858
3.03E9                   -0.6977899325800778      -0.5483124252098499
3.06E9                   -0.7415619841578799      -0.48614108189389243
3.09E9                   -0.7797633612903999      -0.4205119671320914
3.12E9                   -0.8121242076768559      -0.3519231723929603
3.15E9                   -0.8384191608164104      -0.28089355491118234
3.18E9                   -0.8584689248551934      -0.20795875864548316
3.21E9                   -0.8721414859193208      -0.13366711822087682
3.24E9                   -0.8793529615267763      -0.05857547824898052
3.27E9                   -0.8800680786259655      0.016755038973688262
3.3E9                    -0.8743002778230036      0.091763284223814
3.33E9                   -0.8621114442579526      0.1658923175474751
3.36E9                   -0.8436112684154911      0.23859359689169035
3.39E9                   -0.8189562429155459      0.3093310869191538
3.42E9                   -0.7883483040094996      0.377585256077655
3.45E9                   -0.7520331291948742      0.44285693081224764
3.48E9                   -0.7102981051730899      0.5046709764784739
3.51E9                   -0.6634699831879165      0.5625797757197987
3.54E9                   -0.6119122419814432      0.6161664761746637
3.57E9                   -0.5560221816670305      0.6650479814828444
3.6E9                    -0.49622777494511017     0.7088776619947007
3.63E9                   -0.4329843048692352      0.7473477648425411
3.66E9                   -0.3667708203648162      0.7801915069594868
3.69E9                   -0.29808644193855216     0.8071848387851205
3.72E9                   -0.2274465502662423      0.8281478705774883
3.75E9                   -0.1553788900599214      0.8429459570957027
3.78E9                   -0.08241962040439113     0.8514904400629348
3.81E9                   -0.009109341421796913    0.85373905090044
3.84E9                   0.06401087509330576      0.8496959789379656
3.87E9                   0.13640342580452122      0.8394116121050317
3.9E9                    0.20753806418726006      0.822981957810859
3.93E9                   0.27689571637482974      0.8005477512098269
3.96E9                   0.3439722043635325       0.7722932569361083
3.99E9                   0.4082818554833839       0.7384447695751626
4.02E9                   0.4693609748681226       0.6992688185908686
4.05E9                   0.5267711554256683       0.6550700856396956
4.08E9                   0.5801023983975409       0.6061890459534416
4.11E9                   0.6289760177105109       0.5529993501024328
4.14E9                   0.673047303373793        0.49590496680011315
4.17E9                   0.7120079221092898       0.43533711131736724
4.2E9                    0.7455880377381778       0.3717509861799345
4.23E9                   0.7735581377048786       0.30562236221300354
4.26E9                   0.795730556069001        0.23744402773849207
4.29E9                   0.8119606861993717       0.1677221330927457
4.32E9                   0.822147878578199        0.09697245662458555
4.35E9                   0.8262360205575541       0.025716617416469686
4.38E9                   0.8242137958965412       -0.04552174023162292
4.41E9                   0.8161146229451536       -0.11622076542053753
4.44E9                   0.8020162716525988       -0.18586419663949316
4.47E9                   0.7820401613895176       -0.2539451087192204
4.5E9                    0.7563503438132696       -0.31996958390493596
4.53E9                   0.725152177620604        -0.3834602800276772
4.56E9                   0.6886907048289473       -0.4439598691276899
4.59E9                   0.6472487410411407       -0.5010343207989884
4.62E9                   0.6011446948734336       -0.5542760059254745
4.65E9                   0.5507301340698529       -0.6033065984828658
4.68E9                   0.49638711755803977      -0.6477797554653163
4.71E9                   0.43852531380121323      -0.6873835573188158
4.74E9                   0.37757892608415705      -0.7218426933945823
4.77E9                   0.31400344560996846      -0.7509203781526829
4.8E9                    0.24827225356059693      -0.7744199845484305
4.83E9                   0.18087309468078436      -0.792186381215652
4.86E9                   0.11230444697161523      -0.8041069607938243
4.89E9                   0.04307181497644024      -0.8101123483171341
4.92E9                   -0.026316023192332595    -0.810176781571343
4.95E9                   -0.09535078296720895     -0.804318159421956
4.98E9                   -0.16352842173969986     -0.7925977589691865
5.01E9                   -0.23035283669002543     -0.7751196272942393
5.04E9                   -0.2953394823168787      -0.7520296578839034
5.07E9                   -0.35801888136014137     -0.723514364956815
5.1E9                    -0.417940006659816       -0.68979937036237
5.13E9                   -0.474673514587775       -0.6511476175163976
5.16E9                   -0.5278148126895372      -0.6078573252922477
5.19E9                   -0.5769869435360571      -0.5602596934150282
5.22E9                   -0.6218432648789828      -0.5087163708230249
5.25E9                   -0.6620699036033348      -0.45361670100757384
5.28E9                   -0.6973879599431347      -0.3953747634140523
5.31E9                   -0.727555440588276       -0.33442623572437924
5.34E9                   -0.7523689043083451      -0.2712251064296777
5.37E9                   -0.7716648102673014      -0.20624026860524333
5.4E9                    -0.785320564998744       -0.13995202401746318
5.43E9                   -0.7932552672719928      -0.07284852350077742
5.46E9                   -0.7954301508191227      -0.0054221661647244545
5.49E9                   -0.7918487238678895      0.06183402154066391
5.52E9                   -0.7825566031627568      0.12843000550249303
5.55E9                   -0.7676410397923109      0.19388233886625766
5.58E9                   -0.7472301352379986      0.2577177061764767
5.61E9                   -0.7214917487096563      0.319476387728309
5.64E9                   -0.6906321008303604      0.37871561336317355
5.67E9                   -0.6548940840032431      0.43501277377021313
5.7E9                    -0.6145552956944955      0.48796845850116227
5.73E9                   -0.5699258167832925      0.5372092930283149
5.76E9                   -0.5213457613492077      0.5823905528965015
5.79E9                   -0.4691826256588786      0.6231985397626301
5.82E9                   -0.4138284620220975      0.6593527100858997
5.85E9                   -0.35569689927770637     0.6906075501173916
5.88E9                   -0.2952200282036033      0.7167541904361896
5.91E9                   -0.23284516930424104     0.7376217508780014
5.94E9                   -0.16903154241042273     0.7530784047473247
5.97E9                   -0.104246861437883       0.7630321511801871
6.0E9                    -0.0389638812474237      0.7674312869981137
