% Model:              cali 1.68 0.57mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 18 2022, 16:41
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5146345051358011       -0.7427004474607357
330000000                0.442091022525231        -0.7865242722398241
360000000                0.3659451479758943       -0.8233852371322972
390000000                0.28684737451549974      -0.8529795418197609
420000000                0.20547758977852998      -0.8750659689303609
450000000                0.12253808748494599      -0.8894682899248203
480000000                0.038746699231449355     -0.8960770884737498
510000000                -0.0451700310674303      -0.8948509782778139
540000000                -0.12848365074048368     -0.8858171977625422
570000000                -0.2104705670929331      -0.8690715690797399
600000000                -0.29041874907535575     -0.844777814262844
630000000                -0.3676343170181456      -0.8131662272399478
660000000                -0.4414479677839005      -0.7745317068532253
690000000                -0.5112211782780718      -0.7292311628953357
720000000                -0.5763521279436586      -0.6776803143695799
750000000                -0.6362812804042539      -0.620349906628254
780000000                -0.6904965656073175      -0.5577613815146835
810000000                -0.7385381065037646      -0.4904820419564181
840000000                -0.7800024381770018      -0.41911975953259656
870000000                -0.8145461725012624      -0.34431728017874175
900000000                -0.8418890677246198      -0.26674618934076144
930000000                -0.8618164700636655      -0.18710060291715594
960000000                -0.8741811029928481      -0.10609065505178868
990000000                -0.878904190393326       -0.024435856527864924
1020000000               -0.8759759117349488      0.057141601346592796
1050000000               -0.8654552018469199      0.13792352511869102
1080000000               -0.8474689242307998      0.21720231716125982
1110000000               -0.8222104619524695      0.29428745402560413
1140000000               -0.7899377712156304      0.3685118506955923
1170000000               -0.7509708957756205      0.43923818477459575
1200000000               -0.7056887851680257      0.5058652987036846
1230000000               -0.6545249766804897      0.5678346492313183
1260000000               -0.5979615576743784      0.6246361713991254
1290000000               -0.5365215703578528      0.6758120780227164
1320000000               -0.4707618562754303      0.7209575093217867
1350000000               -0.40126890833171586     0.7597196640263333
1380000000               -0.3286572587549326      0.791798928257101
1410000000               -0.2535669200608921      0.816952938981901
1440000000               -0.1766578913005546      0.835001061154517
1470000000               -0.09860280879491992     0.8458270053264823
1500000000               -0.020079481503448272    0.8493793943450565
1530000000               0.05823592105049347      0.8456710552786877
1560000000               0.13567502331375306      0.8347776539309111
1590000000               0.21158293042914986      0.8168359264417924
1620000000               0.28532358099024807      0.7920415629831896
1650000000               0.35628481795266254      0.7606467391405412
1680000000               0.423883181169513        0.7229572894856848
1710000000               0.48756840581047123      0.6793295297564546
1740000000               0.5468276070510346       0.6301667431745122
1770000000               0.6011891332798005       0.5759153487548224
1800000000               0.6502260702993056       0.5170607655665423
1830000000               0.6935593721689202       0.45412297922620093
1860000000               0.7308605745284048       0.38765181322970266
1890000000               0.7618540142971295       0.31822192271426786
1920000000               0.7863184526661264       0.2464275800720488
1950000000               0.8040880183220115       0.1728774112280305
1980000000               0.815052499809286        0.09818931660963025
2010000000               0.819157197040947        0.022985769337991725
2040000000               0.8164026510983451       -0.05211052798031615
2070000000               0.8068444535339702       -0.12648090209282994
2100000000               0.7905930357317946       -0.19951522058222282
2130000000               0.7678131090845768       -0.2706167875403143
2.16E9                   0.7387224475796383       -0.3392074714522555
2.19E9                   0.7035898997452453       -0.40473277192062806
2.22E9                   0.6627327027755335       -0.4666665647078733
2.25E9                   0.6165132592226592       -0.524515370384395
2.28E9                   0.5653355490867743       -0.5778220863256387
2.31E9                   0.5096413333130393       -0.6261691887169211
2.34E9                   0.4499062749377835       -0.6691814635910627
2.37E9                   0.3866360562482891       -0.7065283662660917
2.4E9                    0.3203625039649989       -0.7379261228481909
2.43E9                   0.2516396674043058       -0.7631396620814146
2.46E9                   0.18103975411885004      -0.7819844053853624
2.49E9                   0.109148830340372        -0.7943278719562157
