% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 23 2022, 09:37
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5387968266648973       -0.7277508116015583
330000000                0.47008895291141484      -0.7722797291213587
360000000                0.39783869898268875      -0.8104683057833433
390000000                0.3226076942542857       -0.8420262348091332
420000000                0.24498603200250582      -0.8667141900363439
450000000                0.1655865179569263       -0.8843463005962952
480000000                0.08503906383377835      -0.8947921314890976
510000000                0.0039851302569445584    -0.8979781703512302
540000000                -0.07692782072964875     -0.8938888164322756
570000000                -0.1570518700341669      -0.8825668659729229
600000000                -0.23574416916423246     -0.8641134887051
630000000                -0.31237242539306775     -0.8386876919643168
660000000                -0.38632030918925014     -0.8065052721032656
690000000                -0.45699274450657223     -0.7678372564626802
720000000                -0.5238210376575793      -0.7230078439884136
750000000                -0.5862677997146738      -0.6723918571234035
780000000                -0.6438316158812456      -0.6164117231127414
810000000                -0.6960514160967346      -0.5555340080468316
840000000                -0.7425105023992874      -0.49026553245595167
870000000                -0.7828401910084088      -0.4211491023818953
900000000                -0.8167230301383226      -0.34875889501929525
930000000                -0.8438955586452613      -0.2736955425376266
960000000                -0.8641505752476288      -0.19658096178800624
990000000                -0.8773388933071345      -0.11805298121785733
1020000000               -0.8833705619491475      -0.03875981923724486
1050000000               -0.8822155405814978      0.04064553009122163
1080000000               -0.8739038201438213      0.11951094613423015
1110000000               -0.8585249911901317      0.19719080801198896
1140000000               -0.8362272653957478      0.2730515406290037
1170000000               -0.8072159636323702      0.3464770242028843
1200000000               -0.771751489941112       0.41687381350850894
1230000000               -0.730146816645468       0.48367611559839985
1260000000               -0.6827645111748251      0.5463504786937785
1290000000               -0.6300133401177433      0.604400148834809
1320000000               -0.5723444900463384      0.657369055976632
1350000000               -0.5102474483004497      0.7048453960694591
1380000000               -0.44424558951102733     0.746464781335939
1410000000               -0.37489151580637836     0.78191293640598
1440000000               -0.30276219969007584     0.8109279238473047
1470000000               -0.2284539792524469      0.8333018881343643
1500000000               -0.15257745505446962     0.8488823127205491
1530000000               -0.07575233724467037     0.8575727900915298
1560000000               0.0013977099319115284    0.8593333096654174
1590000000               0.07825018118284799      0.8541800730102724
1620000000               0.15418875777388213      0.8421848499664524
