% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 23 2022, 09:40
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5394836111373318       -0.7283464213880924
330000000                0.47071488870628375      -0.7729643561699265
360000000                0.3983920696253499       -0.8112335825555532
390000000                0.3230782380661655       -0.8428626160139805
420000000                0.2453649546974674       -0.8676111397638716
450000000                0.16586651017702395      -0.8852924671602329
480000000                0.08521431839065255      -0.8957755156137908
510000000                0.004051355371206356     -0.898986289773424
540000000                -0.07697339563821243     -0.8949088684899336
570000000                -0.15721049784893407     -0.883585888559411
600000000                -0.2360155998478579      -0.8651185193341011
630000000                -0.3127549328731382      -0.8396659242365916
660000000                -0.38681073143885963     -0.8074442084756326
690000000                -0.4575865367880947      -0.7687248561804497
720000000                -0.524512339296769       -0.7238326647360316
750000000                -0.5870495140174103      -0.6731431890177139
780000000                -0.6446955025991792      -0.617079713697283
810000000                -0.6969881958758256      -0.5561097767905994
840000000                -0.7435099720581425      -0.4907412735794605
870000000                -0.7838913485397738      -0.4215181747996499
900000000                -0.8178142080878907      -0.34901589834490654
930000000                -0.8450145643833245      -0.2738363782284245
960000000                -0.8652848364586909      -0.1966028788557278
990000000                -0.8784756070467928      -0.11795460588075748
1020000000               -0.8844968454784067      -0.03854116822554445
1050000000               -0.8833185821492875      0.0409830525425574
1080000000               -0.8749710279385129      0.11996456759066812
1110000000               -0.859544138667522       0.1977564230176342
1140000000               -0.8371866312683853      0.2737237611910058
1170000000               -0.8081044648892374      0.34724924483811864
1200000000               -0.7725588063575884      0.41773828990781986
1230000000               -0.7308635054072173      0.48462405576503964
1260000000               -0.6833821103802293      0.5473721452879808
1290000000               -0.6305244600904676      0.6054849713507688
1320000000               -0.5727428915603712      0.6585057512748786
1350000000               -0.5105281070521802      0.70602209567153
1380000000               -0.4444047462955787      0.7476691639181764
1410000000               -0.37492671211916984     0.7831323638375733
1440000000               -0.30267229863758854     0.8121495791487492
1470000000               -0.22823917182270004     0.834512913780764
1500000000               -0.15223925200113123     0.8500699477275492
1530000000               -0.07529354697870723     0.8587245044136745
1560000000               0.0019730168648491643    0.8604369345066218
1590000000               0.07893672039407029      0.8552239257612602
1620000000               0.15498009125615264      0.8431578525767933
1650000000               0.22949681724912968      0.8243656827201576
1680000000               0.3018964960726107       0.7990274618751579
1710000000               0.3716091877812968       0.7673743993747861
1740000000               0.4380897389888482       0.7296865808189057
1770000000               0.500821851793727        0.6862903349666378
1800000000               0.5593218732566447       0.6375552837919902
1830000000               0.6131422849207695       0.5838911054489054
1860000000               0.6618748748251321       0.5257440406061178
1890000000               0.7051535776352864       0.4635931729157363
1920000000               0.742656971532281        0.3979465143440386
1950000000               0.7741104232801554       0.32933692594419384
1980000000               0.7992878757705093       0.2583179040690102
2010000000               0.8180132750942232       0.1854592610550866
2040000000               0.8301616367716051       0.11134272819751981
2070000000               0.8356597533760817       0.036557506368838394
2100000000               0.8344865475696903       -0.0383042135074004
2130000000               0.8266730750735622       -0.11265174280803757
2.16E9                   0.8123021794384404       -0.18590038936213982
2.19E9                   0.7915077922011445       -0.2574759486635472
2.22E9                   0.764473855221614        -0.3268191896374947
2.25E9                   0.7314328166211713       -0.3933903209995959
2.28E9                   0.6926636267641417       -0.4566733868250705
2.31E9                   0.6484891630265057       -0.5161804678303604
2.34E9                   0.5992730825989473       -0.5714554809186451
2.37E9                   0.5454162611980181       -0.622077345535797
2.4E9                    0.48735315391547296      -0.6676624160703086
2.43E9                   0.42554844495149846      -0.7078663632419313
2.46E9                   0.3604941145913754       -0.7423859340443156
2.49E9                   0.29270667337553996      -0.7709609811272433
2.52E9                   0.22272410884502636      -0.7933768212159237
2.55E9                   0.1511022192979528       -0.8094666384328687
2.58E9                   0.07841031163775938      -0.8191135474748669
2.61E9                   0.005226462042578106     -0.8222520616288946
2.64E9                   -0.06786741691064169     -0.8188688978550704
2.67E9                   -0.14029052521835245     -0.8090031690160961
2.7E9                    -0.21146804680180972     -0.7927460456350945
2.73E9                   -0.28083590369278894     -0.7702399546844005
2.76E9                   -0.3478453758584351      -0.7416773571619621
2.79E9                   -0.4119675716989127      -0.7072991268559399
2.82E9                   -0.4726977292900779      -0.6673925429332883
2.85E9                   -0.5295593222011131      -0.6222889065912661
2.88E9                   -0.5821079391427791      -0.5723607939870384
2.91E9                   -0.6299349043851719      -0.5180189616200597
2.94E9                   -0.6726706052674256      -0.4597089251763251
2.97E9                   -0.7099874942283263      -0.3979072376123885
3.0E9                    -0.7416027348787028      -0.33311749683586456
3.03E9                   -0.7672804646603654      -0.26586611751598505
3.06E9                   -0.7868336504686955      -0.19669790502336443
3.09E9                   -0.8001255178534938      -0.12617147256943959
3.12E9                   -0.8070705392091831      -0.05485454487935129
3.15E9                   -0.8076349714490754      0.016680806842814214
3.18E9                   -0.8018369388013714      0.08786295299813018
3.21E9                   -0.789746061572398       0.15812547126581614
3.24E9                   -0.7714826366061462      0.2269118452195018
3.27E9                   -0.7472163797088576      0.2936800524732565
3.3E9                    -0.7171647443167011      0.3579070010481453
3.33E9                   -0.6815908342345983      0.41909277438276615
3.36E9                   -0.6408009313656691      0.476764647620187
3.39E9                   -0.595141662282504       0.5304808395588501
3.42E9                   -0.5449968304576555      0.5798339663321633
3.45E9                   -0.49078394425819155     0.6244541645265249
3.48E9                   -0.4329504746826263      0.6640118532479147
3.51E9                   -0.3719698813874942      0.698220107146645
3.54E9                   -0.30833745055072664     0.7268366162188499
3.57E9                   -0.2425659931648091      0.7496652137133926
3.6E9                    -0.17518145632424087     0.766556961055647
3.63E9                   -0.10671850214085428     0.7774107878486923
3.66E9                   -0.03771610823620808     0.7821736948460866
3.69E9                   0.031286759664611634     0.7808405370255398
3.72E9                   0.09975535801087165      0.773453411592527
3.75E9                   0.1671632201217225       0.7601006816750864
3.78E9                   0.23299602407975206      0.7409156711524911
3.81E9                   0.29675525088674387      0.7160750697507098
3.84E9                   0.35796162011380805      0.6857970895594316
3.87E9                   0.4161583021573037       0.6503394125519805
3.9E9                    0.47091391798259574      0.6099969614910624
3.93E9                   0.521825344815559        0.5650995136179808
3.96E9                   0.5685203462665588       0.5160091603303093
3.99E9                   0.6106600361504807       0.4631176019064615
4.02E9                   0.6479411693964257       0.4068432593490259
4.05E9                   0.680098235989042        0.3476281884982448
4.08E9                   0.7069053208423519       0.28593479364547253
4.11E9                   0.7281776877366917       0.22224235489465605
4.14E9                   0.7437730497683245       0.15704340021247343
4.17E9                   0.7535925000446053       0.09083996502513153
4.2E9                    0.7575810908492557       0.02413978727260904
4.23E9                   0.7557280633495979       -0.042547516104406574
4.26E9                   0.7480667401087274       -0.10871425231077476
4.29E9                   0.7346740976104859       -0.17385840597887206
