% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 10 2022, 16:14
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.4607336950566605       -0.7571201927082992
330000000                0.3836101119828927       -0.7953220806878216
360000000                0.3036078742367712       -0.8259469853229149
390000000                0.22141904685336478      -0.8487737962861215
420000000                0.13776383701888745      -0.8636455471216659
450000000                0.05338137381410544      -0.8704732150174135
480000000                -0.030979012953598686    -0.8692380330523651
510000000                -0.11456612990600235     -0.8599925971571255
540000000                -0.19663492704191318     -0.8428609427145628
570000000                -0.2764541876398418      -0.8180377067221543
600000000                -0.3533138884511641      -0.7857864599215817
630000000                -0.4265322038438793      -0.7464372760398099
660000000                -0.49546211703814996     -0.7003835973813025
690000000                -0.5594975981299133      -0.6480784526282111
720000000                -0.6180793064875916      -0.59003008263037
750000000                -0.6706997766557337      -0.5267970309030684
780000000                -0.7169080486335467      -0.4589827580135958
810000000                -0.7563137077277051      -0.38722984116255804
840000000                -0.7885903035871011      -0.3122138225045052
870000000                -0.8134781232745714      -0.23463677216828882
900000000                -0.8307862994176484      -0.1552206329376265
930000000                -0.8403942404224903      -0.07470041525824915
960000000                -0.8422523764347958      0.006182688877407324
990000000                -0.8363822211897998      0.08668820435403514
1020000000               -0.822875756561233       0.1660832159030206
1050000000               -0.8018941530891184      0.24364908936803215
1080000000               -0.7736658461221908      0.31868800698799515
1110000000               -0.7384839932280738      0.39052925531674343
1140000000               -0.6967033442922261      0.4585352076701396
1170000000               -0.6487365610510557      0.5221069468745346
1200000000               -0.5950500276155549      0.58068947849115
1230000000               -0.5361591979328882      0.6337764894594082
1260000000               -0.4726235300044781      0.6809146122031984
1290000000               -0.40504105972547805     0.7217071598858196
1320000000               -0.3340426701475903      0.7558173039415464
1350000000               -0.26028611353698444     0.7829706712208975
1380000000               -0.1844498455107516      0.8029573436797034
1410000000               -0.10722673088180255     0.8156332498691772
1440000000               -0.029317681244680927    0.820920943279165
1470000000               0.04857471618198979      0.8188097685284179
1500000000               0.1257525198325757       0.8093554221337009
1530000000               0.20152864825046884      0.7926789201354045
1560000000               0.2752329326434779       0.7689649901368761
1590000000               0.34621795514294756      0.7384599103506221
1620000000               0.41386462317975037      0.7014688229097867
1650000000               0.4775874338257582       0.6583525530732817
1680000000               0.5368393857101069       0.609523969859524
1710000000               0.59111650002803         0.5554439272993777
1740000000               0.6399619167429048       0.4966168285420192
1770000000               0.6829695365843339       0.4335858578608289
1800000000               0.7197871845336472       0.3669279277707759
1830000000               0.7501192756939784       0.29724839031400047
1860000000               0.7737289700895421       0.2251755627132202
1890000000               0.7904398089958363       0.15135511802943316
1920000000               0.8001368317712416       0.07644439127772068
1950000000               0.8027671792485436       0.001106649592542568
1980000000               0.7983401971299795       -0.0739946282534482
2010000000               0.7869270605189289       -0.1482014239032308
2040000000               0.7686599477591909       -0.22086677425015316
2070000000               0.743730796223327        -0.2913602762914433
2100000000               0.7123896704359368       -0.35907351294903267
2130000000               0.6749427563602431       -0.42342544209082994
2.16E9                   0.631749952428595        -0.483867825215987
2.19E9                   0.583221942561185        -0.5398907918820103
2.22E9                   0.5298164999143609       -0.591028601168876
2.25E9                   0.47203360626803903      -0.6368655046380676
2.28E9                   0.41040888464767566      -0.6770412637252067
2.31E9                   0.3455050481937198       -0.7112553465249664
2.34E9                   0.2779018126129373       -0.7392683947580203
2.37E9                   0.2081859509990034       -0.7608998025693944
2.4E9                    0.13694413233593147      -0.7760216977444447
2.43E9                   0.0647606351191417       -0.7845518077745823
2.46E9                   -0.007780425225883115    -0.7864488893368153
2.49E9                   -0.08009146363463843     -0.7817130919559252
2.52E9                   -0.1515801634517626      -0.7703905808703334
2.55E9                   -0.2216524886851322      -0.7525794839690808
2.58E9                   -0.2897193292603443      -0.7284342553047642
2.61E9                   -0.355204818020183       -0.6981671079057845
2.64E9                   -0.41755452970425816     -0.66204669178091
2.67E9                   -0.47624260328985524     -0.6203948897476386
2.7E9                    -0.5307775618600173      -0.5735825988325887
2.73E9                   -0.5807069831766434      -0.5220250764504912
2.76E9                   -0.6256212737877016      -0.46617714493136075
2.79E9                   -0.6651567626257635      -0.40652836345501364
2.82E9                   -0.698998257407613       -0.34359818605906045
