% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 10 2022, 16:20
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.4698346091236758       -0.7713569542560623
330000000                0.39078400799208046      -0.8107988712925756
360000000                0.30872470872503616      -0.8423725096416796
390000000                0.22438902531459348      -0.865856699784403
420000000                0.13853435647272222      -0.8810962451165638
450000000                0.051934868112448566     -0.8880059546971663
480000000                -0.03462678379938638     -0.8865731788209326
510000000                -0.12036763188903504     -0.876859083419962
540000000                -0.20451242154048038     -0.8589988230722249
570000000                -0.28630142448212503     -0.8332007272398134
600000000                -0.36499798383978743     -0.7997445881846983
630000000                -0.43989573258501213     -0.7589791243031863
660000000                -0.5103254283448225      -0.7113186849160533
690000000                -0.575661347947288       -0.6572392598972766
720000000                -0.6353271892490989      -0.5972738566333897
750000000                -0.6888014308764776      -0.5320073081558176
780000000                -0.7356221053215153      -0.46207057796099704
810000000                -0.7753909461629697      -0.3881346296000697
840000000                -0.8077768764916597      -0.3109039304618988
870000000                -0.8325188115338881      -0.23110966199556096
900000000                -0.8494277558711811      -0.149502709027333
930000000                -0.8583881823313061      -0.0668465023596455
960000000                -0.8593586870721274      0.01609021152758773
990000000                -0.8523719225001447      0.09854059995090561
1020000000               -0.8375338169066149      0.17974690039223634
1050000000               -0.8150220967339108      0.25896743332584155
1080000000               -0.785084134099836       0.3354834036370029
1110000000               -0.7480341487317368      0.4086054258885772
1140000000               -0.704249799358654       0.47767971289666705
1170000000               -0.6541682054338293      0.5420938707394698
1200000000               -0.5982814446700323      0.6012822492556449
1230000000               -0.5371315768914118      0.6547308012588916
1260000000               -0.47130524795943923     0.7019814104170201
1290000000               -0.40142793126548937     0.7426356529566662
1320000000               -0.32815786643543526     0.7763579650282029
1350000000               -0.25217975703101747     0.8028781936705605
1380000000               -0.1741982900153902      0.8219935158420816
1410000000               -0.0949315406105244      0.833569716293626
1440000000               -0.015104325598066204    0.8375418215523871
1470000000               0.06455843205630761      0.8339140933377256
1500000000               0.14333826619428153      0.8227593908696517
1530000000               0.22052959854870358      0.804217917272014
1560000000               0.2954459810680568       0.7784953707300581
1590000000               0.36742609523571945      0.7458605263016944
1620000000               0.435839457824754        0.706642278974275
1650000000               0.500091786013454        0.661226183026811
1680000000               0.5596299789381043       0.6100505267278731
1710000000               0.6139466773308752       0.5536019849093686
1740000000               0.6625843675047488       0.4924108950773081
1770000000               0.7051390010140015       0.4270462053575713
1800000000               0.7412631066589136       0.3581101447072386
1830000000               0.7706683771493726       0.28623266737636216
1860000000               0.7931277186212814       0.21206572473147123
1890000000               0.8084767576376152       0.13627741777715385
1920000000               0.816614807129517        0.05954608307586371
1950000000               0.817505300068352        -0.017445637041717667
1980000000               0.8111757076593332       -0.0940166932264645
2010000000               0.7977169669080937       -0.16949345641988658
