% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 10 2022, 16:56
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.4584132762187798       -0.7456912925004009
330000000                0.3826674999666951       -0.7838695958280342
360000000                0.3040009838610793       -0.8146031785595809
390000000                0.22310186979582236      -0.8376650889759978
420000000                0.14068454784107126      -0.8528933877420249
450000000                0.05748099673685765      -0.8601941194543106
480000000                -0.02576746091067772     -0.8595431262308937
510000000                -0.1083180928162097      -0.8509868608150598
540000000                -0.18943442052482667     -0.8346423022283261
570000000                -0.268393614752858       -0.8106960472788561
600000000                -0.3444936027316903      -0.7794026355546145
630000000                -0.417059854487217       -0.7410821581266469
660000000                -0.48545180787036285     -0.6961171975951568
690000000                -0.5490688890211733      -0.6449491471485849
720000000                -0.6073560844133449      -0.5880739580660318
750000000                -0.65980902178709        -0.5260373677743029
780000000                -0.7059785204022089      -0.4594296633053401
810000000                -0.7454745747669206      -0.38888003794525816
840000000                -0.7779697407787523      -0.3150506015035335
870000000                -0.8032018983825918      -0.23863010716522287
900000000                -0.8209763709925408      -0.16032745911731516
930000000                -0.8311673876148404      -0.08086506717946891
960000000                -0.8337188802772414      -9.721146682971281E-4
990000000                -0.8286446156503152      0.07862219402933704
1020000000               -0.8160276662031054      0.15719534011963548
1050000000               -0.7960192326520593      0.23403808703111167
1080000000               -0.7688368355657789      0.308460904184777
1110000000               -0.7347619000323109      0.3798001578114582
1140000000               -0.6941367628491532      0.4474240118857405
1170000000               -0.6473611369452356      0.5107379858245248
1200000000               -0.5948880726546733      0.5691901195963155
1230000000               -0.5372194597028512      0.6222757016438729
1260000000               -0.4749011175955784      0.6695415198679151
1290000000               -0.40851752540930564     0.7105896010890755
1320000000               -0.33868624465304387     0.7450804099623517
1350000000               -0.2660520908939356      0.7727354839807283
1380000000               -0.19128111145843718     0.7933394869115639
1410000000               -0.11505442735392624     0.8067416688919229
1440000000               -0.038061997774849136    0.8128567272227534
1470000000               0.039003634480238074     0.8116650675893814
1500000000               0.11545355943092411      0.8032124711198592
1530000000               0.19060862211092433      0.7876091780845089
1560000000               0.26380539642123413      0.7650284042854574
1590000000               0.33440195878837997      0.7357043111206076
1620000000               0.40178341261475303      0.6999294549584323
1650000000               0.465367117606397        0.658051745802985
1680000000               0.5246075816548029       0.6104709491590778
1710000000               0.5790009768172809       0.5576347686240782
1740000000               0.6280892451376623       0.5000345499030493
1770000000               0.6714637645684903       0.43820064971782263
1800000000               0.7087685500527183       0.372697515407753
1830000000               0.7397029699508484       0.3041185228652675
1860000000               0.7640239634855391       0.23308062171701335
1890000000               0.7815477506919568       0.16021883733330983
1920000000               0.7921510327317997       0.08618067897448622
1950000000               0.7957716872322682       0.011620501935767205
1980000000               0.7924089706183299       -0.06280613161024996
2010000000               0.7821232469389519       -0.1364480543528462
2040000000               0.7650352696328064       -0.20866402913432208
2070000000               0.7413250471640787       -0.27882820434917943
2100000000               0.7112303214813256       -0.346335498873518
2130000000               0.6750446724159801       -0.4106069562286539
2.16E9                   0.6331152195145595       -0.47109514101584743
2.19E9                   0.5858398103325833       -0.5272896698853945
2.22E9                   0.53366345194528         -0.5787229362347468
2.25E9                   0.4770735834035074       -0.6249759363000544
2.28E9                   0.41659370092275855      -0.6656837644605278
2.31E9                   0.3527750449145131       -0.7005398331689021
2.34E9                   0.28618677738427856      -0.7292974498431329
