% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 23 2022, 10:30
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.4493647501844132       -0.7270629087693804
330000000                0.3757879323036377       -0.7645087575302294
360000000                0.29931250520875835      -0.7947451118812532
390000000                0.22061068269755993      -0.8175400071082732
420000000                0.1403798053104863       -0.8327274368678593
450000000                0.05933387286638343      -0.8402092272281738
480000000                -0.02180441119161163     -0.8399561396261185
510000000                -0.10231124722375942     -0.8320082292742411
540000000                -0.18146906821390482     -0.8164744825509699
570000000                -0.2585736075002588      -0.7935317567665849
600000000                -0.33294069397606263     -0.7634230475727652
630000000                -0.40391274659747467     -0.7264551124417685
660000000                -0.4708649312142124      -0.682995482469952
690000000                -0.5332109388384823      -0.6334688989222186
720000000                -0.5904083430018402      -0.5783532152997874
750000000                -0.6419634953365781      -0.5181748097435986
780000000                -0.6874359205460254      -0.4535035567465647
810000000                -0.7264421758650695      -0.384947410601928
840000000                -0.7586591444629356      -0.3131466560845817
870000000                -0.7838267370624212      -0.23876788483722816
900000000                -0.8017499817907083      -0.1624977576127246
930000000                -0.8123004878840897      -0.08503661429949419
960000000                -0.8154172749290624      -0.007091994480581034
990000000                -0.811106965467377       0.07062786866709363
1020000000               -0.7994433448360319      0.1474205183689218
1050000000               -0.780566298301279       0.22259564678889623
1080000000               -0.7546801413476104      0.295481310210614
1110000000               -0.7220513647855596      0.36542992907226185
1140000000               -0.683005821680618       0.43182401824116373
1170000000               -0.6379253882545934      0.49408159579186456
1200000000               -0.587244135522002       0.5516612226760377
1230000000               -0.5314440527400148      0.6040666296651604
1260000000               -0.47105036742384243     0.6508508926663384
1290000000               -0.4066265099551334      0.6916201223526425
1320000000               -0.338768773536852       0.7260366391457893
1350000000               -0.26810072234777665     0.7538216100126038
1380000000               -0.19526740232038958     0.7747571289398064
1410000000               -0.12092941009614631     0.7886877284620758
1440000000               -0.04575687596159011     0.7955213152379295
1470000000               0.02957658328917816      0.7952295280486242
1500000000               0.10439988647061789      0.7878475220909044
1530000000               0.1780504309603158       0.7734731885847881
1560000000               0.2498799041245402       0.7522658238291863
1590000000               0.31925991283991256      0.724444266597034
1620000000               0.38558738328396136      0.6902845273416518
1650000000               0.44828968612168546      0.6501169368659355
1680000000               0.5068294453820104       0.6043228460817013
1710000000               0.5607089930757075       0.5533309119715376
1740000000               0.6094744354577053       0.4976130080888254
1770000000               0.6527193011191734       0.43767980069753815
1800000000               0.6900877456199531       0.3740760340398015
1830000000               0.7212772922931543       0.30737557007136723
1860000000               0.7460410939853515       0.2381762294435813
1890000000               0.7641897061340519       0.1670944812096173
1920000000               0.7755923676247254       0.094760028588549
1950000000               0.780177792326255        0.021810336964614367
1980000000               0.7779344812045839       -0.05111485273098326
2010000000               0.7689105720075073       -0.12337898756634358
2040000000               0.753213250046515        -0.19435411463551258
2070000000               0.731007747665807        -0.2634262275565
2100000000               0.7025159578910579       -0.3300005548890934
2130000000               0.668014672343044        -0.393506826080166
2.16E9                   0.6278334138118447       -0.4534045809156161
2.19E9                   0.5823517558396057       -0.5091886049212205
2.22E9                   0.5319958978102101       -0.5603945390483791
2.25E9                   0.4772341172086483       -0.6066045658227441
2.28E9                   0.41857064685783385      -0.647452751455043
2.31E9                   0.3565377218466287       -0.6826291439145438
2.34E9                   0.2916862286739374       -0.7118813423526941
2.37E9                   0.22457651122513253      -0.7350125027419273
2.4E9                    0.15577174494040538      -0.7518760851623053
2.43E9                   0.08583575212708539      -0.7623696432285691
2.46E9                   0.015334869456707523     -0.7664310096720142
2.49E9                   -0.055159010927075515    -0.7640389913359407
2.52E9                   -0.12506766531343327     -0.7552178915168298
2.55E9                   -0.19380971625340904     -0.7400431424165304
2.58E9                   -0.2608071270321401      -0.7186453981270088
2.61E9                   -0.3254931945566729      -0.691211887027959
2.64E9                   -0.38732040396198564     -0.6579852124908694
2.67E9                   -0.4457672798387467      -0.6192604141200327
2.7E9                    -0.5003440382838166      -0.5753810856076351
2.73E9                   -0.5505971858600235      -0.5267350754883141
2.76E9                   -0.5961132976871918      -0.4737500347648169
2.79E9                   -0.6365221702089655      -0.4168889076601121
2.82E9                   -0.6714994763499053      -0.35664538068757423
2.85E9                   -0.7007689917207757      -0.2935392783352889
2.88E9                   -0.7241044207051982      -0.2281118932351082
2.91E9                   -0.7413308283771944      -0.1609212480478619
2.94E9                   -0.7523256730715334      -0.09253729762044327
2.97E9                   -0.7570194307038656      -0.023537089913630044
3.0E9                    -0.7553958024932235      0.04550008806036319
3.03E9                   -0.7474915007203198      0.11399754762453161
3.06E9                   -0.7333956114149642      0.18138598384233823
3.09E9                   -0.7132485378288567      0.24710817201229382
3.12E9                   -0.6872405336377106      0.3106235381050957
3.15E9                   -0.655609839645966       0.37141256738309586
3.18E9                   -0.6186404417709515      0.42898101818611667
3.21E9                   -0.5766594708582566      0.4828639113717754
3.24E9                   -0.5300342658819411      0.5326292698687636
3.27E9                   -0.4791691213992705      0.5778815860481076
3.3E9                    -0.42450173796417473     0.6182649963162561
3.33E9                   -0.3664993915624746      0.6534661416734252
3.36E9                   -0.30565483612796335     0.6832166895850358
3.39E9                   -0.24248195359567407     0.7072954865072951
3.42E9                   -0.17751116999394567     0.7255303029094317
3.45E9                   -0.11128466513844266     0.7377991252314191
3.48E9                   -0.044351417965796       0.7440309444458119
3.51E9                   0.022737851349228858     0.7442059917616866
3.54E9                   0.08943576003870374      0.7383553813221839
3.57E9                   0.15520326027762155      0.7265601391542211
3.6E9                    0.2195144417591104       0.7089496263676848
3.63E9                   0.28186102517247225      0.6856993985966906
3.66E9                   0.34175644584880466      0.6570285766234535
3.69E9                   0.3987394511931175       0.6231968287446564
3.72E9                   0.45237716548082685      0.5845010807391096
3.75E9                   0.502267606060899        0.541272075791933
3.78E9                   0.5480416650591059       0.4938709083822061
3.81E9                   0.5893646044073292       0.442685653702473
3.84E9                   0.6259371526873729       0.3881282023386313
3.87E9                   0.6574963367235427       0.3306313780005571
3.9E9                    0.683816214654124        0.2706463569454007
3.93E9                   0.7047086802379177       0.2086403264895898
3.96E9                   0.7200244655134522       0.14509423788070372
3.99E9                   0.7296543831578991       0.08050045501103353
4.02E9                   0.7335307431217754       0.015360098381564125
4.05E9                   0.7316287836975107       -0.049820061824438655
4.08E9                   0.7239679044792521       -0.11453121538355043
4.11E9                   0.7106124908757352       -0.17826657204360652
4.14E9                   0.6916721705477343       -0.2405257351999565
4.17E9                   0.667301421175705        -0.30081920760009623
4.2E9                    0.6376985316857721       -0.35867284613591865
4.23E9                   0.6031039844511739       -0.4136321174821689
4.26E9                   0.5637983617880838       -0.4652660607272774
4.29E9                   0.520099883754731        -0.5131709195443964
4.32E9                   0.47236166263804197      -0.5569734491728399
4.35E9                   0.42096872511824107      -0.5963339240522519
4.38E9                   0.36633482003796075      -0.630948869880383
4.41E9                   0.3088990086962364       -0.6605535259074844
4.44E9                   0.24912202991911878      -0.6849240198220868
4.47E9                   0.1874824420300353       -0.7038792179583727
4.5E9                    0.12447256252766188      -0.7172822034876362
4.53E9                   0.060594247503706636     -0.7250413363314273
4.56E9                   -0.0036454284690487174   -0.7271108595328044
4.59E9                   -0.06773851864296691     -0.7234910354613758
4.62E9                   -0.13118049925155173     -0.7142278185806296
4.65E9                   -0.19347444297961314     -0.69941209574896
4.68E9                   -0.25413501831820223     -0.6791785446324794
4.71E9                   -0.3126922891279244      -0.6537041692818318
4.74E9                   -0.36869531683202317     -0.623206564435965
