% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 10 2022, 20:03
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.4268111427009316       -0.8214123601829224
330000000                0.3367404817916153       -0.8594397883021174
360000000                0.24358191064506515      -0.8877897734529991
390000000                0.14832981582515306      -0.9062300493037729
420000000                0.052001645728731206     -0.914626902123747
450000000                -0.0443733891625806      -0.9129489529345008
480000000                -0.13976587127413806     -0.9012691467627092
510000000                -0.23315778128007125     -0.8797651017596739
540000000                -0.3235539794515552      -0.8487179394363142
570000000                -0.4099934081963416      -0.8085096991067906
600000000                -0.491559875467487       -0.7596194315329674
630000000                -0.5673922885565241      -0.7026180649581077
660000000                -0.6366942185767512      -0.6381621389102891
690000000                -0.6987426852639904      -0.5669865061427265
720000000                -0.7528960625714611      -0.48989610889311114
750000000                -0.7986010167571109      -0.4077569422835744
780000000                -0.8353984006146409      -0.3214863240209988
810000000                -0.8629280407799336      -0.2320425951127515
840000000                -0.8809323687304836      -0.14041438095946102
870000000                -0.8892588603074603      -0.047609545563557995
900000000                -0.8878612633886539      0.045356026228836346
930000000                -0.8767996082776336      0.1374696835922372
960000000                -0.8562390101491175      0.22773316751949638
990000000                -0.8264472875407178      0.3151735406475266
1020000000               -0.7877914350548288      0.39885376221220353
1050000000               -0.7407330018482159      0.47788278763963277
1080000000               -0.6858224401998966      0.5514250792783842
1110000000               -0.6236924998566933      0.6187094238942074
1140000000               -0.5550507545901509      0.6790369619221777
1170000000               -0.48067135604395395     0.7317883450839809
1200000000               -0.401386118148872       0.7764299499801744
1230000000               -0.3180750412017308      0.8125190881955563
1260000000               -0.23165638973939498     0.8397081659594149
1290000000               -0.143076441352018       0.8577477596417058
1320000000               -0.053299025299868324    0.8664885864899505
1350000000               0.036705029878283925     0.8658823630176855
1380000000               0.12596842203470954      0.855981556342341
1410000000               0.2135377589113988       0.8369380460243048
1440000000               0.298483688153873        0.8090007258598226
1470000000               0.37991066727926115      0.772512086113451
1500000000               0.4569662731438312       0.7279038271241401
1530000000               0.5288499575683137       0.6756915645816362
1560000000               0.5948211632806091       0.616468695466508
1590000000               0.6542067231330627       0.5508995010554739
1620000000               0.7064074742590751       0.47971157017194604
1650000000               0.7509040287218363       0.403687631139716
1680000000               0.7872616517269023       0.3236568856634367
1710000000               0.8151342089279734       0.24048594106915464
1740000000               0.8342671544932281       0.15506943992490163
1770000000               0.8444995422128493       0.06832048721818938
1800000000               0.845765052344778        -0.01883902425350476
1830000000               0.838092037500056        -0.10548809064508974
1860000000               0.8216026013293913       -0.1907161781667661
1890000000               0.7965107341812875       -0.27363261419690216
1920000000               0.7631195400591058       -0.3533756987529894
1950000000               0.7218175989867736       -0.42912145343817176
1980000000               0.6730745178247854       -0.5000919338789681
2010000000               0.6174357297993187       -0.5655630437723213
2040000000               0.5555166070600601       -0.624871803999175
2070000000               0.4879959484743651       -0.677423049856713
2100000000               0.41560889194747797      -0.7226955517238559
2130000000               0.33913927021748497      -0.7602475749046478
2.16E9                   0.25941137303295836      -0.7897219014705849
2.19E9                   0.1772809948928515       -0.8108503051986968
2.22E9                   0.09362555178417367      -0.8234573605725978
2.25E9                   0.009333006210171036     -0.8274632331075296
2.28E9                   -0.074710518227816       -0.8228847423306598
2.31E9                   -0.15763404475054035     -0.8098336595876792
2.34E9                   -0.23859466772701643     -0.7885112890036983
2.37E9                   -0.31678786740045983     -0.7591993654397899
2.4E9                    -0.391453045913188       -0.7222491687970145
2.43E9                   -0.46187395317157043     -0.6780723323762079
2.46E9                   -0.5273765548724816      -0.6271363540921998
2.49E9                   -0.5873284861826761      -0.5699649816509234
2.52E9                   -0.6411429347061287      -0.507140575278646
2.55E9                   -0.6882867662192882      -0.4393047427580366
2.58E9                   -0.7282905078673925      -0.3671551449376773
2.61E9                   -0.7607576230383479      -0.29143855129199897
2.64E9                   -0.7853716099916226      -0.21294144958620526
2.67E9                   -0.8019006179263688      -0.13247960774752018
2.7E9                    -0.810199915087838       -0.05088752895614493
2.73E9                   -0.8102127005418748      0.030991745249902516
2.76E9                   -0.8019696663047156      0.11231633994778256
2.79E9                   -0.7855875752350379      0.192254754992223
2.82E9                   -0.7612670056763191      0.26999460684362964
2.85E9                   -0.7292893434628159      0.344750923680752
2.88E9                   -0.6900130672052612      0.4157739905301699
2.91E9                   -0.6438693606055406      0.4823567199677986
2.94E9                   -0.5913570856438284      0.5438415093923811
2.97E9                   -0.5330371564150109      0.5996265377624577
3.0E9                    -0.46952636152241456     0.6491714518796924
3.03E9                   -0.40149069129587955     0.6920023937187499
3.06E9                   -0.3296382339480049      0.727716324446769
3.09E9                   -0.2547117112309816      0.7559846074409048
3.12E9                   -0.17748072914835442     0.7765558206923728
3.15E9                   -0.09873382207269757     0.7892577782623575
3.18E9                   -0.019270369430854296    0.7939987498882375
3.21E9                   0.06010753750803932      0.790767876816765
3.24E9                   0.13860320467300635      0.779634789355824
3.27E9                   0.2154333503678          0.7607484367369168
3.3E9                    0.28983596121323585      0.7343351423197476
3.33E9                   0.36107792587666787      0.7006958971821132
3.36E9                   0.42846238298131817      0.6602029038135556
3.39E9                   0.4913357148267068       0.6132953808100587
3.42E9                   0.5490941098951224       0.5604746413521022
3.45E9                   0.6011896053134547       0.502298465481365
3.48E9                   0.6471355082489222       0.43937480079720603
3.51E9                   0.68651108614201         0.3723548494998144
3.54E9                   0.7189654147410413       0.30192563075086193
3.57E9                   0.7442202845623538       0.22880214258377185
3.6E9                    0.7620720933242406       0.15371928071135454
3.63E9                   0.7723926927607754       0.07742369468883659
3.66E9                   0.7751292071769434       6.657688185482508E-4
3.69E9                   0.7703028895316066       -0.07580809563636412
3.72E9                   0.7580071216401031       -0.1512627454855657
3.75E9                   0.7384046958533684       -0.22498096942949253
3.78E9                   0.7117245389715485       -0.2962695396011103
3.81E9                   0.6782580576587599       -0.364464564094623
3.84E9                   0.6383552940244656       -0.42893617084026747
3.87E9                   0.592421067427485        -0.4890926139621069
3.9E9                    0.5409112290418548       -0.5443839657588176
3.93E9                   0.4843290651063059       -0.5943056053310731
3.96E9                   0.4232217691509348       -0.638401711217429
3.99E9                   0.35817679761825316      -0.6762688973495249
4.02E9                   0.2898178652200512       -0.7075600124726511
4.05E9                   0.21880034947786822      -0.7319879880031516
4.08E9                   0.14580595455933826      -0.7493295109355373
