% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 23 2022, 11:24
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.4042725889322283       -0.7701178285855785
330000000                0.320923463567992        -0.8056619191656852
360000000                0.2346711957791536       -0.8324153247244667
390000000                0.1464110888835739       -0.85013745011932
420000000                0.057063808078103406     -0.8586818589420662
450000000                -0.032436288718710495    -0.8579982138395554
480000000                -0.12115238560585571     -0.8481330384805086
510000000                -0.2081560975760545      -0.8292293291078023
540000000                -0.2925380185462773      -0.8015250452550028
570000000                -0.3734178891140406      -0.7653505144368146
600000000                -0.4499543204489648      -0.721124792855342
630000000                -0.5213539980867625      -0.6693510327118839
660000000                -0.5868802851069237      -0.6106109155593141
690000000                -0.6458611435577277      -0.5455582204499626
720000000                -0.6976962970006452      -0.4749116041077482
750000000                -0.7418635621542848      -0.3994466790725757
780000000                -0.7779242861032027      -0.31998748265467447
810000000                -0.8055278339660821      -0.23739743666424876
840000000                -0.8244150827595         -0.1525699026924839
870000000                -0.8344208879192587      -0.06641844234254178
900000000                -0.8354755008792486      0.020133105720219216
930000000                -0.8276049280595329      0.10616061817114592
960000000                -0.8109302339712058      0.19074963553231344
990000000                -0.7856658032636146      0.2730051544664894
1020000000               -0.7521165885847101      0.3520611543408325
1050000000               -0.7106743826267601      0.4270897527687419
1080000000               -0.6618131637822298      0.4973098899890335
1110000000               -0.6060835750206454      0.5619954486155082
1140000000               -0.5441066049776635      0.6204827228682901
1170000000               -0.4765665487318527      0.6721771598078004
1200000000               -0.4042033328489435      0.7165593047053604
1230000000               -0.32780429568741776     0.7531898923744573
1260000000               -0.248195518651068       0.7817140370798538
1290000000               -0.16623280789883968     0.8018644843550883
1320000000               -0.08279242846629559     0.8134638991674793
1350000000               0.001238306198295902     0.8164261760332275
1380000000               0.08497048607927643      0.8107567676484593
1410000000               0.1675229960597422       0.7965520394779144
1440000000               0.248031747374203        0.7739976681608278
1470000000               0.3256586529294431       0.7433661116245859
1500000000               0.39960025459029574      0.7050131882280302
1530000000               0.4690959158160416       0.6593738110984785
1560000000               0.5334354990250466       0.6069569318896915
1590000000               0.5919664537245636       0.5483397555896468
1620000000               0.6441002488227842       0.4841612944770812
1650000000               0.6893180902862519       0.41511533506616155
1680000000               0.7271758736102542       0.34194289669409855
1710000000               0.7573083291463082       0.26542426429691
1740000000               0.7794323271933412       0.18637068106381396
1770000000               0.7933493188747509       0.10561578862900951
1800000000               0.7989468980252852       0.024006903796575607
1830000000               0.796199478646967        -0.05760377914014884
1860000000               0.7851680918934655       -0.13836797220678523
1890000000               0.7659993158534739       -0.21744997745669725
1920000000               0.7389233606528273       -0.2940351877444111
1950000000               0.7042513402816216       -0.36733832664180754
1980000000               0.66237177071846         -0.43661135669649864
2010000000               0.6137463407246018       -0.5011509945691786
2040000000               0.5589050056333505       -0.5603057841374963
2070000000               0.4984404533020998       -0.6134826941753777
2100000000               0.4330019812364178       -0.6601532248266321
2130000000               0.3632887993006726       -0.6998590226316344
2.16E9                   0.29004272741237574      -0.7322170073202781
2.19E9                   0.2140401909058543       -0.7569239841899789
2.22E9                   0.13608334322836058      -0.7737606210966511
2.25E9                   0.05699011983211673      -0.7825944746217322
2.28E9                   -0.022416839628985663    -0.7833814619691175
2.31E9                   -0.10132203041450048     -0.776164924212689
2.34E9                   -0.17892855574274052     -0.7610715354556873
2.37E9                   -0.2544673844892712      -0.7383041651005358
2.4E9                    -0.32720266467001563     -0.708133341583906
2.43E9                   -0.3964329454981724      -0.6708901989507129
2.46E9                   -0.4614905262301206      -0.6269632862732817
2.49E9                   -0.5217423524783569      -0.5767992109787295
2.52E9                   -0.5765946831633834      -0.5209046025169485
2.55E9                   -0.6255012115057688      -0.45984633534942826
2.58E9                   -0.6679725672834664      -0.39424836599837126
2.61E9                   -0.7035850648204378      -0.32478535311007456
2.64E9                   -0.731987518689479       -0.2521742012504176
2.67E9                   -0.7529059150533288      -0.17716470208121665
2.7E9                    -0.7661462393236743      -0.10053004435185103
2.73E9                   -0.7715958721952797      -0.02305755655055946
2.76E9                   -0.7692238840985223      0.05446020648560296
2.79E9                   -0.7590804365457974      0.13123402990924207
2.82E9                   -0.7412954037891114      0.20648627849144932
2.85E9                   -0.7160762716323483      0.2794588171022029
2.88E9                   -0.6837053437817219      0.3494205982756873
2.91E9                   -0.6445362783375858      0.41567488440957323
2.94E9                   -0.5989899791906838      0.4775660595147486
2.97E9                   -0.5475498739182386      0.5344859784632402
3.0E9                    -0.49075661808841614     0.5858797996862704
3.03E9                   -0.42920227449745596     0.6312512484149679
3.06E9                   -0.36352402363108194     0.6701672616918168
3.09E9                   -0.2943974684096351      0.7022619722730163
3.12E9                   -0.22252960148924147     0.7272399960346342
3.15E9                   -0.1486515069754832      0.7448789958425721
3.18E9                   -0.07351086981928727     0.7550315036735296
3.21E9                   0.002135634117744978     0.7576259910440379
3.24E9                   0.0775299966682148       0.7526671850391611
3.27E9                   0.15192051696921693      0.7402356324420427
3.3E9                    0.22456935751940554      0.7204865175243113
3.33E9                   0.29475995378199116      0.6936477400602103
3.36E9                   0.3618042135724084       0.6600172600284463
3.39E9                   0.42504943829259223      0.6199597156955098
3.42E9                   0.483884890586641        0.5739023243418315
3.45E9                   0.537747922915457        0.5223300818733015
3.48E9                   0.5861295711639388       0.46578029082175026
3.51E9                   0.628579509583452        0.40483646687858965
3.54E9                   0.6647102625063358       0.34012170139021813
3.57E9                   0.6942005780847457       0.2722915882829822
3.6E9                    0.7167978922403624       0.20202685319229596
3.63E9                   0.7323198459582063       0.13002584360255348
3.66E9                   0.7406548611791799       0.05699704615996059
3.69E9                   0.7417618225929005       -0.01634821051801042
3.72E9                   0.7356689484679603       -0.08930272920817976
3.75E9                   0.722471961295188        -0.16116998227495496
3.78E9                   0.7023316906729872       -0.2312701342364849
3.81E9                   0.6754712586627062       -0.29894550552765176
3.84E9                   0.6421730081007262       -0.36356548290991947
3.87E9                   0.6027753259139019       -0.4245309430326953
3.9E9                    0.557669473188238        -0.48127831868285975
3.93E9                   0.5072964574407719       -0.5332834803693786
3.96E9                   0.45214388382596166      -0.5800656049872706
3.99E9                   0.39274263028503675      -0.6211911470769846
4.02E9                   0.3296631402579001       -0.6562779268869043
4.05E9                   0.26351113603746995      -0.6849992332875182
4.08E9                   0.19492262397735144      -0.7070877452331615
4.11E9                   0.12455816680764348      -0.7223390300113474
4.14E9                   0.05309650575826091      -0.7306143882679056
4.17E9                   -0.0187723024458613      -0.7318428740244259
4.2E9                    -0.09035402798261566     -0.7260224005260588
4.23E9                   -0.16095748656429817     -0.7132199250886618
4.26E9                   -0.22990166722181027     -0.6935707684912483
4.29E9                   -0.2965226545548446      -0.667277156184864
4.32E9                   -0.3601802811202821      -0.6346060696362008
4.35E9                   -0.4202644800302386      -0.5958864752808595
4.38E9                   -0.47620131962304585     -0.5515059699020951
4.41E9                   -0.5274586941588674      -0.5019068580435765
4.44E9                   -0.5735516250984303      -0.44758166797003895
4.47E9                   -0.6140471072196879      -0.3890681192483926
4.5E9                    -0.6485684203782922      -0.32694357376815814
4.53E9                   -0.6767988253118471      -0.26181902684244895
4.56E9                   -0.6984845710658075      -0.19433272017651748
4.59E9                   -0.7134371611551219      -0.12514347908863752
4.62E9                   -0.721534852922161       -0.05492388857259424
4.65E9                   -0.7227233959251765      0.015646576917734113
4.68E9                   -0.7170160444911823      0.08588836854478668
4.71E9                   -0.7044928991130751      0.15512854758882694
4.74E9                   -0.6852996341934374      0.22270729542827095
4.77E9                   -0.6596456539161043      0.2879842311414008
4.8E9                    -0.627801689877418       0.3503445280588773
4.83E9                   -0.5900968266207347      0.40920480758578404
4.86E9                   -0.5469149286523716      0.46401875773741486
4.89E9                   -0.4986904532649301      0.5142823877854169
4.92E9                   -0.4459036665585342      0.5595388039316664
4.95E9                   -0.3890753261340229      0.5993823849339129
4.98E9                   -0.3287609405196391      0.6334622546041306
5.01E9                   -0.2655447507133788      0.6614849873267818
5.04E9                   -0.20003359458879233     0.6832165359566678
5.07E9                   -0.1328508048199522      0.6984834286060574
5.1E9                    -0.06463025423210222     0.7071733292151032
5.13E9                   0.0039893957003343415    0.709235082154065
5.16E9                   0.0723702526520448       0.7046783516421692
5.19E9                   0.13988061674441427      0.6935729204724078
5.22E9                   0.20590034012526406      0.6760476435312788
5.25E9                   0.2698261570799236       0.6522889892997924
5.28E9                   0.3310769476504689       0.6225390791211423
5.31E9                   0.38909882631682485      0.5870931653456049
5.34E9                   0.4433699133656907       0.5462965627734052
5.37E9                   0.49340466909077385      0.5005411268989867
5.4E9                    0.5387577385617279       0.45026141878149545
5.43E9                   0.5790273343044715       0.39593069048819207
5.46E9                   0.6138582411189657       0.338056774119728
5.49E9                   0.6429445419476523       0.2771778867473227
5.52E9                   0.6660321367910236       0.2138583010258217
5.55E9                   0.6829210726139728       0.14868379543466134
5.58E9                   0.6934676393781928       0.08225679556477582
5.61E9                   0.6975861314532473       0.015191146219852864
5.64E9                   0.6952501363065363       -0.05189349330065068
5.67E9                   0.6864932026734032       -0.11837757030528483
5.7E9                    0.6714087659130122       -0.18364774541354156
5.73E9                   0.6501492706427922       -0.24710300091708062
5.76E9                   0.6229245182658876       -0.30816055361528694
5.79E9                   0.589999350923834        -0.3662614148752228
5.82E9                   0.5516908278348547       -0.42087552339507694
5.85E9                   0.5083650340704873       -0.4715064657473179
5.88E9                   0.46043359643981374      -0.5176958542551702
5.91E9                   0.4083499037004444       -0.5590274294669192
5.94E9                   0.35260497767142385      -0.5951309063464983
5.97E9                   0.2937229357144734       -0.6256855204691675
6.0E9                    0.23225601589035919      -0.6504231822919216
