% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 23 2022, 11:26
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.40490334646695436      -0.77075811470341
330000000                0.3214833575101745       -0.8063834922286598
360000000                0.2351495441197809       -0.8332083160687049
390000000                0.146798821931424        -0.8509908963807891
420000000                0.05735349911784056      -0.8595839093101892
450000000                -0.032250397633477416    -0.8589363329499596
480000000                -0.12107436773472209     -0.8490942067512415
510000000                -0.2081883386098575      -0.8302002407965698
540000000                -0.292681229168038       -0.8024923035858909
570000000                -0.3736711342790335      -0.7663008225390625
600000000                -0.45031506604945903     -0.7220451389353486
630000000                -0.5218181751457454      -0.6702288676742731
660000000                -0.5874423711844453      -0.6114343211953933
690000000                -0.6465142605365855      -0.5463160664073431
720000000                -0.6984323242125592      -0.4755936918685521
750000000                -0.7426732634515913      -0.40004387133666247
780000000                -0.778797449253894       -0.32049181665641496
810000000                -0.8064534205037438      -0.23780222027680864
840000000                -0.8253813863504118      -0.15286979219113894
870000000                -0.8354156990748911      -0.06660950120653024
900000000                -0.836486275850322       0.020053367528977257
930000000                -0.8286189596607809      0.1061932246773669
960000000                -0.8119348220803412      0.19089414490526585
990000000                -0.7866484227859232      0.2732596785287326
1020000000               -0.7530650527027261      0.3524223969325604
1050000000               -0.7115769993105074      0.42755306604145205
1080000000               -0.6626588835724055      0.49786934772010344
1110000000               -0.6068621283503598      0.562643935165052
1140000000               -0.5448086273646958      0.6212120364429198
1170000000               -0.47718369245670855     0.6729781283616013
1200000000               -0.4047283639035656      0.7174219127581016
1230000000               -0.3282311749816417      0.7541034169210841
1260000000               -0.24851946673200453     0.7826671906416894
1290000000               -0.1664503526648373      0.8028455632040297
1320000000               -0.08290143554023875     0.8144609347331312
1350000000               0.001238620444120464     0.8174270874846647
1380000000               0.08507955870856598      0.8117495137005005
1410000000               0.16773893859345732      0.7975247675185182
1440000000               0.24835138306184046      0.774938858874069
1470000000               0.3260775694678856       0.7442647173903936
1500000000               0.40011287136575224      0.7058587637022914
1530000000               0.4696955645576537       0.6601566345036121
1560000000               0.5341145166063974       0.6076681157177097
1590000000               0.5927162857672139       0.5489713455601115
1620000000               0.6449115626333918       0.4847063557809597
1650000000               0.6901808955851347       0.4155680251004863
1680000000               0.7280796494698731       0.3422985236659357
1710000000               0.7582421555003453       0.265679331285862
1740000000               0.7803850192896292       0.1865229152763345
1770000000               0.7943095630323498       0.10566415581149398
1800000000               0.7999033870939218       0.023951607915520243
1830000000               0.7971410456252805       -0.05776131068274429
1860000000               0.7860838402125531       -0.13862511729427746
1890000000               0.7668787449457689       -0.2178029613900001
1920000000               0.7397564855262552       -0.2944791379746617
1950000000               0.705028803963089        -0.3678673392520755
1980000000               0.6630849485996926       -0.4372185736577159
2010000000               0.6143874360111309       -0.5018286907801798
2040000000               0.559467135329251        -0.5610454632155205
2070000000               0.49891772434788373      -0.6142751921082716
2100000000               0.43338955660331635      -0.6609888207829958
2130000000               0.3635829539232612       -0.7007275565961977
2.16E9                   0.29024089363573874      -0.7331080047638532
2.19E9                   0.21414099254800015      -0.757826788540731
2.22E9                   0.1360866160044445       -0.7746645351773699
2.25E9                   0.05689691387662066      -0.7834889117031595
