% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 23 2022, 14:42
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5952928868561956       -0.7303861142230789
330000000                0.5292633067992876       -0.7787027248382432
360000000                0.45943072226374365      -0.8211383939470942
390000000                0.38630430114086567      -0.857389811647505
420000000                0.31042022531825         -0.8871985389698372
450000000                0.23233696925884964      -0.9103532361025952
480000000                0.15263064178509841      -0.9266914642666342
510000000                0.07189033917285563      -0.9361010713060779
540000000                -0.009286508616535905    -0.9385211651408891
570000000                -0.09029879482129727     -0.9339426763197527
600000000                -0.1705463816478206      -0.9224085111178028
630000000                -0.2494347134150514      -0.9040132973507481
660000000                -0.3263793707315921      -0.8789027267079685
690000000                -0.4008105363165248      -0.8472724998406712
720000000                -0.47217734302705505     -0.8093668825891552
750000000                -0.5399520724972129      -0.7654768846574069
780000000                -0.6036341736174746      -0.7159380747673496
810000000                -0.6627540706476904      -0.6611280490683611
840000000                -0.7168767317618404      -0.6014635723366952
870000000                -0.765604970306546       -0.5373974141371846
900000000                -0.808582452703523       -0.4694149048792957
930000000                -0.8454963895202141      -0.39803023852795816
960000000                -0.8760798879894867      -0.3237825517058658
990000000                -0.9001139475613669      -0.24723181007787556
1020000000               -0.9174290826074837      -0.1689545349041822
1050000000               -0.9279065594593068      -0.08953940415938476
1080000000               -0.9314792382997839      -0.009582763458164754
1110000000               -0.9281320136488578      0.07031591721082342
1140000000               -0.9179018505744834      0.1495586043700625
1170000000               -0.900877417153981       0.22755324308234634
1200000000               -0.8771983171435951      0.3037182437313472
1230000000               -0.8470539300952287      0.37748687799527675
1260000000               -0.8106818695578044      0.44831154897999437
1290000000               -0.768366072913194       0.5156679023801248
1320000000               -0.7204345396930218      0.5790587462070319
1350000000               -0.6672567377554903      0.6380177492210424
1380000000               -0.6092406995487105      0.6921128897083695
1410000000               -0.5468298328721866      0.7409496289082779
1440000000               -0.4804994727146623      0.7841737857018617
1470000000               -0.410753202792563       0.8214740917519321
1500000000               -0.3381189766759885      0.852584409324043
