% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 26 2022, 13:54
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5377234566190364       -0.7402707534894901
330000000                0.4672585692241647       -0.7848717768157061
360000000                0.39324673155589207      -0.8229291838453888
390000000                0.31626785822257397      -0.8541514757259002
420000000                0.23693167100662685      -0.8782996092507114
450000000                0.1558715199430262       -0.895189870575408
480000000                0.07373837382456543      -0.9046961141519507
510000000                -0.008805118806202827    -0.906751407221994
540000000                -0.09109054376567656     -0.9013491002634236
570000000                -0.172449615372045       -0.8885433314681088
600000000                -0.2522200403028152      -0.8684489693294277
630000000                -0.3297513206420808      -0.8412409960580685
660000000                -0.4044104620991689      -0.8071533359244216
690000000                -0.47558754334745856     -0.7664771358118676
720000000                -0.5427011004384464      -0.7195585094667174
750000000                -0.6052032785147872      -0.6667957612749478
780000000                -0.6625847008381807      -0.6086361115013305
810000000                -0.7143790070854021      -0.545571949911629
840000000                -0.7601670139809633      -0.47813665053790005
870000000                -0.7995804538999892      -0.4068999860628595
900000000                -0.8323052511704749      -0.332463185045257
930000000                -0.8580842997203718      -0.2554536807064242
960000000                -0.8767197113999347      -0.17651960367229452
990000000                -0.8880745100404295      -0.09632407476495947
1020000000               -0.8920737525004606      -0.015539357289199751
1050000000               -0.8887050651707744      0.06515907071329716
1080000000               -0.8780185910823932      0.14509846180878605
1110000000               -0.8601263501552939      0.2236147002311582
1140000000               -0.8352010221833942      0.30005809707687886
1170000000               -0.8034741691023792      0.37379902033799883
1200000000               -0.7652339197008682      0.4442333026580461
1230000000               -0.7208221462346469      0.510787373258143
1260000000               -0.6706311677944529      0.5729230650776257
1290000000               -0.6151000205123232      0.630142052330659
1320000000               -0.5547103387478418      0.6819898795626813
1350000000               -0.4899818949036199      0.7280595488230778
1380000000               -0.4214678480732544      0.7679946376772421
1410000000               -0.34974975372640194     0.8014919267630423
1440000000               -0.2754323872512817      0.8283035221006241
1470000000               -0.19913843478618498     0.8482384630903225
1500000000               -0.12150310376914426     0.8611638133335175
1530000000               -0.04316870477126766     0.86700523673613
1560000000               0.03522074591577784      0.8657470666967655
1590000000               0.11302485567164809      0.857431880879628
1620000000               0.18961207261543012      0.8421595983364378
1650000000               0.26436474892613265      0.820086119489689
1680000000               0.33668401273690735      0.791421532670679
1710000000               0.4059944140373567       0.7564279136158428
1740000000               0.4717483140340839       0.7154167464453384
1770000000               0.5334299907559148       0.6687459963778324
1800000000               0.5905594375293852       0.6168168655859003
1830000000               0.6426958341942637       0.5600702645451121
1860000000               0.6894406746393238       0.4989830315037467
1890000000               0.730440537123522        0.4340639331025415
1920000000               0.7653894872953928       0.36584947883814534
1950000000               0.7940311067547342       0.29489958169599223
1980000000               0.8161601429546764       0.2217930966159942
2010000000               0.831623779313781        0.14712326715371454
2040000000               0.8403225272525848       0.07149310895508679
2070000000               0.8422107446041356       -0.004489244470083745
2100000000               0.8372967865831367       -0.08021521244556563
2130000000               0.8256427952170124       -0.1550804397551545
2.16E9                   0.8073641280967035       -0.22848946494519617
2.19E9                   0.7826284139066921       -0.2998603855142756
2.22E9                   0.7516541969178268       -0.3686295206369354
2.25E9                   0.7147090974629923       -0.4342560494174597
2.28E9                   0.6721073894419782       -0.4962265390371056
2.31E9                   0.6242069231236912       -0.554059173064672
2.34E9                   0.571405457223651        -0.6073073957922539
2.37E9                   0.5141366982590091       -0.6555627275757625
2.4E9                    0.45286652231353774      -0.6984567744692898
2.43E9                   0.38808973650507145      -0.7356628437410647
2.46E9                   0.32032729686487227      -0.7668977440768063
2.49E9                   0.25012347558669923      -0.7919240764152233
2.52E9                   0.17804244147102433      -0.8105528283161245
2.55E9                   0.10466405582452705      -0.822645797225777
2.58E9                   0.03057904652952033      -0.8281174374342117
2.61E9                   -0.04361613419925945     -0.8269359676881436
2.64E9                   -0.11732451513961735     -0.819123770147983
2.67E9                   -0.18995373368437518     -0.8047571844395911
2.7E9                    -0.26092103012909185     -0.7839657921257688
2.73E9                   -0.3296580916863233      -0.7569312527191698
2.76E9                   -0.39561573709505116     -0.7238857230741023
2.79E9                   -0.4582684268886986      -0.6851098758000193
2.82E9                   -0.5171185761469956      -0.6409305267719764
2.85E9                   -0.5717006398687231      -0.5917178827645894
2.88E9                   -0.6215849374302131      -0.5378824241463541
2.91E9                   -0.6663811811963468      -0.47987144269788634
2.94E9                   -0.705741674841331       -0.41816525995289777
2.97E9                   -0.7393641489603744      -0.35327315636767076
3.0E9                    -0.7669942044432344      -0.285729046199227
3.03E9                   -0.7884273378899733      -0.21608693679192284
3.06E9                   -0.8035105276043573      -0.14491621452559453
3.09E9                   -0.8121433637549338      -0.07279680189474189
