% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 23 2022, 15:59
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5383625665651675       -0.7272391730835701
330000000                0.4697100772618322       -0.7717267432330367
360000000                0.3975181497755374       -0.8098804443649595
390000000                0.3223478746481494       -0.8414098937045273
420000000                0.24478882109879052      -0.8660757427857793
450000000                0.16545326907185684      -0.8836921204304684
480000000                0.08497059582626819      -0.8941285907327267
510000000                0.003981717380088768     -0.8973116235888045
540000000                -0.07686645711919181     -0.8932255719900128
570000000                -0.15692656612970612     -0.8819131491039626
600000000                -0.23555631857193743     -0.8634753989974956
630000000                -0.3121239732303169      -0.8380711570580325
660000000                -0.38601374057733706     -0.8059159992750431
690000000                -0.4566310668368969      -0.7672806835607866
720000000                -0.5234077569690274      -0.7224890908353232
750000000                -0.58580689128998        -0.6719156784241773
780000000                -0.6433274892282741      -0.6159824638597429
810000000                -0.6955088748666806      -0.5551555621122555
840000000                -0.7419346995408072      -0.4899413051945347
870000000                -0.7822365798116216      -0.42088197773663105
900000000                -0.8160973116001387      -0.3485512078484654
930000000                -0.8432536259621548      -0.2735490563727047
960000000                -0.8634984559846285      -0.1964968525560597
990000000                -0.8766826900194321      -0.1180318270649412
1020000000               -0.8827163919639909      -0.03880159663902007
1050000000               -0.8815694756666146      0.040541443825593146
1080000000               -0.8732718268121172      0.11934576409069204
1110000000               -0.8579128723401077      0.19696631865398184
1140000000               -0.8356406039920735      0.2727700868161539
1170000000               -0.8066600690669482      0.34614147651071947
1200000000               -0.7712313476927228      0.4164875381942967
1230000000               -0.7296670417654388      0.48324293771785687
1260000000               -0.6823293061395961      0.5458746407312975
1290000000               -0.6296264573951447      0.6038862655398753
1320000000               -0.5720091998044542      0.6568220658491657
1350000000               -0.5099665114433061      0.7042705102136788
1380000000               -0.4440212363353636      0.745867430200292
1410000000               -0.3747254303078331      0.781298715129727
1440000000               -0.3026555096320518      0.8103025367807991
1470000000               -0.22840725192818923     0.8326710931853324
1500000000               -0.15259069865575087     0.8482518661085279
1530000000               -0.0758250077078559      0.8569483920761352
1560000000               0.001266696876331963     0.8587205517960266
1590000000               0.07806243293865034      0.8535843873791222
1620000000               0.15394638319799514      0.8416114609283221
1650000000               0.22831379318151124      0.8229277717622054
1680000000               0.3005757070410692       0.7977122527539924
1710000000               0.37016350736638587      0.7661948690025613
1740000000               0.43653322839980185      0.7286543443017917
1770000000               0.499169615418635        0.6854155426866607
1800000000               0.5575899063112789       0.6368465337153864
1830000000               0.6113473147436814       0.5833553711146564
1860000000               0.6600341974245979       0.5253866150395652
1890000000               0.7032848910140104       0.4634176286017249
1920000000               0.7407782073058855       0.3979546792270068
1950000000               0.7722395780593957       0.3295288752740808
1980000000               0.7974428436862336       0.25869196780063053
2010000000               0.8162116827695218       0.1860120463758484
2040000000               0.828420681937827        0.11206915666174587
2070000000               0.8339960481974207       0.037450864972414004
2100000000               0.8329159675459675       -0.03725220792521255
2130000000               0.8252106142058584       -0.11145086652544654
2.16E9                   0.8109618121108604       -0.1845618225784731
2.19E9                   0.7903023420668657       -0.25601217436554663
2.22E9                   0.7634148714558577       -0.3252438800457694
2.25E9                   0.7305304583481181       -0.39171821070968854
2.28E9                   0.6919265577997668       -0.45492013090843
2.31E9                   0.6479244609929797       -0.5143624838927704
2.34E9                   0.5988861685648157       -0.5695897761477168
2.37E9                   0.5452108562127744       -0.6201813341144602
2.4E9                    0.4873312655041634       -0.6657537366633167
2.43E9                   0.4257103798597324       -0.7059627074386952
2.46E9                   0.36083850780537663      -0.7405048920286762
2.49E9                   0.2932305224074078       -0.769119902756354
2.52E9                   0.22342280748192211      -0.7915926846028392
2.55E9                   0.1519695921115993       -0.8077559178696965
2.58E9                   0.0794386549809289       -0.81749207667108
2.61E9                   0.006406597459741903     -0.8207348930660233
