% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 23 2022, 16:11
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5374496116937547       -0.740066674329796
330000000                0.4669994118196293       -0.7846440526934411
360000000                0.39300433384401007      -0.8226789002639538
390000000                0.3160442386784059       -0.8538798709256608
420000000                0.23672877923490107      -0.8780080880973092
450000000                0.15569121814564613      -0.8948800117785496
480000000                0.07358241726965087      -0.9043696719464069
510000000                -0.008935101941222002    -0.906410308748821
540000000                -0.09119307243481992     -0.9009954392517701
570000000                -0.1725233753980959      -0.888179358693342
600000000                -0.25226390276070987     -0.8680770802038809
630000000                -0.32976435974470397     -0.840863715537053
660000000                -0.4043919708620927      -0.8067733011798173
690000000                -0.4755370481042304      -0.766097076654056
720000000                -0.5426183732281052      -0.7191812268669461
750000000                -0.6050883472033552      -0.6664241042714522
780000000                -0.6624378569086695      -0.6082729526959156
810000000                -0.7142008110311413      -0.5452201596862722
840000000                -0.7599582977869584      -0.47779907060777593
870000000                -0.7993423208903917      -0.40657940230805406
900000000                -0.8320390728783806      -0.3321623002260481
930000000                -0.8577917098728323      -0.2551750872133504
960000000                -0.8764025970002551      -0.17626575662248242
990000000                -0.8877349994635071      -0.09609726604668056
1020000000               -0.8917142008481028      -0.015341690514480602
1050000000               -0.8883280368682108      0.06532570376100945
1080000000               -0.8776268399340954      0.14523240299295467
1110000000               -0.8597227970221225      0.22371454495154755
1140000000               -0.8347887305225818      0.30012271177050165
1170000000               -0.8030563185918389      0.3738275575984017
1200000000               -0.7648137782853062      0.44422521348644994
1230000000               -0.7204030408171392      0.5107424165785915
1260000000               -0.6702164539705294      0.5728413141131019
1290000000               -0.6146930516215402      0.630023897916788
1320000000               -0.5543144346432041      0.6818360302374984
1350000000               -0.4896003106693133      0.7278710277994337
1380000000               -0.4211037432168035      0.7677727765353921
1410000000               -0.3494061619511916      0.8012383561351467
1440000000               -0.275112187318937       0.8280201592695962
1470000000               -0.19884432266060462     0.8479274967347141
1500000000               -0.12123756635338463     0.860827685534972
1530000000               -0.042933995539895166    0.8666466224329211
1560000000               0.035422629224640546     0.865368850817721
1590000000               0.11319219101644862      0.8570371333643876
1620000000               0.18974343119003478      0.8417515472975197
1650000000               0.2644590100073678       0.8196681227654263
1680000000               0.3367403758246235       0.7909970480209956
1710000000               0.4060124081127052       0.75600046784063
1740000000               0.47172780393973623      0.7149899036605047
1770000000               0.5333711806233759       0.6683233257034635
1800000000               0.5904628712756701       0.6164019084473447
1830000000               0.6425623930390079       0.5596665018091697
1860000000               0.6892715716816373       0.49859385056698696
1890000000               0.7302373089255785       0.43369259505057595
1920000000               0.7651539824071709       0.36549908567184597
1950000000               0.7937654709048897       0.2945730436799144
1980000000               0.8158668005360227       0.22149309960361574
2010000000               0.8313054103259518       0.14685223996214317
2040000000               0.8399820384165562       0.07125319104589516
2070000000               0.8418512326924432       -0.004696234062876542
2100000000               0.8369214913781704       -0.08038780263318199
2130000000               0.8252550393991183       -0.15521752635944294
2.16E9                   0.8069672429092194       -0.2285903124946055
2.19E9                   0.7822256546452334       -0.29992459821033285
2.22E9                   0.7512486635763299       -0.36865696663184544
2.25E9                   0.7143036939906193       -0.4342467285674529
2.28E9                   0.6717048726308325       -0.49618041021233117
2.31E9                   0.6238100884336127       -0.5539760057858569
2.34E9                   0.5710174538166793       -0.6071867620873714
2.37E9                   0.5137613570809887       -0.6554042438058585
2.4E9                    0.4525084901438639       -0.69826058594351
2.43E9                   0.3877542530536536       -0.7354301625371829
2.46E9                   0.32001965280063516      -0.7666311640329291
2.49E9                   0.24984839020702163      -0.7916275082039284
2.52E9                   0.17780362043095296      -0.8102311240541851
2.55E9                   0.10446403975520813      -0.8223042716129977
2.58E9                   0.0304192961709612       -0.8277614678087934
2.61E9                   -0.04373504062095908     -0.8265707482294551
2.64E9                   -0.11740267642552418     -0.8187542055978151
2.67E9                   -0.18999176502009743     -0.8043878722159198
2.7E9                    -0.2609199585675079      -0.7836010439933553
2.73E9                   -0.3296192979911083      -0.7565751237973288
2.76E9                   -0.3955409281961606      -0.7235420320651559
2.79E9                   -0.458159624933129       -0.684782210999241
2.82E9                   -0.5169781139205488      -0.6406222380824016
2.85E9                   -0.5715311560195413      -0.5914320623138111
2.88E9                   -0.6213893677008786      -0.5376218786431551
2.91E9                   -0.6661627435751186      -0.4796386605361514
2.94E9                   -0.7055038477063335      -0.41796237554993393
2.97E9                   -0.7391106418167448      -0.3531019138479691
3.0E9                    -0.7667289212064822      -0.28559076414580215
3.03E9                   -0.7881543328171715      -0.21598247557710454
3.06E9                   -0.8032339540804838      -0.1448459475685713
3.09E9                   -0.811867416178605       -0.07276059220719115
3.12E9                   -0.8140075604584969      -3.1141579345391206E-4
3.15E9                   -0.8096606223219397      0.07191593289440822
3.18E9                   -0.7988859423891626      0.14334009981126028
3.21E9                   -0.7817952101571617      0.21338890107067301
3.24E9                   -0.7585512503980664      0.28150409100243445
3.27E9                   -0.729366367068029       0.3471459789883293
3.3E9                    -0.6945002633918369      0.4097978538318381
3.33E9                   -0.6542575601001444      0.46897017678730074
