% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 26 2022, 13:46
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5375703087705184       -0.7402896157172676
330000000                0.46709479870354065      -0.7848797549740167
360000000                0.3930732609384833       -0.8229246127849884
390000000                0.31608579564671974      -0.8541327600580607
420000000                0.2367423128217693       -0.878265244693992
450000000                0.15567634845889808      -0.8951384666017065
480000000                0.07353905138764656      -0.9046264168704119
510000000                -0.009006759821478739    -0.9066623221372279
540000000                -0.09129251405575439     -0.9012397142092237
570000000                -0.1726497855253488      -0.8884129333652988
600000000                -0.25241615999074546     -0.8682970693025253
630000000                -0.32994104124884577     -0.841067342464362
660000000                -0.4045913610537213      -0.8069579301257094
690000000                -0.47575715115209694     -0.7662602441382805
720000000                -0.5428569292087893      -0.71932067228339
750000000                -0.6053428520846351      -0.666537798763365
780000000                -0.6627055856950119      -0.6083591261762932
810000000                -0.7144788441172816      -0.5452773254802848
840000000                -0.7602435503741748      -0.4778260471085567
870000000                -0.7996315746841578      -0.40657533179329636
900000000                -0.8323290101405052      -0.3321266640782994
930000000                -0.8580789492413765      -0.25510771745341543
960000000                -0.8766837306102606      -0.1761668436859496
990000000                -0.8880066310531909      -0.09596736237727929
1020000000               -0.8919729842816517      -0.015181710080155382
1050000000               -0.8885707146448282      0.06551449012232818
1080000000               -0.877850281201583       0.1454483764753796
1110000000               -0.8599240346294796      0.22395575169846713
1140000000               -0.8349649966399746      0.3003868798713904
1170000000               -0.8032050784750139      0.374112117814494
1200000000               -0.7649327617700232      0.4445273235853406
1230000000               -0.7204902711444309      0.5110589889841327
1260000000               -0.6702702736269367      0.5731690465241454
1290000000               -0.6147121448902143      0.6303593065550537
1320000000               -0.5542978465410383      0.6821754854296844
1350000000               -0.4895474622117629      0.7282107913090032
1380000000               -0.4210144426538305      0.7681090404446043
1410000000               -0.3492806120130405      0.8015672826883862
1440000000               -0.27495098836543247     0.8283379213095845
1470000000               -0.1986484716627981      0.848230318315417
1500000000               -0.12100845185375508     0.8611118822468491
1530000000               -0.04267338849941567     0.8669086410869927
1560000000               0.03571258834770781      0.8656053080386488
1590000000               0.1135090090788399       0.8572448527768108
1620000000               0.1900842826191097       0.8419275949256069
1650000000               0.2648207604678543       0.8198098403472245
1680000000               0.3371196089393085       0.7911020839544441
1710000000               0.4064054550623629       0.7560668054959654
1740000000               0.47213077558799554      0.7150158868557398
1770000000               0.5337800018921636       0.6683076811737543
1800000000               0.5908733174742711       0.6163437651629909
1830000000               0.6429701278520501       0.5595654070558511
1860000000               0.6896721864872216       0.49844978277131724
1890000000               0.7306263631931771       0.43350597337417673
1920000000               0.7655270449601478       0.3652707764495643
1950000000               0.7941181619131861       0.2943043638441119
1980000000               0.8161948342043435       0.22118581735056933
2010000000               0.8316046385386454       0.14650857278932866
2040000000               0.8402484958171247       0.07087580136955364
2070000000               0.8420811841476326       -0.005104245921465277
2100000000               0.8371114831945583       -0.0808229087322245
2130000000               0.8254019560167543       -0.1556757867775842
2.16E9                   0.8070683705070962       -0.22906739999803827
2.19E9                   0.7822787513786491       -0.30041583855530185
2.22E9                   0.7512520317500777       -0.36915740324168533
2.25E9                   0.7142562414224252       -0.4347512201446378
2.28E9                   0.6716061404408976       -0.4966837619979555
2.31E9                   0.6236602175766738       -0.5544731164759585
2.34E9                   0.5708170755363485       -0.6076727427954917
2.37E9                   0.5135114312814384       -0.6558744523677729
2.4E9                    0.45221016286552074      -0.698710546864119
2.43E9                   0.38740881608211064      -0.7358554093691313
2.46E9                   0.3196286359776632       -0.7670270984204954
2.49E9                   0.24941373548571183      -0.7919893615080669
2.52E9                   0.177327846579243        -0.8105540393753476
2.55E9                   0.1039503329373          -0.8225834593932917
2.58E9                   0.029871516153247058     -0.8279923718619235
2.61E9                   -0.044312412407345826    -0.8267491819359787
2.64E9                   -0.11800461445633151     -0.818876447885341
2.67E9                   -0.1906127808872835      -0.8044507306446637
2.7E9                    -0.26155417628311456     -0.7836018968697229
2.73E9                   -0.33026052204284895     -0.7565119509519771
2.76E9                   -0.396182706519192       -0.723413439992234
2.79E9                   -0.45879530948424735     -0.6845874549282133
2.82E9                   -0.5176009212193214      -0.6403612415651977
2.85E9                   -0.57213422903441        -0.5911054340122828
