% Model:              cali 2.99 1.02mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 21 2022, 19:04
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.41807088768545886      -0.9033731787329146
330000000                0.31323334307239536      -0.9441823497810552
360000000                0.20468563953769525      -0.9727883042526383
390000000                0.09386182678875557      -0.9888946151155097
420000000                -0.017787913011526515    -0.992375845935622
450000000                -0.12881802274335694     -0.983276754515316
480000000                -0.2378078156783966      -0.9618089283769593
510000000                -0.34338088590032295     -0.9283449815203316
540000000                -0.44422338888039026     -0.8834104822019033
570000000                -0.5391009292593635      -0.8276738160610538
600000000                -0.6268738283702586      -0.7619342175334716
630000000                -0.7065105820305554      -0.6871082247199033
660000000                -0.7770993582415615      -0.604214828436481
690000000                -0.8378574228357514      -0.5143595954145816
720000000                -0.888138417730838       -0.41871804822641173
750000000                -0.9274374482652883      -0.3185185814734076
780000000                -0.9553939604018349      -0.21502518460661513
810000000                -0.971792398204854       -0.10952022846469422
840000000                -0.976560615054969       -0.003287555545754848
870000000                -0.9697659394625877      0.10240390046115817
900000000                -0.9516085997226267      0.20631573779923365
930000000                -0.9224117085170521      0.3072546441464197
960000000                -0.882605671390646       0.404085186992657
990000000                -0.832701016339719       0.49573834872171085
1020000000               -0.773231216963493       0.5812043287866411
1050000000               -0.7046044366032661      0.6594426621346745
1080000000               -0.6267360339226928      0.7286943547185942
1110000000               -0.5420284576778631      0.7821820192527504
1140000000               -0.46715335113299483     0.8305026605921111
1170000000               -0.37855172573155277     0.8791650312041871
1200000000               -0.28309962376431747     0.9146707825408286
1230000000               -0.18500881657086518     0.938604075337246
1260000000               -0.08562692062733178     0.951653210035869
1290000000               0.01396874745624288      0.9540892500527556
1320000000               0.11273529400472082      0.9461274355640603
1350000000               0.2096512174887984       0.9280283808897622
1380000000               0.3037262157871752       0.9001275825278953
1410000000               0.39401196076771594      0.8628423415469076
1440000000               0.4796110469078492       0.8166699859989273
1470000000               0.5596834417797384       0.7621818782798496
1500000000               0.6334492503336876       0.7000148149001766
1530000000               0.7001845222102571       0.6308608556219398
1560000000               0.7592011202409129       0.5554593815260318
1590000000               0.8097876270433091       0.4746138128187406
1620000000               0.8510870096118467       0.3893573123808227
1650000000               0.882318820211534        0.30168372934529347
1680000000               0.9053395966560359       0.21421641025658938
1710000000               0.9224309086814149       0.1245912651564991
1740000000               0.9303905182753177       0.03191429905268663
1770000000               0.928057656634877        -0.06133060566769453
1800000000               0.9157601355973655       -0.15345317967889854
1830000000               0.8938911867057744       -0.24322126097633007
1860000000               0.8629132168044156       -0.3294197366066761
1890000000               0.8236237377923111       -0.41079390081943185
1920000000               0.7774096279044809       -0.48640784825331
1950000000               0.7258740598924824       -0.5563625857978309
1980000000               0.66956822979821         -0.6216443113086347
2010000000               0.6077731878396335       -0.6825379421169193
2040000000               0.5399561813222175       -0.7380816262959001
2070000000               0.46646495275310546      -0.7870173793870316
2100000000               0.3881589084122702       -0.8284085527153154
2130000000               0.30603276563146214      -0.861655176204471
2.16E9                   0.2210885835398221       -0.8863653016588332
2.19E9                   0.13433845819133375      -0.9022674531060256
2.22E9                   0.04686140270692096      -0.9091868428427032
2.25E9                   -0.04011370262355492     -0.9071140316327176
2.28E9                   -0.12519453209899112     -0.8964482525381279
2.31E9                   -0.20722600270424663     -0.8783524854384326
2.34E9                   -0.28626088039453823     -0.8543728029204609
2.37E9                   -0.36340274867602196     -0.8247909999087789
2.4E9                    -0.43879874099825855     -0.7885117585683913
2.43E9                   -0.5113349616889421      -0.7448422181347779
2.46E9                   -0.5797398994505811      -0.6938899349677817
2.49E9                   -0.6429448225547566      -0.6361643787352333
2.52E9                   -0.7001080954258287      -0.5723813836678284
2.55E9                   -0.750600199114899       -0.5033359356064185
2.58E9                   -0.7939427435563953      -0.4298350601275506
2.61E9                   -0.8297581737083775      -0.3526902817014763
2.64E9                   -0.857749382902357       -0.2727316248290257
2.67E9                   -0.8777023211199592      -0.19082240823981092
2.7E9                    -0.8895056494665177      -0.10786651839806378
2.73E9                   -0.8931839119719719      -0.024799553324691873
2.76E9                   -0.888934803361467       0.05744855503366634
2.79E9                   -0.8771464833624905      0.13802713979679027
2.82E9                   -0.8583611408671156      0.2162581917583208
2.85E9                   -0.8331711657900647      0.2917015115981434
2.88E9                   -0.8020781285793724      0.3641434253533873
2.91E9                   -0.76536837191464        0.43348809752696216
2.94E9                   -0.7230853558947339      0.49955595866791463
2.97E9                   -0.6751922275643569      0.5618979454801662
3.0E9                    -0.6218447304876289      0.6198228627951187
3.03E9                   -0.5635234777300909      0.6726409821570596
3.06E9                   -0.5009184967204969      0.7199037338843782
3.09E9                   -0.43467752615036875     0.7614542223736058
3.12E9                   -0.36521957801729354     0.7972545183070555
3.15E9                   -0.2927767656472594      0.8271385384342097
3.18E9                   -0.21761293931464484     0.8507228654742459
3.21E9                   -0.1401931508671435      0.8675242557686409
3.24E9                   -0.06119050340105936     0.8771239348385773
3.27E9                   0.018597115190181947     0.8792533904626089
3.3E9                    0.09832657645063136      0.8738047050712323
3.33E9                   0.17715666944697778      0.8608116974976681
3.36E9                   0.2542715939182358       0.8404297172498035
3.39E9                   0.32889409962431204      0.8129223390733297
3.42E9                   0.40029797501483116      0.7786543686544514
3.45E9                   0.4678258212127675       0.7380860066146746
3.48E9                   0.5309129588552152       0.6917599175323996
3.51E9                   0.589110700927236        0.6402732159702753
3.54E9                   0.6420949617207029       0.5842337962862347
3.57E9                   0.6896475507238851       0.524214361234291
3.6E9                    0.731612970400838        0.4607264543367202
3.63E9                   0.7678522508372936       0.3942272660984156
3.66E9                   0.7982170662479113       0.32514971153021444
3.69E9                   0.8225499506774722       0.2539339568853094
3.72E9                   0.8406996883939986       0.18104592718096021
3.75E9                   0.8525391143828209       0.10698221241862112
3.78E9                   0.8579799966099423       0.03226656433318501
3.81E9                   0.8569842743057692       -0.04255926343902468
3.84E9                   0.8495695242762964       -0.11694951122475415
3.87E9                   0.8358051534173889       -0.1903693873230932
3.9E9                    0.8157998736570029       -0.26230334546917
3.93E9                   0.7896882504601369       -0.3322510461959729
3.96E9                   0.7576268871079321       -0.399713954395569
3.99E9                   0.7198047595118894       -0.4641834172855978
4.02E9                   0.6764619931141486       -0.5251406545649914
4.05E9                   0.6279059017205132       -0.5820709001954949
4.08E9                   0.574515956550375        -0.6344855002497877
4.11E9                   0.5167364388375244       -0.6819430258084483
4.14E9                   0.4550610783927622       -0.7240631972648033
4.17E9                   0.3900155681361927       -0.7605320140968271
4.2E9                    0.3221423691213998       -0.791099886472898
4.23E9                   0.25198978439834113      -0.8155757286054719
4.26E9                   0.1801055471782858       -0.8338195504476739
4.29E9                   0.10703450890911431      -0.8457353977624475
4.32E9                   0.03331967295505613      -0.8512662516032439
4.35E9                   -0.04049489284654087     -0.85039228583461
4.38E9                   -0.11386151953484679     -0.8431329818458005
4.41E9                   -0.1862290401048332      -0.8295521104610297
4.44E9                   -0.2570467171668311      -0.8097634004701066
4.47E9                   -0.3257716091760111      -0.7839345611986979
4.5E9                    -0.3918778133788566      -0.7522881737182741
4.53E9                   -0.4548657147278736      -0.7150991908117335
4.56E9                   -0.5142698129952112      -0.6726897419661175
4.59E9                   -0.5696644465571227      -0.6254223170567794
4.62E9                   -0.6206673370773949      -0.5736922807091601
4.65E9                   -0.6669411359752571      -0.5179203609243724
4.68E9                   -0.7081931445634854      -0.45854556586524364
4.71E9                   -0.7441733595100616      -0.3960190128859103
4.74E9                   -0.7746711694759139      -0.3307992619101235
4.77E9                   -0.799511390248441       -0.26334968499227535
4.8E9                    -0.8185506603549139      -0.19413803342226618
4.83E9                   -0.8316752667582087      -0.12363776605735602
4.86E9                   -0.8388011125899703      -0.052330140698446506
4.89E9                   -0.8398758848468587      0.01929417901512452
4.92E9                   -0.8348828013857142      0.09073506075228854
4.95E9                   -0.823844892112737       0.16148490936825097
4.98E9                   -0.8068287406468704      0.23103262559302273
5.01E9                   -0.7839469328458256      0.2988689121062369
5.04E9                   -0.7553589432104412      0.36449213457332386
5.07E9                   -0.7212706256427283      0.4274140600274719
5.1E9                    -0.6819327152233999      0.48716509238949235
5.13E9                   -0.6376387581458869      0.543298944161827
5.16E9                   -0.5887227298098753      0.5953968972179422
5.19E9                   -0.5355563849046826      0.6430718600604162
5.22E9                   -0.47854621020383137     0.6859723423577576
5.25E9                   -0.4181297828829922      0.723786304274376
5.28E9                   -0.35477138683489806     0.7562446751766272
5.31E9                   -0.28895687740897974     0.783124236482644
5.34E9                   -0.22118795814463327     0.8042495591205392
5.37E9                   -0.15197618548506162     0.8194937760823603
5.4E9                    -0.08183710635290052     0.828778128066785
5.43E9                   -0.011284936255686162    0.8320704048296075
5.46E9                   0.05917189962838414      0.8293825728991542
5.49E9                   0.1290341960048753       0.8207679921082249
5.52E9                   0.19781439425316683      0.806318650384255
5.55E9                   0.265038217388703        0.7861627786520936
5.58E9                   0.33024585308921994      0.7604630600448581
5.61E9                   0.39299306328124683      0.7294154584920751
5.64E9                   0.45285253813372695      0.6932485150099046
5.67E9                   0.5094156758727806       0.6522228476214869
5.7E9                    0.562294808935725        0.6066305713299996
5.73E9                   0.6111257692051894       0.5567944186141717
5.76E9                   0.6555706268389259       0.5030664455406509
5.79E9                   0.6953204465064634       0.4458263024491811
5.82E9                   0.7300979497952906       0.3854791000404194
5.85E9                   0.7596600163396637       0.3224529118487982
5.88E9                   0.7837999786700671       0.2571959427476948
5.91E9                   0.8023496666801585       0.19017338212946186
5.94E9                   0.8151811481810789       0.12186396126734796
5.97E9                   0.8222081041232023       0.05275624781372606
6.0E9                    0.8233867777012119       -0.016655268996926723
