% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 23 2022, 16:53
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.4493218973074612       -0.7269880402925135
330000000                0.37575342203324563      -0.7644306847292065
360000000                0.29928640094897807      -0.7946646858684381
390000000                0.22059300836471485      -0.8174580545276302
420000000                0.14037053805999947      -0.8326447680936717
450000000                0.0593329369397992       -0.8401266390378068
480000000                -0.02179714906291661     -0.8398744142787135
510000000                -0.1022959809627551      -0.8319281313218124
540000000                -0.18144605395410718     -0.8163967542216035
570000000                -0.2585431640133731      -0.7934571124891522
600000000                -0.33290320170313364     -0.7633521680776542
630000000                -0.4038686456461478      -0.7263886387004711
660000000                -0.47081471825916926     -0.6829340097566973
690000000                -0.5331551631840067      -0.6334129711035956
720000000                -0.5903476017316516      -0.5783033195930409
750000000                -0.6418984278402031      -0.5181313719531769
780000000                -0.6873672023598028      -0.4534669371732726
810000000                -0.7263705120878813      -0.3849179005773804
840000000                -0.7585852627133914      -0.3131244753123864
870000000                -0.7837513801684723      -0.23875317949799554
900000000                -0.8016739002997699      -0.16249059926129697
930000000                -0.8122244324727683      -0.08503699961342659
960000000                -0.8153419888403848      -0.007099845797986786
990000000                -0.8110331770495695      0.0706127019687426
1020000000               -0.799371760290911       0.14739825775271098
1050000000               -0.7804975947195456      0.22256658164233856
1080000000               -0.7546149601210002      0.2954457942382522
1110000000               -0.7219903054506849      0.3653883760680097
1140000000               -0.6829494362864253      0.4317768972053353
1170000000               -0.6378741762943104      0.494029425546274
1200000000               -0.5871985394867542      0.5516045660019633
1230000000               -0.531404454322962       0.6040060870688096
1260000000               -0.471017084432655       0.6507870958029124
1290000000               -0.4065997939314831      0.6915537272323637
1320000000               -0.3387488081084844      0.7259683191787949
1350000000               -0.26808762230399835     0.7537520489835495
1380000000               -0.19526121345592762     0.774687013965398
