% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 23 2022, 16:40
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.44810046701404205      -0.727159184411595
330000000                0.37444130874057646      -0.7645067949392019
360000000                0.29789270144578917      -0.7946308819680787
390000000                0.219128615104086        -0.8173003242935574
420000000                0.1388481053208162       -0.8323501876311717
450000000                0.05776680491812876      -0.8396835938475626
480000000                -0.023391068231890345    -0.8392728142841852
510000000                -0.10390035096703763     -0.8311596141409986
540000000                -0.1830422929832441      -0.8154548719652756
570000000                -0.26011165011334275     -0.7923374980008423
600000000                -0.3344235017589481      -0.7620526771668923
630000000                -0.40531976399341885     -0.7249094655163146
660000000                -0.47217536135602345     -0.6812777728698816
690000000                -0.5344040162299186      -0.6315847684904132
720000000                -0.5914636133959047      -0.5763107510873362
750000000                -0.642861098820961       -0.5159845283874198
780000000                -0.6881568738431019      -0.45117835578256105
810000000                -0.726968649901499       -0.3825024868645267
840000000                -0.7589747332909931      -0.31059939192642544
870000000                -0.7839167143908493      -0.23613770321654526
900000000                -0.8016015415326394      -0.1598059476068665
930000000                -0.8119029653156971      -0.08230612903539689
960000000                -0.8147623453775987      -0.004347223724446868
990000000                -0.8101888176707887      0.0733613485262266
1020000000               -0.7982588265203399      0.1501162140441954
1050000000               -0.7791150318096872      0.22522643432221623
1080000000               -0.7529646076081181      0.2980197341473458
1110000000               -0.7200769542418671      0.36784851119230033
1140000000               -0.6807808512907396      0.43409557193598913
1170000000               -0.6354610840329146      0.49617954240908946
1200000000               -0.584554580584196       0.5535599059511956
1230000000               -0.5285461011641431      0.6057416245069288
1260000000               -0.46796352472958413     0.6522793045388273
1290000000               -0.4033727813571325      0.692780873659995
1320000000               -0.3353724815406757      0.7269107391833138
1350000000               -0.26458829558077135     0.7543924052485508
1380000000               -0.19166713791387197     0.7750105305899452
1410000000               -0.11727121209297398     0.7886124146697998
1440000000               -0.04207197266634264     0.7951089053816821
1470000000               0.033255940005262906     0.7944747270941503
1500000000               0.10804073659020884      0.7867482332084785
1530000000               0.1816194330749241       0.7720305926506978
1560000000               0.25334366996301744      0.7504844247745752
1590000000               0.3225853459166967       0.7223319019883553
1620000000               0.38874201807068953      0.6878523439229092
1650000000               0.4512420239998223       0.6473793312383499
1680000000               0.5095492838453914       0.6012973710241283
1710000000               0.5631677446236758       0.5500381493286233
1740000000               0.6116454328108095       0.49407640948080656
1770000000               0.6545780855242118       0.43392549768477623
1800000000               0.6916123352545409       0.3701326196668416
