% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 23 2022, 16:43
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.4461618089395053       -0.7479621434622654
330000000                0.3695514408936571       -0.7851897296764085
360000000                0.2900907411729451       -0.814842960138337
390000000                0.20848655024490592      -0.836695443324901
420000000                0.1254723347055343       -0.8505899356174406
450000000                0.04179880050339033      -0.8564408037233063
480000000                -0.04177490267965958     -0.8542354349188992
510000000                -0.12448955937974784     -0.8440347018274571
540000000                -0.20559392402506058     -0.8259725540582168
570000000                -0.2843524335734123      -0.8002547918488263
600000000                -0.3600525861180326      -0.7671570691577381
630000000                -0.43201195547176124     -0.7270221713307696
660000000                -0.4995848031591229      -0.6802566130180039
690000000                -0.5621682438043004      -0.6273266046957828
720000000                -0.6192079200150871      -0.568753438978074
750000000                -0.6702031433005807      -0.5051083519294502
780000000                -0.7147114612509721      -0.4370069177691484
810000000                -0.7523526150793216      -0.36510303903852065
840000000                -0.7828118570579963      -0.29008259698000594
870000000                -0.8058426031624265      -0.21265682921213297
900000000                -0.8212684023256083      -0.13355550404092223
930000000                -0.8289842107595622      -0.053519961098593444
960000000                -0.8289569662134859      0.026703910758710987
990000000                -0.8212254642294889      0.10637268835714207
1020000000               -0.8058995451436545      0.18475235244892227
1050000000               -0.7831586073948942      0.2611250818421152
1080000000               -0.7532494691546898      0.3347958383364069
1110000000               -0.7164836065228342      0.4050986801721532
1140000000               -0.673233802288566       0.4714027456944388
1170000000               -0.6239302446954679      0.5331178527749216
1200000000               -0.5690561204444643      0.5896996644293098
1230000000               -0.5091427505184415      0.6406543760794932
1260000000               -0.44476432118142006     0.685542885328125
1290000000               -0.37653226553533986     0.7239844109636785
1320000000               -0.30508935357203665     0.7556595338041128
1350000000               -0.23110355046582465     0.780312638109609
1380000000               -0.1552617040962163      0.7977537384945728
1410000000               -0.07826312329006485     0.8078596834731002
1440000000               -8.131081166920851E-4    0.8105747329312148
1470000000               0.07638350676798158      0.8059105127381869
1500000000               0.15262873644798117      0.7939453557054807
1530000000               0.22723769988030915      0.7748230435903913
1560000000               0.2995446885667549       0.7487509702398074
1590000000               0.3689089969444561       0.7159977510006398
1620000000               0.43472046541887366      0.6768903081302988
1650000000               0.49640468991074926      0.6318104663718189
1680000000               0.5534278564551841       0.581191096578581
1710000000               0.6053011631915521       0.5255118489029975
1740000000               0.651584796989501        0.4652945200006071
1770000000               0.6918914367535969       0.4010981013243104
1800000000               0.7258892607038838       0.3335135576482815
1830000000               0.7533044404154219       0.26315838654871604
1860000000               0.7739231102759          0.19067101050366092
1890000000               0.7875928072523259       0.11670505351064822
1920000000               0.7942233825740083       0.04192355343214929
1950000000               0.7937873941814235       -0.03300684088488503
1980000000               0.7863199964231129       -0.10742164269511274
2010000000               0.7719183512939367       -0.18066423265793843
2040000000               0.7507405924246598       -0.25209146982689445
2070000000               0.723004376931683        -0.3210791995924799
2100000000               0.6889850564331863       -0.3870276753112063
2130000000               0.6490134786900796       -0.44936694415931683
2.16E9                   0.6034733822733899       -0.5075622827205023
2.19E9                   0.5527982518753704       -0.5611197858747748
2.22E9                   0.49746735361629657      -0.609592167937271
2.25E9                   0.43800049681031067      -0.6525846556941648
2.28E9                   0.3749509880226343       -0.6897604637846824
2.31E9                   0.30889649182917495      -0.7208447726794547
2.34E9                   0.24042834734208096      -0.7456256867290255
2.37E9                   0.17014122781874852      -0.7639509791521231
2.4E9                    0.09862602002672799      -0.7757210613340582
2.43E9                   0.026468099035316862     -0.7808809895441684
2.46E9                   -0.045749566355084606    -0.7794155210421894
2.49E9                   -0.1174419905557512      -0.7713496747792319
2.52E9                   -0.18802053635651284     -0.7567538876524758
2.55E9                   -0.2568960221148222      -0.7357504686898038
2.58E9                   -0.323485742513249       -0.7085181988227562
2.61E9                   -0.38722220116309947     -0.675293689566232
2.64E9                   -0.44756160911206466     -0.6363697714823877
2.67E9                   -0.5039911434703555      -0.5920919072245937
2.7E9                    -0.5560347605419013      -0.5428535857481158
2.73E9                   -0.6032577593586004      -0.4890913216575934
2.76E9                   -0.6452703872606129      -0.43127956700513903
2.79E9                   -0.6817307307230428      -0.36992564251523585
2.82E9                   -0.7123470508955831      -0.30556469951845466
2.85E9                   -0.736879651698739       -0.23875469266958504
2.88E9                   -0.7551423202456775      -0.17007134348474173
2.91E9                   -0.767003351735443       -0.10010308605390004
2.94E9                   -0.7723861574322765      -0.029445999771629434
2.97E9                   -0.7712694496652512      0.04130125464974197
3.0E9                    -0.7636869979922466      0.11154247055231853
3.03E9                   -0.7497269538358222      0.18068887071679157
3.06E9                   -0.7295307454215296      0.24816398738361367
3.09E9                   -0.7032915501832088      0.3134084098491425
3.12E9                   -0.6712523571910317      0.3758843626063132
3.15E9                   -0.6337036371976693      0.43508007881973465
3.18E9                   -0.5909806419193399      0.490513937170455
3.21E9                   -0.5434603566797421      0.5417383343322427
3.24E9                   -0.49155813101038054     0.5883432697722174
3.27E9                   -0.43572401034084207     0.6299596231130765
3.3E9                    -0.3764387887923449      0.6662621059182271
3.33E9                   -0.3142097995950602      0.6969718684732347
3.36E9                   -0.24956645716144443     0.7218587376676412
3.39E9                   -0.18305556523005181     0.7407430547099736
3.42E9                   -0.11523641040862032     0.7534970723895228
3.45E9                   -0.04667567129581123     0.7600458630002188
3.48E9                   0.02205780970753999      0.7603676829145956
3.51E9                   0.09039832254441311      0.7544937414340325
3.54E9                   0.1577885600070074       0.7425073332992436
3.57E9                   0.22368474753352016      0.7245423176769251
3.6E9                    0.2875615050239585       0.7007809603571418
3.63E9                   0.3489163152028086       0.6714511952444131
3.66E9                   0.40727349078295916      0.6368233984837444
3.69E9                   0.46218756285809165      0.5972067965184644
3.72E9                   0.5132460489365249       0.552945644786433
3.75E9                   0.5600715948661302       0.5044153188302377
3.78E9                   0.6023235200919          0.45201845874569435
3.81E9                   0.6396988341599695       0.39618130233303417
3.84E9                   0.6719328385618589       0.337350325257895
3.87E9                   0.6987994769021264       0.2759892662235111
3.9E9                    0.7201116312605805       0.21257654408311566
3.93E9                   0.7357215604145164       0.14760297926914814
3.96E9                   0.7455216204713757       0.08156963922400806
3.99E9                   0.7494453051422649       0.014985570551439004
4.02E9                   0.7474685185631196       -0.051634815075670054
4.05E9                   0.7396108871725691       -0.11777486515271576
4.08E9                   0.7259368616285002       -0.18291937205279718
4.11E9                   0.70655636846897         -0.24655875079388945
4.14E9                   0.6816248348849719       -0.3081935450040074
4.17E9                   0.6513425040432047       -0.36733904984160337
4.2E9                    0.6159530538988417       -0.4235298443414928
4.23E9                   0.5757416057778034       -0.4763240696232459
4.26E9                   0.5310322467292002       -0.5253073546248925
4.29E9                   0.4821851902653729       -0.5700963562223882
4.32E9                   0.4295936720840787       -0.6103419287630092
4.35E9                   0.3736806361449885       -0.6457319594531511
4.38E9                   0.3148952280314912       -0.6759939015455169
4.41E9                   0.25370908909738576      -0.7008970150427644
4.44E9                   0.19061244064636435      -0.7202542970367132
4.47E9                   0.12610995973494196      -0.7339240615276545
4.5E9                    0.06071647011631729      -0.7418111178200828
4.53E9                   -0.005047503914266294    -0.7438674988316323
4.56E9                   -0.07066025242961463     -0.740092704231091
4.59E9                   -0.13560338184323725     -0.7305334451806029
4.62E9                   -0.19936621937724067     -0.7152829043097259
4.65E9                   -0.261450044787414       -0.6944795516213291
4.68E9                   -0.3213720963084809      -0.6683055780805098
4.71E9                   -0.3786693289844603      -0.6369850163371868
4.74E9                   -0.4329019354446585      -0.6007816072755179
4.77E9                   -0.48365665962265925     -0.5599964430869572
4.8E9                    -0.5305499332773728      -0.5149653816223998
4.83E9                   -0.5732308413128313      -0.46605619777710033
4.86E9                   -0.611383883072108       -0.4136654289910966
4.89E9                   -0.6447314580957011      -0.3582148891227499
4.92E9                   -0.6730359811202287      -0.3001478630703026
4.95E9                   -0.6961015310245029      -0.23992504181563554
4.98E9                   -0.7137749627917318      -0.17802030044997288
5.01E9                   -0.7259464548288332      -0.11491644956732983
5.04E9                   -0.7325495176554354      -0.05110109580141112
5.07E9                   -0.7335605431729837      0.012937273092256075
5.1E9                    -0.7289980138700222      0.07671290885500698
5.13E9                   -0.7189215048340076      0.13974612294823363
5.16E9                   -0.703430588236201       0.2015663657326258
5.19E9                   -0.6826636908694836      0.2617151679951167
5.22E9                   -0.6567968778672781      0.31974904893457734
5.25E9                   -0.6260424718587351      0.37524244544021357
5.28E9                   -0.5906473986210887      0.4277906362157559
5.31E9                   -0.5508911906077415      0.477012558936408
5.34E9                   -0.5070836607977872      0.5225533879253302
5.37E9                   -0.45956234112938915     0.5640867696186868
5.4E9                    -0.4086898227289381      0.6013166878626435
5.43E9                   -0.3548511219037067      0.6339790141263911
5.46E9                   -0.2984511369884144      0.661842853323852
5.49E9                   -0.2399121846449983      0.6847118059199953
5.52E9                   -0.1796715388234997      0.7024252342702831
5.55E9                   -0.11817885936880793     0.7148595618916088
5.58E9                   -0.05589339528897579     0.7219295676886621
5.61E9                   0.006719123296563901     0.7235895783198001
5.64E9                   0.06918993748420502      0.7198344216854153
5.67E9                   0.13105102024728163      0.7106999916656677
5.7E9                    0.1918390370746236       0.6962632965714862
5.73E9                   0.251099341714367        0.6766419243140267
5.76E9                   0.3083898252151318       0.651992945445846
5.79E9                   0.36328447467667646      0.6225113623128724
5.82E9                   0.41537658286666573      0.5884282607822825
5.85E9                   0.4642816451215701       0.5500088063604042
5.88E9                   0.509640041084511        0.507550157758415
5.91E9                   0.5511196008511894       0.46137928574196957
5.94E9                   0.5884181067457099       0.41185062488962665
5.97E9                   0.6212657146863627       0.3593434712496831
6.0E9                    0.6494272238432786       0.3042590640250855
