% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 26 2022, 14:29
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.4447906066172957       -0.7546781700085812
330000000                0.3671112421901224       -0.7918901731070387
360000000                0.28658519472906047      -0.8213833541727562
390000000                0.20393574601102282      -0.842933075857808
420000000                0.11991283197962233      -0.8563853565237913
450000000                0.03528343200535229      -0.8616594953657342
480000000                -0.04917746695253378     -0.8587495593750426
510000000                -0.13269549188105412     -0.8477248588776979
540000000                -0.21450515687839922     -0.8287294969472321
570000000                -0.29385780195518746     -0.8019810570166005
600000000                -0.3700291809768221      -0.7677684831106775
630000000                -0.4423266662001839      -0.7264492033092133
660000000                -0.5100960263493796      -0.6784455474273557
690000000                -0.5727277336394546      -0.6242405112150198
720000000                -0.6296627523804939      -0.5643729231257354
750000000                -0.6803977651739278      -0.4994320726414676
780000000                -0.7244897956196014      -0.43005186281914026
810000000                -0.7615601912643312      -0.3569045529443803
840000000                -0.7912979361120362      -0.2806941600587766
870000000                -0.8134622683796536      -0.20214959031908927
900000000                -0.8278845858321349      -0.12201757283504883
930000000                -0.8344696281210343      -0.041055469514652866
960000000                -0.8331959326902348      0.039975965168271343
990000000                -0.8241155681402246      0.12031980137522223
1020000000               -0.8073531560711471      0.1992300561812716
1050000000               -0.7831041993962234      0.27597865073305716
1080000000               -0.7516327419135922      0.3498621354339999
1110000000               -0.7132683902450012      0.4202081191419524
1140000000               -0.6684027352553907      0.4863813426151504
1170000000               -0.6174852154694741      0.5477893410425434
1200000000               -0.5610184699902346      0.6038876453859651
1230000000               -0.49955323265841645     0.654184477919078
1260000000               -0.4336828229464093      0.6982449030484746
1290000000               -0.36403729210643665     0.7356944006485293
1320000000               -0.29127728535399794     0.7662218355198074
1350000000               -0.21608768276061882     0.78958180284533
1380000000               -0.1391710822558485      0.8055963362050895
1410000000               -0.06124118866881539     0.8141559710113291
1440000000               0.01698382761840307      0.8152201626420293
1470000000               0.09478793978454761      0.808817064797144
1500000000               0.17146378045230437      0.7950426795800803
1530000000               0.2463190052465965       0.7740593965446008
1560000000               0.3186824477570374       0.7460939433769886
1590000000               0.38791001243206336      0.7114347760165816
1620000000               0.4533902558821799       0.6704289406463161
1650000000               0.5145496105571873       0.6234784443392631
1680000000               0.5708572092692158       0.5710361750243025
1710000000               0.6218292736437434       0.5136014148134522
1740000000               0.6670330343997286       0.4517149937555777
1770000000               0.7060901566447761       0.38595413356783403
1800000000               0.7386796489008255       0.31692703286666907
1830000000               0.7645402404036894       0.24526724695408816
1860000000               0.7834722176505591       0.1716279158890824
1890000000               0.7953387178816386       0.09667589472375458
1920000000               0.8000664848044462       0.02108583848275743
1950000000               0.7976461001048215       -0.05446570837456313
1980000000               0.788131713282019        -0.12930617393859498
2010000000               0.7716403015760996       -0.20277273819757757
2040000000               0.7483504995063698       -0.2742180123672982
2070000000               0.7185010399462861       -0.3430156271880511
2100000000               0.682388837153129        -0.40856577788613707
2130000000               0.6403667014637655       -0.4703008218664117
2.16E9                   0.59284058178888         -0.527691068672951
2.19E9                   0.5402660623557024       -0.5802508938427693
2.22E9                   0.48314360330978534      -0.6275451565395582
2.25E9                   0.42201182392820924      -0.6691954791448674
2.28E9                   0.35743828421713764      -0.7048852149272133
2.31E9                   0.2900081480143323       -0.7343612093481251
2.34E9                   0.2203128662522552       -0.7574306416427389
2.37E9                   0.1489425221382076       -0.7739532379893941
2.4E9                    0.0764847051478041       -0.7838323734835319
2.43E9                   0.00352906982101473      -0.7870102055013343
2.46E9                   -0.06932715028121184     -0.7834696611232922
2.49E9                   -0.14147772136884526     -0.7732415093785163
2.52E9                   -0.21231182181271457     -0.7564120635622964
2.55E9                   -0.28122254315613937     -0.7331279611118843
2.58E9                   -0.34761659229655123     -0.7035970238835145
2.61E9                   -0.4109231423243424      -0.6680860432615181
2.64E9                   -0.4706010655589733      -0.6269168178200033
2.67E9                   -0.5261446150971469      -0.5804614567220504
2.7E9                    -0.5770879142267175      -0.5291374893498334
