% Model:              cali 3.02 0.91mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 21 2022, 21:15
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5158709042360442       -0.8460944601251557
330000000                0.4262923735142128       -0.8930587501820505
360000000                0.3325178547915648       -0.9304532216862603
390000000                0.23558101519762487      -0.9579143370771748
420000000                0.13654522193359284      -0.9751916778909809
450000000                0.03649097354256199      -0.9821500772574308
480000000                -0.06349677093545712     -0.9787703313917234
510000000                -0.16234120116657247     -0.9651484952130313
540000000                -0.25898604198818154     -0.9414937864719937
570000000                -0.35240756059173894     -0.9081251416186021
600000000                -0.4416260458816572      -0.865466484488843
630000000                -0.5257166202895228      -0.814040785641708
660000000                -0.6038192557527897      -0.7544630055758479
690000000                -0.6751478788114442      -0.68743202862133
720000000                -0.7389984639469687      -0.6137217063149247
750000000                -0.7947560302718225      -0.5341711387892917
780000000                -0.8419004731661301      -0.44967433052042244
810000000                -0.8800111798073532      -0.36116936226634533
840000000                -0.9087703951201771      -0.26962722434431313
870000000                -0.9279653223809456      -0.1760404572989448
900000000                -0.9374889599715432      -0.08141174513942673
930000000                -0.9373396927821926      0.013257397294987911
960000000                -0.9276196726978436      0.10697770619567055
990000000                -0.9085320377083992      0.198782890563887
1020000000               -0.8803770329493313      0.28773987320522326
1050000000               -0.8435471093918164      0.3729584405029169
1080000000               -0.7985210867861986      0.45360020195349304
1110000000               -0.7458574765799502      0.528886773219658
1140000000               -0.6861870680740821      0.5981071095667041
1170000000               -0.6202048865102829      0.6606239310476615
1200000000               -0.548661635440942       0.7158791952486675
1230000000               -0.47235473698454816     0.7633985886378015
1260000000               -0.3921190824428538      0.8027950226767709
1290000000               -0.30881760140111614     0.8337711358669934
1320000000               -0.2233317494797527      0.856120816616698
1350000000               -0.13655200238277435     0.8697297728014185
1380000000               -0.04936842685014753     0.8745751789220763
1410000000               0.03733862072521852      0.8707244262649022
1440000000               0.12270763335379052      0.8583329797500101
1470000000               0.2059048943727948       0.8376413046749454
1500000000               0.2861331443017159       0.8089707762048299
1530000000               0.36263979953968256      0.7727184571817998
1560000000               0.4347244031242481       0.7293506856906377
1590000000               0.5017448709012647       0.6793956092527921
1620000000               0.5631221476990756       0.6234351119789551
1650000000               0.618343207346145        0.56209683085904
1680000000               0.6669628158366717       0.4960469008227952
1710000000               0.7086048061943462       0.425983629896709
1740000000               0.7429635070670746       0.3526317448221731
1770000000               0.769805492993002        0.27673656128651214
1800000000               0.788971343695922        0.19905757794503273
1830000000               0.8003769095954003       0.1203613762036177
1860000000               0.8040136898282271       0.041414034206459685
1890000000               0.799948159406376        -0.037026607532306736
1920000000               0.7883200730624011       -0.11421852489043234
1950000000               0.7693398691511061       -0.18944272700027256
1980000000               0.7432853171326688       -0.2620099961513779
2010000000               0.7104975354851626       -0.3312670948742218
2040000000               0.671376481670707        -0.3966024142393107
2070000000               0.6263759950306085       -0.45745104918071977
2100000000               0.5759984602433731       -0.5132992897936999
2130000000               0.5207891519321202       -0.5636885181689658
2.16E9                   0.4613303178697086       -0.6082185010034333
2.19E9                   0.3982350571785073       -0.6465500698016635
2.22E9                   0.3321410496692666       -0.6784071830733178
2.25E9                   0.2637041925199107       -0.7035783681779083
2.28E9                   0.1935922005022473       -0.7219175442235579
2.31E9                   0.12247822577333967      -0.7333442316302242
2.34E9                   0.051034552995597164     -0.7378431584365157
2.37E9                   -0.02007357538316743     -0.7354632784198643
2.4E9                    -0.09019395010190312     -0.7263162212607628
2.43E9                   -0.1586931510150066      -0.7105742003901189
2.46E9                   -0.22496201975487848     -0.6884674093600749
2.49E9                   -0.2884208049850197      -0.6602809423538818
2.52E9                   -0.34852394091297506     -0.626351278408163
2.55E9                   -0.4047644249782689      -0.5870623718983603
2.58E9                   -0.4566777659907443      -0.542841393720744
2.61E9                   -0.5038454789873847      -0.4941541686371069
