% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 23 2022, 17:35
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.406437855474659        -0.7764633139864601
330000000                0.3223462458339187       -0.8121788184263589
360000000                0.23534227500537241      -0.8390251998068058
390000000                0.14632796560795286      -0.8567606334121749
420000000                0.05623140410194552      -0.8652381007408213
450000000                -0.03400515658079524     -0.8644074946742951
480000000                -0.12343673631152062     -0.8543164815385226
510000000                -0.21112670267364309     -0.835110166787024
540000000                -0.29615749032021316     -0.8070296051831728
570000000                -0.3776409273337802      -0.7704091971884302
600000000                -0.4547281054152934      -0.7256730182378848
630000000                -0.5266187178537575      -0.67333013488345
660000000                -0.5925697844171911      -0.6139689697990901
690000000                -0.6519036813571684      -0.5482507867413847
720000000                -0.7040153985517477      -0.4769023749017136
750000000                -0.748378951425212       -0.4007080204009458
780000000                -0.7845528831949555      -0.3205008598518375
810000000                -0.8121848019272513      -0.2371537179778577
840000000                -0.8310149077425835      -0.15156953605303677
870000000                -0.8408784765143559      -0.0646715024806444
900000000                -0.8417072784001006      0.022607000497057553
930000000                -0.8335299218364645      0.10933251852956716
960000000                -0.816471126054037       0.19458159976216705
990000000                -0.7907499376188973      0.27745070838596686
1020000000               -0.7566769186655069      0.3570658658679623
1050000000               -0.7146503462103587      0.4325919129355271
1080000000               -0.6651514731243924      0.5032412907555603
1110000000               -0.6087389117331321      0.5682822465213694
1140000000               -0.5460422104511008      0.6270463764957372
1170000000               -0.4777547025394607      0.6789354280478324
1200000000               -0.4046257131109637      0.7234272922093147
1230000000               -0.32745221723406204     0.7600811279108473
1260000000               -0.2470700463524283      0.7885415703897329
1290000000               -0.16434474442055508     0.8085419868732591
1320000000               -0.08016217730829088     0.81990675417058
1350000000               0.004580999725900448     0.822552544041456
1380000000               0.08898691192552591      0.8164886134616538
1410000000               0.17216596871576703      0.8018161078497935
1440000000               0.25324620044400986      0.77872639598916
1470000000               0.3313823305443846       0.7474984655066126
1500000000               0.40576449023899297      0.7084954173401111
1530000000               0.47562648808738256      0.6621601065798993
1560000000               0.5402535529718534       0.6090099852189675
1590000000               0.5989894758538651       0.5496312098149886
1620000000               0.6512430832302464       0.48467208359767844
1650000000               0.6964939831115544       0.41483590832010525
1680000000               0.7342975328273437       0.3408733259636332
1710000000               0.7642889867068678       0.26357423433857197
1740000000               0.7861867907177512       0.18375936363642031
1770000000               0.7997950003864607       0.10227160312274614
1800000000               0.8050048077611284       0.019967168126181097
1830000000               0.8017951725834465       -0.0622933022230727
1860000000               0.7902325624276672       -0.14365362711088017
1890000000               0.7704698160263583       -0.22327085881050737
1920000000               0.7427441533542272       -0.3003238663190421
1950000000               0.707374365063457        -0.3740216493277013
1980000000               0.6647572221407039       -0.4436113112438609
2010000000               0.6153631534746759       -0.5083856297382542
2040000000               0.5597312429330955       -0.5676901761980869
2070000000               0.4984635961520454       -0.6209299515374007
2100000000               0.43221911657143636      -0.6675755239279044
2130000000               0.3617067045107154       -0.707168670173965
2.16E9                   0.28767784630635074      -0.7393275258456395
2.19E9                   0.21091849120069847      -0.7637512188449148
2.22E9                   0.1322400376720477       -0.7802238627874155
2.25E9                   0.05246922386012418      -0.7886175849257052
2.28E9                   -0.02756314585083164     -0.7888939645953746
2.31E9                   -0.10703425740200655     -0.7811029972689
2.34E9                   -0.18514096175946        -0.7653788108372787
2.37E9                   -0.26110915312855437     -0.7419322428260999
2.4E9                    -0.33419905817056916     -0.7110419845126068
2.43E9                   -0.4037062808500369      -0.6730472785842284
2.46E9                   -0.4689609002906367      -0.6283446417711787
2.49E9                   -0.5293281706591169      -0.5773885887320009
2.52E9                   -0.5842131355794846      -0.5206937545600585
2.55E9                   -0.6330688369321722      -0.45883524003031007
2.58E9                   -0.6754059735165371      -0.3924454681400156
2.61E9                   -0.7108017960690785      -0.3222077220005879
2.64E9                   -0.7389070164872584      -0.2488475438051633
2.67E9                   -0.7594505108888028      -0.17312321059109653
2.7E9                    -0.7722421288313772      -0.09581608582358243
2.73E9                   -0.7771740370563873      -0.01772122295885072
2.76E9                   -0.774220941195702       0.060361665091376165
2.79E9                   -0.7634394027143498      0.13763686945348716
2.82E9                   -0.7449663694601278      0.2133210048934996
2.85E9                   -0.7190169792513457      0.2866509957715713
2.88E9                   -0.6858816681755381      0.35689171636900324
2.91E9                   -0.64592260693993        0.42334325430069486
2.94E9                   -0.5995694906170943      0.4853477524834804
2.97E9                   -0.5473147139022978      0.5422957780583253
3.0E9                    -0.4897079725147777      0.5936321641748576
3.03E9                   -0.42735033999982974     0.6388612719306652
3.06E9                   -0.36088787707273806     0.6775516237603716
3.09E9                   -0.291004837531128       0.7093398655453563
3.12E9                   -0.21841653995549468     0.7339340223647359
3.15E9                   -0.1438619779762755      0.7511160212850266
3.18E9                   -0.06809624332551537     0.7607434634985322
3.21E9                   0.008117164665198295     0.762750636569804
3.24E9                   0.0840140717188545       0.7571487647667096
3.27E9                   0.15883733538492262      0.7440255007279228
3.3E9                    0.23184446099414302      0.7235436646339829
3.33E9                   0.3023150635893226       0.6959392379601042
3.36E9                   0.3695581118148898       0.6615186185872082
3.39E9                   0.4329188852870724       0.6206551441884358
3.42E9                   0.4917855693184201       0.57378489329855
3.45E9                   0.5455954003933153       0.5214017805942176
3.48E9                   0.5938402651063405       0.4640519764865865
3.51E9                   0.6360716472331955       0.40232770229941056
3.54E9                   0.6719048167245628       0.3368604803255476
3.57E9                   0.7010221645925931       0.26831394984945117
3.6E9                    0.7231756112638337       0.19737639028211873
3.63E9                   0.7381880520131813       0.12475311388876352
3.66E9                   0.7459538463009974       0.05115889802621624
3.69E9                   0.7464384010658502       -0.022689381637943894
3.72E9                   0.7396769346325105       -0.09607977610771587
3.75E9                   0.7257725361610281       -0.16831183342821643
3.78E9                   0.7048936575887794       -0.238702633498919
3.81E9                   0.6772711931086288       -0.3065922448172098
3.84E9                   0.643195311568557        -0.37134861073293934
3.87E9                   0.6030121982047203       -0.4323719357465919
3.9E9                    0.5571208202830601       -0.48909870724302895
3.93E9                   0.5059697523745783       -0.5410055322505095
3.96E9                   0.45005399493928916      -0.5876129677602272
3.99E9                   0.38991162535322205      -0.628489464747557
4.02E9                   0.32612006753425843      -0.6632554413845083
4.05E9                   0.259291776230908        -0.6915873810310724
4.08E9                   0.19006920251270465      -0.7132217532199561
4.11E9                   0.11911901429178738      -0.7279585091785692
4.14E9                   0.04712565658106698      -0.7356639156365159
4.17E9                   -0.025215579157641166    -0.7362725509348045
4.2E9                    -0.09720576547084701     -0.7297883726505022
4.23E9                   -0.16814962108792494     -0.7162848507807281
4.26E9                   -0.2373626941832952      -0.6959042246092771
4.29E9                   -0.3041783302185994      -0.6688559738123461
4.32E9                   -0.36795435989616054     -0.6354145950910652
4.35E9                   -0.42807947805001173     -0.595916753914017
4.38E9                   -0.4839792964388989      -0.5507578511852019
4.41E9                   -0.5351220450716613      -0.5003880206772552
4.44E9                   -0.5810238767237661      -0.44530756358543794
4.47E9                   -0.6212537083137324      -0.38606183330768373
4.5E9                    -0.6554375190417185      -0.32323560271648066
4.53E9                   -0.6832620226833703      -0.2574469716934359
4.56E9                   -0.7044776409804565      -0.18934089832306789
4.59E9                   -0.718900725077646       -0.11958245821198664
4.62E9                   -0.7264150000781394      -0.04884994865163061
4.65E9                   -0.7269722398783748      0.022172045519305836
4.68E9                   -0.7205922093858863      0.09279952160465044
4.71E9                   -0.7073619310411502      0.16235578830254863
4.74E9                   -0.6874343352030058      0.23017801099699742
4.77E9                   -0.6610263375445684      0.295623556295031
4.8E9                    -0.6284163575191872      0.3580761283506435
4.83E9                   -0.5899412636349864      0.4169516760525275
4.86E9                   -0.545992718325256       0.47170401839170495
4.89E9                   -0.4970129062512172      0.521830098301424
4.92E9                   -0.4434896637523312      0.5668747481740662
4.95E9                   -0.38595107434042464     0.606434844197864
4.98E9                   -0.3249596427396284      0.6401627452086248
5.01E9                   -0.26110619596676765     0.6677689519929433
5.04E9                   -0.1950036754318891      0.6890239774874921
5.07E9                   -0.1272809734487783      0.7037594767882013
5.1E9                    -0.058576929678935664    0.7118687352342605
5.13E9                   0.010465456717342825     0.7133066385793309
5.16E9                   0.07920461027352169      0.7080892392928846
5.19E9                   0.14700581972923868      0.6962929853366177
5.22E9                   0.2132466095726999       0.6780536068922124
5.25E9                   0.2773220787401572       0.6535645926104268
5.28E9                   0.3386501695174204       0.6230751629606816
5.31E9                   0.3966767563946467       0.5868876804389144
5.34E9                   0.45088041005233637      0.5453545114964892
5.37E9                   0.5007767147642092       0.49887443602254805
5.4E9                    0.545922086865203        0.44788874753819813
5.43E9                   0.5859171235422107       0.3928771809977293
5.46E9                   0.6204095693762484       0.33435375273645496
5.49E9                   0.6490970030045272       0.2728625245326631
5.52E9                   0.6717293185433544       0.20897323954837044
5.55E9                   0.688111020883656        0.14327674121687983
5.58E9                   0.698103289522496        0.07638008354392593
5.61E9                   0.7016257082778836       0.008901270343778528
5.64E9                   0.6986575199194665       -0.0585363851197508
