% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 26 2022, 14:38
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.40025351341645693      -0.7940150856576924
330000000                0.3132418714089562       -0.8292031605879503
360000000                0.2233952650621653       -0.8551207678220429
390000000                0.1316616143139889       -0.8715366256518845
420000000                0.03901512936592173      -0.8783191093663263
450000000                -0.053556559336534804    -0.8754388013395924
480000000                -0.14506478260198374     -0.8629695113703643
510000000                -0.2345318036521615      -0.8410878822924822
540000000                -0.3210023753764637      -0.8100716654681618
570000000                -0.40355483614835874     -0.7702967383305968
600000000                -0.48131167088319887     -0.7222329340646719
630000000                -0.5534494533975184      -0.6664387565270857
660000000                -0.6192080809495789      -0.6035550598477388
690000000                -0.6778992127623058      -0.5342977799238039
720000000                -0.7289138292477579      -0.4594498129789811
750000000                -0.7717288357041192      -0.3798521443639476
780000000                -0.805912643575978       -0.2963943381033465
810000000                -0.8311296733334994      -0.21000450397039516
840000000                -0.8471437351103065      -0.1216388641194278
870000000                -0.8538202563577348      -0.03227104465158072
900000000                -0.8511273391292392      0.05711877965214967
930000000                -0.8391356437622453      0.1455547593748265
960000000                -0.8180171094644726      0.23207613542282857
990000000                -0.7880425362844843      0.31574777002516446
1020000000               -0.749578066193909       0.39567032317488643
1050000000               -0.7030806139419513      0.4709899590150875
1080000000               -0.6490923101724541      0.5409074743598244
1110000000               -0.588234030489343       0.6046867493071568
1140000000               -0.521198093947642       0.6616624297022755
1170000000               -0.4487402232329862      0.7112467614359448
1200000000               -0.37167086606100486     0.7529355079265097
1230000000               -0.2908459833401462      0.7863128938860351
1260000000               -0.20715741431234394     0.8110555307343017
1290000000               -0.12152293154575666     0.8269352917974591
1320000000               -0.034876100861471394    0.8338211177424029
1350000000               0.05184393904105527      0.8316797455350167
1380000000               0.1377026633722961       0.8205753663432676
1410000000               0.22178020300199588      0.8006682297847125
1440000000               0.30318113363064403      0.7722122232841889
1470000000               0.381043909291242        0.7355514660800996
1500000000               0.4545498432122946       0.6911159673831868
1530000000               0.522931545573979        0.6394164074218935
1560000000               0.5854807352706111       0.5810381083814682
1590000000               0.641555350960612        0.5166342696371816
1620000000               0.6905858954590205       0.4469185480412769
1650000000               0.7320809567030072       0.3726570694736282
1680000000               0.7656318581566623       0.29465996221463675
1710000000               0.7909164013752026       0.21377250604557238
1740000000               0.8077016734514267       0.13086599345804753
1770000000               0.8158459023412334       0.046828400516885395
1800000000               0.8152993532596384       -0.03744503475142862
1830000000               0.8061042695875789       -0.12106122932095052
1860000000               0.7883938719641659       -0.2031385725133873
1890000000               0.7623904392871378       -0.2828160518991782
1920000000               0.7284025051622571       -0.359262100780143
1950000000               0.686821212720016        -0.4316830868834883
1980000000               0.6381158789873815       -0.499331370886225
2010000000               0.5828288266876193       -0.5615128748300556
2040000000               0.5215695441251045       -0.6175941159924315
2070000000               0.4550082305680578       -0.6670086797980151
2100000000               0.38386876979378964      -0.7092631259923412
2130000000               0.308921142228779        -0.7439423387926283
2.16E9                   0.230973229575409        -0.7707143315454963
2.19E9                   0.15086188495493094      -0.7893344732848282
2.22E9                   0.06944305974073206      -0.7996489782697274
2.25E9                   -0.01241923217889962     -0.801597252890579
2.28E9                   -0.09386512864337693     -0.7952123502988332
2.31E9                   -0.17405174913590768     -0.7806185313803996
2.34E9                   -0.25216515049839094     -0.7580251903977304
2.37E9                   -0.3274291784385501      -0.7277175948033108
2.4E9                    -0.3991094458432038      -0.6900467630990769
2.43E9                   -0.4665128692403488      -0.645421957902117
2.46E9                   -0.5289859201393148      -0.5943081096490821
2.49E9                   -0.5859155734271326      -0.5372273375645872
2.52E9                   -0.6367349071928516      -0.47476115238758876
2.55E9                   -0.6809322686895213      -0.4075499589412349
2.58E9                   -0.7180613205917687      -0.3362885162097595
2.61E9                   -0.7477496744155766      -0.26171802337153954
2.64E9                   -0.769705093619829       -0.18461631407755358
2.67E9                   -0.7837192856390836      -0.1057874462650899
2.7E9                    -0.7896697496588129      -0.02605143483032787
2.73E9                   -0.7875201743053394      0.05376557370866797
2.76E9                   -0.7773197426986164      0.1328406290993516
2.79E9                   -0.7592015564518171      0.21036283938058511
2.82E9                   -0.7333802888648756      0.28554180475635127
2.85E9                   -0.7001491222852043      0.35761563793615553
2.88E9                   -0.6598760014037146      0.4258585593403398
2.91E9                   -0.6129992294446391      0.48958803525236266
2.94E9                   -0.560022438440798       0.5481714144464587
2.97E9                   -0.5015089727438833      0.6010320127932617
3.0E9                    -0.4380757338827659      0.6476545942237539
3.03E9                   -0.3703865434257983      0.6875901989755153
3.06E9                   -0.2991450880698254      0.7204602751174235
3.09E9                   -0.22508751735849775     0.745960076327072
3.12E9                   -0.148974768892227       0.763861297264104
3.15E9                   -0.07158469837967872     0.774013927010424
3.18E9                   0.006295907755325203     0.776347310273901
3.21E9                   0.08387936136910704      0.7708704145440186
3.24E9                   0.16038507074494301      0.7576713081609133
3.27E9                   0.23504743987294463      0.7369158586675515
3.3E9                    0.3071236043627977       0.7088456624051127
3.33E9                   0.37590094111317374      0.6737752156360577
3.36E9                   0.4407042866226986       0.6320883357014478
3.39E9                   0.5009027922371055       0.5842338399255483
3.42E9                   0.5559163334663506       0.5307204928718976
3.45E9                   0.6052213763812695       0.47211124198735244
3.48E9                   0.6483561900244507       0.40901678016480264
3.51E9                   0.6849252844631558       0.34208850246192624
3.54E9                   0.714602955595603        0.2720109616794768
3.57E9                   0.7371358354781248       0.19949396875826697
3.6E9                    0.7523443834939357       0.1252645205402397
3.63E9                   0.7601233065619202       0.050058759506803746
3.66E9                   0.7604409575303376       -0.025385829943770668
3.69E9                   0.7533378183464315       -0.10033780771698227
3.72E9                   0.7389242188130141       -0.17407860779951093
3.75E9                   0.7173774688127339       -0.2459087243517336
3.78E9                   0.6889385936284299       -0.31515322204646384
3.81E9                   0.65390886051282         -0.3811665967695988
3.84E9                   0.6126462664257272       -0.44333707524189414
3.87E9                   0.5655621123617006       -0.5010905047749753
3.9E9                    0.5131177120676739       -0.5538940309591175
3.93E9                   0.455821178785849        -0.601259768493955
3.96E9                   0.394224128122576        -0.6427486211671711
3.99E9                   0.32891806343512453      -0.677974303845639
4.02E9                   0.26053020075813793      -0.706607488415396
4.05E9                   0.1897185497895807       -0.7283798765738183
4.08E9                   0.1171661773705191       -0.7430879304997218
4.11E9                   0.043574705915736804     -0.750595984530868
4.14E9                   -0.03034279314705355     -0.7508385116304318
4.17E9                   -0.10386928544216563     -0.7438214063791404
4.2E9                    -0.17629139796607413     -0.7296222442689985
4.23E9                   -0.24690696793600975     -0.7083895610097091
4.26E9                   -0.31503235772739124     -0.6803412493646598
