% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 6 2022, 20:46
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6031138353524241       -0.7369489214987683
330000000                0.5365460614849614       -0.7858925364653032
360000000                0.466135544447085        -0.8289093004398671
390000000                0.39239261934309105      -0.8656961823640503
420000000                0.31585475147880154      -0.895993792607844
450000000                0.2370820069233581       -0.9195890259051916
480000000                0.1566524914666957       -0.9363171619653026
510000000                0.0751577477056447       -0.9460634725088206
540000000                -0.006801885891099247    -0.9487643638634653
570000000                -0.08862193824764085     -0.9444080724297873
600000000                -0.1696984707791753      -0.9330349248671391
630000000                -0.24943271868690645     -0.9147371717842655
660000000                -0.32723567959327593     -0.8896584032542005
690000000                -0.4025326191839558      -0.8579925552474666
720000000                -0.4747674630806163      -0.8199825172056697
750000000                -0.5434070425851092      -0.7759183533903575
780000000                -0.6079451629272481      -0.7261351528622995
810000000                -0.6679064633623623      -0.6710105252925166
840000000                -0.72285003908676        -0.6109617626769118
870000000                -0.7723727968487952      -0.5464426893363878
900000000                -0.8161125175695102      -0.4779402253713756
930000000                -0.8537506018346237      -0.4059706907920306
960000000                -0.8850144762390031      -0.3310758799237329
990000000                -0.9096796413901664      -0.25381893760834423
1020000000               -0.927571345265336       -0.17478007040891133
1050000000               -0.9385658687697362      -0.09455212724592893
1080000000               -0.9425914134534262      -0.013736085467144964
1110000000               -0.9396285848707123      0.0670635214254239
1140000000               -0.9297104683926438      0.14724319749372367
1170000000               -0.9129222977702884      0.22620506227883963
1200000000               -0.889400720221476       0.303361376497502
1230000000               -0.859332665195716       0.3781389791634994
1260000000               -0.8229538273248654      0.44998360104399854
1290000000               -0.7805467771712438      0.5183640205791907
1320000000               -0.732438716555498       0.5827760297563384
1350000000               -0.6789988979738719      0.6427461795158714
1380000000               -0.6206357303554211      0.6978352762060166
1410000000               -0.557793595564943       0.7476416031440606
1440000000               -0.49094940264001496     0.7918038434267594
1470000000               -0.4206089080209465      0.8300036834115192
1500000000               -0.34730283204720147     0.8619680786336987
1530000000               -0.2715828031969501      0.8874711670103423
1560000000               -0.19401716216911372     0.9063358173113774
1590000000               -0.11518665921072078     0.9184348036007756
1620000000               -0.035680077850436656    0.9236915996766935
1650000000               0.04391018118277206      0.9220807903276067
1680000000               0.12299252256946361      0.9136280993078065
1710000000               0.20098055252024258      0.8984100367269253
1740000000               0.27729741590260365      0.8765531714185845
1770000000               0.35138004314007426      0.8482330364318049
1800000000               0.42268327622555407      0.8136726784465312
1830000000               0.490683844844239        0.7731408642544499
1860000000               0.5548841649467955       0.7269499596856778
1890000000               0.6148159335246355       0.6754534985760334
1920000000               0.6700434953228843       0.6190434612156492
1950000000               0.7201669589808845       0.5581472835184095
1980000000               0.7648250420832636       0.49322461975355236
2010000000               0.803697626660203        0.42476388318501396
2040000000               0.8365080090636919       0.35327858990234806
2070000000               0.8630248301747202       0.27930353247403206
2100000000               0.8830636745577248       0.20339081019703045
2130000000               0.8964883292142389       0.1261057434725593
2.16E9                   0.9032116948954259       0.048022699147471155
2.19E9                   0.9031963442839874       -0.030279146630034642
2.22E9                   0.8964547217622283       -0.10822008255987299
2.25E9                   0.883048978262611        -0.18522414725450403
2.28E9                   0.8630904323199737       -0.260723396541858
2.31E9                   0.8367386475490023       -0.33416211594024636
2.34E9                   0.8042001230566751       -0.4050009291150306
2.37E9                   0.7657266121740443       -0.4727207437018181
2.4E9                    0.7216131131368982       -0.5368264830875147
2.43E9                   0.6721955936639183       -0.5968505844656075
2.46E9                   0.6178484977929636       -0.652356283003329
2.49E9                   0.5589820406771796       -0.7029407162131289
2.52E9                   0.4960392607263156       -0.7482378558647147
2.55E9                   0.4294927989544972       -0.787921231749005
2.58E9                   0.3598414066711662       -0.8217063879794948
2.61E9                   0.287606214711024        -0.8493530190870499
2.64E9                   0.21332681247171303      -0.8706667539723125
2.67E9                   0.1375571838742781       -0.8855005742074891
2.7E9                    0.06086154045891093      -0.8937558627254888
2.73E9                   -0.016189914211207326    -0.8953830819753122
2.76E9                   -0.0930252577834489      -0.8903820810794646
2.79E9                   -0.16907512972077043     -0.8788020318171562
2.82E9                   -0.24377698869089431     -0.8607409943656061
2.85E9                   -0.3165793157148862      -0.8363451156036965
2.88E9                   -0.3869457316533607      -0.8058074652410577
2.91E9                   -0.4543589977060375      -0.769366517793538
2.94E9                   -0.518324868083998       -0.7273042912902891
2.97E9                   -0.5783757647706035      -0.6799441565421088
3.0E9                    -0.6340742456240155      -0.6276483335423371
3.03E9                   -0.6850162384639158      -0.5708150943585898
3.06E9                   -0.7308340155977238      -0.5098756944683791
3.09E9                   -0.7711988855625286      -0.4452910566401931
3.12E9                   -0.8058235808462313      -0.3775482339472005
3.15E9                   -0.8344643232718231      -0.3071566800035881
3.18E9                   -0.8569225512053384      -0.23464435646152315
3.21E9                   -0.8730462958183319      -0.16055370887946568
3.24E9                   -0.8827311965796514      -0.0854375430576224
3.27E9                   -0.8859211491335366      -0.009854834818004775
3.3E9                    -0.8826085818774891      0.06563349381713215
3.33E9                   -0.8728343604689865      0.14046879857392866
3.36E9                   -0.8566873225069944      0.21409890422728486
3.39E9                   -0.8343034474774236      0.285982230410119
3.42E9                   -0.8058646698953962      0.355591820062682
3.45E9                   -0.7715973463578776      0.42241923919666563
3.48E9                   -0.7317703899753423      0.4859783177991241
3.51E9                   -0.6866930884071517      0.5458087028568083
3.54E9                   -0.6367126245791579      0.601479195892682
3.57E9                   -0.5822113218146937      0.6525908494539349
3.6E9                    -0.523603637790888       0.6987797991804252
3.63E9                   -0.46133293398220276     0.7397198109280891
3.66E9                   -0.39586804914077006     0.7751245255221673
3.69E9                   -0.3276997066562138      0.804749387068365
3.72E9                   -0.2573367863362129      0.828393244161905
3.75E9                   -0.18530249156603099     0.8458996165620996
3.78E9                   -0.11213044262452972     0.8571576232122089
3.81E9                   -0.03836072661266776     0.8621025706119112
3.84E9                   0.03546406664565378      0.8607162037420681
3.87E9                   0.10880279507947517      0.8530266244648312
3.9E9                    0.18111967564851064      0.8391078843291832
3.93E9                   0.2518881332379202       0.8190792596585368
3.96E9                   0.32059456559818644      0.7931042167618774
3.99E9                   0.38674200338601744      0.7613890746004354
4.02E9                   0.44985364357124685      0.7241813721617958
4.05E9                   0.5094762333677142       0.6817679486471796
4.08E9                   0.5651832803166184       0.6344727468602112
4.11E9                   0.6165780637235404       0.5826543535062924
4.14E9                   0.6632964235361222       0.5267032937361843
4.17E9                   0.7050093045371562       0.46703910096496487
4.2E9                    0.7414250369097417       0.4041071856258894
4.23E9                   0.7722913376181005       0.33837552821265887
