% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 26 2022, 17:08
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6092142120846611       -0.7421592776068032
330000000                0.5421176056434222       -0.7918395946243831
360000000                0.47109452289187354      -0.8355197917701576
390000000                0.3966667726208716       -0.8728918317006754
420000000                0.3193824740717164       -0.9036920466432407
450000000                0.23981185432591215      -0.9277037121031579
480000000                0.1585428919395689       -0.9447591356348438
510000000                0.07617683380622307      -0.9547412791241494
540000000                -0.00667638330789444     -0.9575849265875018
570000000                -0.08940277459889466     -0.9532774062655565
600000000                -0.17138897883959567     -0.941858873765235
630000000                -0.2520269253297885      -0.9234221627499855
660000000                -0.3307184620548945      -0.898112210289496
690000000                -0.40687990998897505     -0.8661250653905272
720000000                -0.47994650915101994     -0.8277064910697938
750000000                -0.5493767223921779      -0.7831501725104775
780000000                -0.6146563630702078      -0.7327955465598217
810000000                -0.6753025147857441      -0.6770252701574381
840000000                -0.7308672121182955      -0.6162623478366731
870000000                -0.7809408529131865      -0.5509669414363394
900000000                -0.8251553149606825      -0.48163288733209664
930000000                -0.8631867521638373      -0.4087839488020064
960000000                -0.8947580474758138      -0.3329698336862389
990000000                -0.9196409030251722      -0.2547620091028245
1020000000               -0.9376575505513967      -0.1747493468714635
1050000000               -0.9486820685357382      -0.0935336347555563
1080000000               -0.952641295684321       -0.011724989540709295
1110000000               -0.949515333747968       0.07006279088408023
1140000000               -0.9393376362291257      0.1512168991538953
1170000000               -0.9221946829638169      0.23113017622393747
1200000000               -0.8982252440437043      0.3092057178465571
1230000000               -0.8676192400961732      0.38486139307700623
1260000000               -0.830616209167991       0.4575342389722872
1290000000               -0.7875033938269019      0.5266846967772868
1320000000               -0.7386134651367878      0.5918006565154478
1350000000               -0.6843219031784388      0.6524012786225749
1380000000               -0.6250440562446401      0.708040563650963
1410000000               -0.5612319037379696      0.7583106428348465
1440000000               -0.493370549502225       0.8028447654892056
1470000000               -0.42197447475601485     0.8413199613384874
1500000000               -0.347583581158942       0.8734593590807762
1530000000               -0.27075905583789667     0.8990341454166642
1560000000               -0.19207909172290308     0.9178651515629608
1590000000               -0.11213449664757569     0.9298240577250851
1620000000               -0.031524225804731465    0.9348342087855648
1650000000               0.049149128202128446     0.9328710377847375
1680000000               0.12928385320120112      0.923962096679598
1710000000               0.20828360923004788      0.9081866969541637
