% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 26 2022, 17:05
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6092768221062816       -0.742154322224717
330000000                0.5421838330662112       -0.7918395847542423
360000000                0.47116384956730983      -0.835525237463477
390000000                0.3967386463689412       -0.8729031917090865
420000000                0.31945630795284413      -0.9037097283525372
450000000                0.23988702664360453      -0.9277280700154722
480000000                0.15861874722004732      -0.944790468792136
510000000                0.07625268501387872      -0.9547798278220754
540000000                -0.006601251679013842    -0.9576308688811823
570000000                -0.08932910268256632     -0.9533308544444753
600000000                -0.17131752653541865     -0.9419198709773924
630000000                -0.2519584668595323      -0.9234906799636875
660000000                -0.33065378002732654     -0.8981881436700281
690000000                -0.4068197887537264      -0.8662082342236728
720000000                -0.47989172772436        -0.8277966363293645
750000000                -0.5493280470120249      -0.7832469561145482
780000000                -0.6146145396712782      -0.7328985513012933
810000000                -0.6752682610844541      -0.6771340004879729
840000000                -0.7308412097027492      -0.6163762314519855
870000000                -0.7809237393533         -0.5510853316778084
900000000                -0.8251476760265781      -0.48175506643778
930000000                -0.8631891142893606      -0.40890913194175305
960000000                -0.8947708704985772      -0.33309717383657395
990000000                -0.9196645732935947      -0.2548906027776932
1020000000               -0.9376923745953616      -0.17487824043772252
1050000000               -0.948728267216475       -0.093661831663935
1080000000               -0.9526989990533006      -0.011851458031424428
1110000000               -0.949584576597835       0.06993910935821016
1140000000               -0.9394183544472781      0.15109708104634054
1170000000               -0.9222867107152397      0.23101530658405994
1200000000               -0.8983283118693264      0.30909688060451035
1230000000               -0.8677329739212469      0.3847596611068215
1260000000               -0.8307401303164563      0.4574406639134292
1290000000               -0.7876369199829738      0.5266002988770155
1320000000               -0.7387559123626728      0.5917264143809983
1350000000               -0.6844724888681685      0.6523381192088316
1380000000               -0.625201903180882       0.7079893523308212
1410000000               -0.5613960449914871      0.7582721739577037
1440000000               -0.4935399344272102      0.8028197531989796
1470000000               -0.4221479757970027      0.8413090310138416
1500000000               -0.34776000154735015     0.8734630393473206
1530000000               -0.27093713813717146     0.8990528608335442
1560000000               -0.1922575270679472      0.9178992161026897
1590000000               -0.11231193469534305     0.9298736690918915
1620000000               -0.031699285254061314    0.9348994436503205
1650000000               0.048977848595234796     0.932951847987765
1680000000               0.12911776314311485      0.9240583064582094
1710000000               0.20812411515401819      0.908298001233919
1740000000               0.28541035396613806      0.8858011292764755
1770000000               0.36040406173518313      0.8567477828408215
1800000000               0.43255117035375595      0.8213664644003992
1830000000               0.5013200248253219       0.7799322494589976
1860000000               0.5662052645198296       0.7327646130172495
1890000000               0.6267314950977441       0.6802249378132057
1920000000               0.6824567260228037       0.6227137243587433
1950000000               0.7329755502134123       0.5606675248521743
1980000000               0.7779220447302446       0.49455562455968965
2010000000               0.8169723734278119       0.42487649592191884
2040000000               0.8498470749546456       0.3521540517374493
2070000000               0.8763130218332326       0.27693372494331103
2100000000               0.8961850389298466       0.199778403064509
2130000000               0.9093271721337036       0.12126424549739906
2.16E9                   0.9156536001784993       0.04197641190157517
2.19E9                   0.9151291843475751       -0.03749527132442598
2.22E9                   0.9077696510790055       -0.11656068017338783
2.25E9                   0.893641401155302        -0.19463377160293271
2.28E9                   0.8728609363318534       -0.27113694253461634
2.31E9                   0.8455938926926199       -0.3455053318025372
2.34E9                   0.8120536758261292       -0.4171910142736425
2.37E9                   0.772499712633028        -0.485667024958848
2.4E9                    0.7272353652064467       -0.5504311576306441
2.43E9                   0.6766055739705927       -0.61100951520711
2.46E9                   0.6209942843583129       -0.6669598335181068
2.49E9                   0.5608216659715458       -0.7178746174567011
2.52E9                   0.4965410918310914       -0.7633841020756766
2.55E9                   0.4286358438015565       -0.8031590041777733
2.58E9                   0.35761554210812285      -0.8369130034024382
2.61E9                   0.2840123319341073       -0.8644048969714991
2.64E9                   0.20837687697559543      -0.8854403941065541
2.67E9                   0.13127420891572292      -0.8998735360990902
2.7E9                    0.05327947489334459      -0.9076077382903348
2.73E9                   -0.025026381903533058    -0.9085964538359154
2.76E9                   -0.10306097669128        -0.9028434594890025
2.79E9                   -0.1802448420500305      -0.890402763893928
2.82E9                   -0.25600576045195655     -0.871378139815342
2.85E9                   -0.3297830392037795      -0.8459222835261807
2.88E9                   -0.40103169607658784     -0.8142356069880891
2.91E9                   -0.46922652434488993     -0.7765646711000388
2.94E9                   -0.5338660060584852      -0.7332002711873542
2.97E9                   -0.5944760433466155      -0.6844751887813616
3.0E9                    -0.650613478849912       -0.6307616264771715
3.03E9                   -0.7018693776839932      -0.5724683454322755
3.06E9                   -0.7478720452832418      -0.5100375275723625
3.09E9                   -0.7882897574883908      -0.44394138695421503
3.12E9                   -0.8228331816066237      -0.3746785568277625
3.15E9                   -0.8512574696008074      -0.30277028102808806
3.18E9                   -0.8733640075173416      -0.22875643960559955
3.21E9                   -0.8890018078719202      -0.15319144037758986
3.24E9                   -0.8980685349176725      -0.07664000871092479
3.27E9                   -0.9005111556364499      3.270912088836484E-4
3.3E9                    -0.8963262123757068      0.07713737005808036
3.33E9                   -0.8855597160742633      0.15322092835899492
3.36E9                   -0.8683066619606947      0.22801473915699244
3.39E9                   -0.8447101725182611      0.3009668652032273
3.42E9                   -0.814960275335459       0.37154057801889745
3.45E9                   -0.7792923262873117      0.4392183467871408
3.48E9                   -0.7379850912847856      0.5035056660716263
3.51E9                   -0.6913585027004704      0.5639346923207789
3.54E9                   -0.6397711094606509      0.6200676605945591
