% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 23 2022, 17:51
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5981968378598314       -0.7287669389323563
330000000                0.5325041536036246       -0.7772882037429606
360000000                0.46298971285580265      -0.8199689008990655
390000000                0.39015937284496993      -0.8565048791261666
420000000                0.3145456603169041       -0.8866364332664181
450000000                0.23670321117222903      -0.9101504871509856
480000000                0.15720424125604904      -0.9268823745129038
510000000                0.07663400584726753      -0.9367172207235983
540000000                -0.004413761741480293    -0.9395909245830358
570000000                -0.08534142659730987     -0.9354907394354655
600000000                -0.16555202698266847     -0.9244554531887191
630000000                -0.24445382454757061     -0.9065751681323788
660000000                -0.3214648026673473      -0.8819906834934796
690000000                -0.3960170841843882      -0.8508924858699377
720000000                -0.46756123723475773     -0.8135193555338422
750000000                -0.5355704390562626      -0.770156598837412
780000000                -0.5995444659555902      -0.7211339203540279
810000000                -0.6590134797225728      -0.6668229506878012
840000000                -0.713541581245827       -0.6076344487234988
870000000                -0.7627301030112165      -0.5440152004108182
900000000                -0.8062206152152456      -0.4764446376356121
930000000                -0.8436976212665664      -0.40543120394583854
960000000                -0.8748909211447788      -0.3315084959742679
990000000                -0.899577623926755       -0.25523121108084784
1020000000               -0.9175837934996274      -0.1771709334166177
1050000000               -0.9287857143916988      -0.09791179239492526
1080000000               -0.9331107679976096      -0.018046028412357255
1110000000               -0.930537912743382       0.06183049897605613
1140000000               -0.9210977649494725      0.14112282388364822
1170000000               -0.9048722806867657      0.21924137209457714
1200000000               -0.8819940422149526      0.29560640824669715
1230000000               -0.8526451559003236      0.3696523969913664
1260000000               -0.8170557717934351      0.44083224359291234
1290000000               -0.7755022381543385      0.5086213807990293
1320000000               -0.7283049071813702      0.5725216703155891
1350000000               -0.6758256108832656      0.6320650891157372
1380000000               -0.6184648288798122      0.6868171724141913
1410000000               -0.55665857182188        0.7363801880918159
1440000000               -0.49087500677044904     0.7803960190246839
1470000000               -0.4216108520754068      0.8185487331331764
1500000000               -0.34938757141436433     0.8505668231001121
1530000000               -0.27474739748075433     0.876225100952259
1560000000               -0.19824921701380732     0.8953462354197108
1590000000               -0.1204643495932416      0.9078019229500129
1620000000               -0.041972252705403085    0.9135136863281391
1650000000               0.036643813804797        0.9124532976236632
1680000000               0.1148011313724572       0.9046428252089168
1710000000               0.1919218419587411       0.8901543073330139
1740000000               0.26743721119053243      0.869109057522725
1770000000               0.34079180454073993      0.8416766096670228
1800000000               0.41144754665276473      0.8080733131748241
1830000000               0.47888763515805977      0.7685605909509593
1860000000               0.5426202817349507       0.7234428752073669
1890000000               0.6021822548586301       0.673065238057361
1920000000               0.6571421999524351       0.6178107360709921
1950000000               0.7071037151476525       0.5580974892421231
1980000000               0.7517081620440994       0.49437551696650406
2010000000               0.7906371935979775       0.4271233544486444
2040000000               0.8236149828600265       0.35684447469293135
2070000000               0.8504101389808568       0.28406354164289666
2100000000               0.870837298862681        0.209322521050192
2130000000               0.8847583851995581       0.13317667587308799
2.16E9                   0.8920835237168799       0.05619047251138241
2.19E9                   0.8927716136866473       -0.021066575813288527
2.22E9                   0.8868305463089154       -0.0980241032187726
2.25E9                   0.8743170644668997       -0.17411509689492666
2.28E9                   0.8553362554859192       -0.24878008524509407
2.31E9                   0.8300406683929229       -0.32147127167183326
2.34E9                   0.7986290539263919       -0.3916565661221071
2.37E9                   0.7613447440339439       -0.4588234586150015
2.4E9                    0.7184737135187178       -0.5224826878114373
2.43E9                   0.6703423817107557       -0.5821716881466679
2.46E9                   0.6173151967615613       -0.6374578350979277
2.49E9                   0.5597920046516807       -0.6879415183672012
2.52E9                   0.4982051730358206       -0.7332590453332879
2.55E9                   0.43301644375142667      -0.7730853368442071
2.58E9                   0.36471351855231515      -0.807136357624993
2.61E9                   0.2938064125032492       -0.8351712316703495
2.64E9                   0.22082362231229277      -0.8569940134521943
2.67E9                   0.14630815459816002      -0.8724551029663247
2.7E9                    0.07081345253875392      -0.881452300948787
2.73E9                   -0.005100746660341393    -0.8839315032031272
2.76E9                   -0.08087259340251798     -0.8798870331203847
2.79E9                   -0.15594231718825108     -0.8693616118449539
2.82E9                   -0.22975639804756265     -0.852445966618242
2.85E9                   -0.30177168766396384     -0.8292780797690459
2.88E9                   -0.37145944944988596     -0.800042083230843
2.91E9                   -0.4383092869765207      -0.7649668061944687
2.94E9                   -0.5018329306091622      -0.7243239862912437
2.97E9                   -0.5615678528462025      -0.678426157621867
3.0E9                    -0.6170806843274965      -0.6276242315593832
3.03E9                   -0.6679704036007456      -0.5723047890574646
3.06E9                   -0.7138712757609159      -0.5128871055691919
3.09E9                   -0.7544555170056456      -0.44981993197651704
3.12E9                   -0.7894356642817736      -0.383578057225672
3.15E9                   -0.8185666319650583      -0.3146586798675417
3.18E9                   -0.8416474398762933      -0.24357761761153723
3.21E9                   -0.8585225999365451      -0.17086538503513896
3.24E9                   -0.8690831515247694      -0.09706317078602333
3.27E9                   -0.8732673386555515      -0.022718746036977166
3.3E9                    -0.871060924954651       0.051617663402378056
3.33E9                   -0.8624971453924593      0.12539750904163324
3.36E9                   -0.8476562965892143      0.19807802343190734
3.39E9                   -0.8266649703313306      0.2691262638210747
3.42E9                   -0.7996949377069971      0.33802306440086105
3.45E9                   -0.7669616940026205      0.4042668665902005
3.48E9                   -0.7287226772027747      0.4673773977487323
3.51E9                   -0.6852751757401137      0.5268991697524884
3.54E9                   -0.6369539437236487      0.5824047706158789
3.57E9                   -0.5841285447423805      0.6334979238247656
3.6E9                    -0.5272004476933863      0.6798162926160822
3.63E9                   -0.4665999004053572      0.7210340089496233
3.66E9                   -0.4027826086413262      0.7568639099623845
3.69E9                   -0.3362262491523598      0.7870594680242055
3.72E9                   -0.2674268464101374      0.8114164035719986
3.75E9                   -0.19689504282998327     0.829773973178607
3.78E9                   -0.1251522922845137      0.842015928375873
3.81E9                   -0.05272700641550614     0.8480711437786486
3.84E9                   0.019849317851377713     0.8479139160931446
3.87E9                   0.09204596250203903      0.8415639381626869
3.9E9                    0.16333681957688065      0.8290859541436064
3.93E9                   0.23320416612983355      0.8105891027982349
3.96E9                   0.30114236173838266      0.7862259559464335
3.99E9                   0.36666144739939455      0.7561912588190802
4.02E9                   0.42929062412045327      0.7207203791489314
4.05E9                   0.48858158830524623      0.6800874728900783
4.08E9                   0.544111699716045        0.6346033768558155
4.11E9                   0.5954869577122173       0.5846132417042272
4.14E9                   0.6423447620996324       0.5304939224627596
4.17E9                   0.6843564372034501       0.4726511469767942
4.2E9                    0.7212295005720297       0.4115164853226019
4.23E9                   0.7527096610451456       0.34754414481160634
4.26E9                   0.7785825341989914       0.281207615794842
4.29E9                   0.7986750659150265       0.2129961934729559
4.32E9                   0.8128566570341417       0.14341140045037898
4.35E9                   0.821039983660755        0.07296333437857576
4.38E9                   0.823181508924354        0.002166964936682843
4.41E9                   0.8192816832228342       -0.0684615954072053
4.44E9                   0.8093848313400692       -0.13840882184196238
4.47E9                   0.7935787265792187       -0.2071674833559125
4.5E9                    0.7719938541126816       -0.2742402984936933
4.53E9                   0.7448023681159374       -0.3391435145197201
4.56E9                   0.7122167497297582       -0.4014103839724193
4.59E9                   0.6744881754917288       -0.4605945130914926
4.62E9                   0.6319046083402683       -0.5162730576583906
4.65E9                   0.5847886255775997       -0.5680497432143101
4.68E9                   0.5334950001027418       -0.6155576883071987
4.71E9                   0.47840805268960196      -0.6584620113019453
4.74E9                   0.4199387940272143       -0.6964622030675042
4.77E9                   0.3585218760822718       -0.7292942491546244
4.8E9                    0.29461237305827964      -0.7567324861717918
4.83E9                   0.22868241352998275      -0.7785911777606539
4.86E9                   0.16121768712841736      -0.7947257965430048
4.89E9                   0.09271385124711672      -0.8050339999701805
4.92E9                   0.023672865403413648     -0.8094562903220551
4.95E9                   -0.045400717240930005    -0.8079763521900578
4.98E9                   -0.11400347082809077     -0.8006210644705418
5.01E9                   -0.18163679952680312     -0.7874601877453471
5.04E9                   -0.24781059229842253     -0.7686057316914321
5.07E9                   -0.31204680141587887     -0.7442110104378254
5.1E9                    -0.3738829187612572      -0.7144693962663972
5.13E9                   -0.4328753261246721      -0.6796127835440458
5.16E9                   -0.4886024976231661      -0.6399097753451237
5.19E9                   -0.540668033175538       -0.5956636053506208
5.22E9                   -0.5887035017466803      -0.5472098081300789
5.25E9                   -0.6323710722706447      -0.4949136525608506
5.28E9                   -0.6713659096754276      -0.4391673564385137
5.31E9                   -0.7054183146855975      -0.38038710444820456
5.34E9                   -0.7342955891956584      -0.31900989558226006
5.37E9                   -0.757803613609442       -0.255490248563752
5.4E9                    -0.7757881274396836      -0.19029679418851694
5.43E9                   -0.7881357083968331      -0.12390878221811691
5.46E9                   -0.7947744475630485      -0.056812528610225246
5.49E9                   -0.7956743193126231      0.010502172747020488
5.52E9                   -0.7908472449542848      0.07754565023060232
5.55E9                   -0.7803468494469374      0.14383194255777618
5.58E9                   -0.764267911452845       0.20888234980823528
5.61E9                   -0.7427455087022254      0.2722289208601502
5.64E9                   -0.7159538632406058      0.3334178495385811
5.67E9                   -0.6841048946339383      0.39201275086124765
5.7E9                    -0.6474464934553207      0.44759778889484336
5.73E9                   -0.6062605320832494      0.4997806291950956
5.76E9                   -0.5608606339920535      0.5481951921877931
5.79E9                   -0.5115897253719348      0.5925041884929864
5.82E9                   -0.45881739331629234     0.6324014221630682
5.85E9                   -0.40293707333969986     0.6676138514905725
5.88E9                   -0.3443630867803813      0.6979033987708627
5.91E9                   -0.2835275475274032      0.7230685002176556
5.94E9                   -0.22087715786703122     0.7429453866671705
5.97E9                   -0.15686991509774675     0.7574090857725922
6.0E9                    -0.09197175276147523     0.7663741377686673
