% Model:              cali 1.68 0.57mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 18 2022, 16:52
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.4033211168780193       -0.6238765539124241
330000000                0.33957229817046547      -0.6612643862965959
360000000                0.2724295246245772       -0.6921635524093052
390000000                0.2025513922300558       -0.7162686257019583
420000000                0.13062398345981893      -0.7333408438632381
450000000                0.05735414619916899      -0.7432106411899162
480000000                -0.016537479106357368    -0.7457795076814383
510000000                -0.0903236174031271      -0.741021145486967
540000000                -0.16327763095943038     -0.7289818998814575
570000000                -0.23468083035016846     -0.7097804492740792
600000000                -0.3038297468297726      -0.6836067469367593
630000000                -0.3700432869664468      -0.6507202157585606
660000000                -0.4326696891102111      -0.6114472065021622
690000000                -0.491093202118589       -0.5661777395592315
720000000                -0.5447404089866622      -0.5153615595324879
750000000                -0.5930861209180184      -0.45950354152201794
780000000                -0.635658772882981       -0.3991584963054544
810000000                -0.6720452577417076      -0.3349254293681522
840000000                -0.7018951436759844      -0.26744131405671284
870000000                -0.724924227031098       -0.1973744420342067
900000000                -0.7409173778758186      -0.12541741414188587
930000000                -0.749730635334811       -0.052279832587609
960000000                -0.7512924994737257      0.021319242684183188
990000000                -0.7456043470394006      0.09465899233153517
1020000000               -0.7327398852146673      0.1670245581410542
1050000000               -0.7128435920228968      0.23771456725384496
1080000000               -0.6861282212970483      0.3060481748901081
1110000000               -0.6528716487274455      0.37137140530024837
1140000000               -0.6134134381727772      0.4330628249093003
1170000000               -0.5681513338253962      0.4905388616489
1200000000               -0.5175375220164334      0.5432590944135076
1230000000               -0.46207430351651546     0.5907315322850164
1260000000               -0.4023089551604957      0.6325175916963988
1290000000               -0.33882784688107714     0.6682364264085344
1320000000               -0.27225005254216017     0.6975684187919321
1350000000               -0.20322069344885724     0.7202578092570984
1380000000               -0.13240417566031246     0.7361145233603829
1410000000               -0.0604774110651114      0.7450152661352253
1440000000               0.011876926039594338     0.7469039336226919
1470000000               0.08397706830652735      0.741791369681417
1500000000               0.1551487104562071       0.7297544792242802
1530000000               0.2247313992325582       0.7109346983236017
1560000000               0.29208468667045223      0.6855358204643421
1590000000               0.356593949703586        0.6538211957192449
1620000000               0.4176757643435302       0.6161103640616709
1650000000               0.47478274692242073      0.5727752457459069
1680000000               0.5274078537598846       0.5242360498138997
1710000000               0.5750882318582651       0.4709570238656535
1740000000               0.6174087564199908       0.41344205055749533
1770000000               0.6540053190844688       0.3522299778732673
1800000000               0.6845677843720908       0.2878895529429246
1830000000               0.7088424223863886       0.2210139349315301
1860000000               0.7266336315276501       0.1522149156679484
1890000000               0.7378048757034336       0.08211708001529985
1920000000               0.7422789094547557       0.01135214085082818
1950000000               0.740037478328603        -0.05944640940318946
1980000000               0.731120709147691        -0.12964833151495098
2010000000               0.7156263339620758       -0.1986314815108008
2040000000               0.6937087610384819       -0.26578663216719833
2070000000               0.6655778860386015       -0.3305223951442673
2100000000               0.63149748149613         -0.3922702601570154
2130000000               0.5917830214056119       -0.45048966450932604
2.16E9                   0.546798860669563        -0.5046729423064009
2.19E9                   0.4969547618524958       -0.5543499806032944
2.22E9                   0.4427018287411764       -0.5990924152243723
2.25E9                   0.3845279688447093       -0.6385172244766131
2.28E9                   0.3229530652562927       -0.6722896314509735
2.31E9                   0.2585240735944737       -0.7001253152432089
2.34E9                   0.19181023752224055      -0.7217920463766392
2.37E9                   0.12339851564363312      -0.7371109541049221
2.4E9                    0.053889160239704026     -0.7459576416699161
2.43E9                   -0.016108739549876107    -0.7482632658392798
2.46E9                   -0.08598196660121414     -0.7440155355150161
2.49E9                   -0.1551182707244294      -0.7332594491041138
2.52E9                   -0.22291184591013913     -0.7160975451810302
2.55E9                   -0.28876906744786607     -0.6926894851111708
2.58E9                   -0.3521143086621276      -0.6632508738090278
2.61E9                   -0.41239565666325        -0.6280513066902883
2.64E9                   -0.4690903753120889      -0.5874116832460132
2.67E9                   -0.5217099951076641      -0.5417008518945664
2.7E9                    -0.5698049306484089      -0.49133166147720575
2.73E9                   -0.6129685378634682      -0.4367565064965142
2.76E9                   -0.6508405354337832      -0.37846247312121967
2.79E9                   -0.6831097391690073      -0.3169662175766476
2.82E9                   -0.7095161001644881      -0.25280872632446955
2.85E9                   -0.7298520927028691      -0.18655010339007733
2.88E9                   -0.7439635498965352      -0.1187644950783624
2.91E9                   -0.7517500723824857      -0.05003520051302284
2.94E9                   -0.7531651226041579      0.019050052468985983
2.97E9                   -0.7482158659139309      0.08790373364923343
3.0E9                    -0.7369627527153613      0.15594311076978024
3.03E9                   -0.7195187862207499      0.22259485664755713
3.06E9                   -0.6960484126765433      0.2872996384428516
3.09E9                   -0.6667660039110563      0.34951662379686377
3.12E9                   -0.6319339489881467      0.40872783736709456
3.15E9                   -0.5918603985511933      0.4644423343879215
3.18E9                   -0.5468966945567056      0.5162001966627991
3.21E9                   -0.49743447972368265     0.5635763703764701
3.24E9                   -0.44390244336304835     0.6061843428021927
3.27E9                   -0.3867626490762616      0.6436796090201893
3.3E9                    -0.3265064121635696      0.6757628352736869
3.33E9                   -0.2636497395091875      0.7021826024297715
3.36E9                   -0.19872839351992833     0.7227376170434601
3.39E9                   -0.1322926802892619      0.7372783022678645
3.42E9                   -0.06490208518535533     0.7457077159394696
3.45E9                   0.002880112233303578     0.7479817805494057
3.48E9                   0.07049211462541614      0.7441088458992806
3.51E9                   0.13737865773735863      0.7341486386736351
3.54E9                   0.2029957412472081       0.7182106819684583
3.57E9                   0.2668149772083842       0.6964522880044575
3.6E9                    0.328327531984081        0.6690762338081145
3.63E9                   0.38704767500626575      0.6363282196032084
3.66E9                   0.4425159757169606       0.5984941848397656
3.69E9                   0.49430220200818237      0.5558975243791483
3.72E9                   0.5420079687708071       0.508896217051688
3.75E9                   0.5852691686820108       0.4578798586137426
3.78E9                   0.6237581974652475       0.4032665838968803
3.81E9                   0.6571859695739498       0.3454998664423872
3.84E9                   0.685303711530925        0.28504519245494253
3.87E9                   0.7079045182241224       0.22238661434929421
3.9E9                    0.7248246595310299       0.15802319421774558
3.93E9                   0.7359446271072841       0.09246534865133262
3.96E9                   0.7411899113131999       0.02623110519090925
3.99E9                   0.7405314952116093       -0.040157720082845884
4.02E9                   0.7339860473133542       -0.10617941201355463
4.05E9                   0.7216157900961339       -0.17131629423164904
4.08E9                   0.7035280204081659       -0.2350586861474162
4.11E9                   0.6798742629682973       -0.29690883831921017
4.14E9                   0.6508490491808776       -0.35638479668342155
4.17E9                   0.6166883279442154       -0.4130241434507984
4.2E9                    0.5776675291890488       -0.4663875666158537
4.23E9                   0.5340993110197001       -0.5160622195270306
4.26E9                   0.48633102548346213      -0.5616648438191961
4.29E9                   0.4347419364523841       -0.6028446396028238
4.32E9                   0.37974021794229085      -0.6392858735763585
4.35E9                   0.3217597549605419       -0.6707102180754266
4.38E9                   0.2612567644916025       -0.6968788124047287
4.41E9                   0.19870625288201396      -0.7175940342288074
4.44E9                   0.13459832778213965      -0.732700965440436
4.47E9                   0.06943438727263355      -0.7420885354041425
4.5E9                    0.0037232138242776717    -0.7456903257614528
4.53E9                   -0.06202299500329094     -0.7434850245401028
4.56E9                   -0.12729262476461153     -0.7354965220517435
4.59E9                   -0.19157863604308237     -0.7217936457238534
4.62E9                   -0.2543825145933218      -0.7024895350490349
4.65E9                   -0.3152181440507768      -0.6777406617023941
4.68E9                   -0.37361556499663967     -0.647745504714998
4.71E9                   -0.4291245852977067      -0.6127428967100356
4.74E9                   -0.4813182101693051      -0.5730100639796093
4.77E9                   -0.529795867553652       -0.5288603881631494
4.8E9                    -0.5741864133479825      -0.4806409183151715
4.83E9                   -0.6141509090167472      -0.42872965829021964
4.86E9                   -0.6493851681494685      -0.3735326469628009
4.89E9                   -0.6796220670605821      -0.3154808409637518
4.92E9                   -0.7046336083558166      -0.25502680461619476
4.95E9                   -0.7242327180032673      -0.19264121168431678
4.98E9                   -0.7382747488476067      -0.128809168746436
5.01E9                   -0.7466586592262126      -0.06402637918603536
5.04E9                   -0.7493278358154216      0.0012048224351836221
5.07E9                   -0.7462705350463845      0.06637952566662132
5.1E9                    -0.7375199265197916      0.13099434192884296
5.13E9                   -0.723153732840857       0.1945514944700904
5.16E9                   -0.7032934708530851      0.25656285171706816
5.19E9                   -0.6781033071552389      0.31655385991476853
5.22E9                   -0.6477885449712357      0.37406733666932795
5.25E9                   -0.6125937606995973      0.4286670911566103
5.28E9                   -0.5728006090458971      0.47994133813900963
5.31E9                   -0.5287253180699162      0.5275058722468973
5.34E9                   -0.4807159007022002      0.571006968710734
5.37E9                   -0.42914911657423743     0.6101239789106807
5.4E9                    -0.37442722515167515     0.6445715949921846
5.43E9                   -0.3169745759575128      0.6741017667614826
5.46E9                   -0.2572340828815169      0.6985052644589589
5.49E9                   -0.19566362687131972     0.7176128909690797
5.52E9                   -0.13273242544271416     0.7312963548334472
5.55E9                   -0.06891739966503484     0.739468819969288
5.58E9                   -0.004699561408801145    0.7420851487611633
5.61E9                   0.05943956264998001      0.73914185260744
5.64E9                   0.12302145672113696      0.7306767594089365
5.67E9                   0.18557407702777234      0.7167684031537902
5.7E9                    0.24663523046223246      0.6975351389618735
5.73E9                   0.30575584903071373      0.6731339888753457
5.76E9                   0.36250313661259403      0.6437592284385909
5.79E9                   0.4164635664552414       0.6096407291716047
5.82E9                   0.4672457120853286       0.5710420750055166
5.85E9                   0.5144828988567657       0.528258470715415
5.88E9                   0.5578356661278779       0.48161445831900523
5.91E9                   0.5969940304915301       0.4314614550224207
5.94E9                   0.63167953909669         0.37817512517947394
5.97E9                   0.6616471002304085       0.32215259945640196
6.0E9                    0.686686577085078        0.2638095568835323
