% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 6 2022, 21:17
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5599983077797406       -0.7532377009055282
330000000                0.4888032703599441       -0.7998138836686259
360000000                0.4138810721591064       -0.8398053102555297
390000000                0.33581296511520214      -0.872907484349634
420000000                0.2552108437525833       -0.8988670618118939
450000000                0.17271137810579554      -0.9174851796877969
480000000                0.08897020413865829      -0.9286200425700273
510000000                0.004656114489829478     -0.9321888531888866
540000000                -0.07955477241667097     -0.9281691332558873
570000000                -0.1629848618054524      -0.9165994575114125
600000000                -0.24496092960087026     -0.8975796127684759
630000000                -0.32481993755914174     -0.8712701888087215
660000000                -0.40191477724321145     -0.8378916070237494
690000000                -0.47561989971266777     -0.7977225941114492
720000000                -0.5453367833697037      -0.7510981114238305
750000000                -0.6104991910104652      -0.698406754612678
780000000                -0.6705781659074233      -0.6400876433849002
810000000                -0.7250867173483961      -0.5766268262872118
840000000                -0.7735841473204585      -0.5085532312631705
870000000                -0.8156799724688142      -0.43643419812700834
900000000                -0.8510373989798348      -0.36087063424103794
930000000                -0.8793763118475507      -0.2824918401159111
960000000                -0.9004757452030653      -0.20195005594886029
990000000                -0.9141758060967353      -0.11991478381063148
1020000000               -0.920379030156153       -0.03706694362715412
1050000000               -0.9190511543053292      0.04590707654394266
1080000000               -0.9102212987511618      0.12832141426311874
1110000000               -0.8939815575665886      0.20949670803632145
1140000000               -0.8704860043543313      0.2887659922258447
1170000000               -0.839949126624217       0.36548045095336024
1200000000               -0.8026437092185532      0.4390149727776968
1230000000               -0.758898193626985       0.5087734507232831
1260000000               -0.7090935458480208      0.5741937764929915
1290000000               -0.6536596707624578      0.6347524820553405
1320000000               -0.593071415558391       0.6899689869989024
1350000000               -0.5278442085044139      0.7394094156886019
1380000000               -0.45852938242709396     0.7826899540911043
1410000000               -0.3857092343317611      0.8194797223862219
1440000000               -0.3099918739776369      0.8495031455664723
1470000000               -0.2320059146454078      0.8725418104941878
1500000000               -0.15239505930948224     0.8884358036911357
1530000000               -0.07181263414519244     0.8970845300636825
1560000000               0.009083880013828071     0.8984470179829481
1590000000               0.08963826998512854      0.8925417211435653
1620000000               0.1692009206077728       0.8794458320864138
1650000000               0.24713401032782586      0.859294126222612
1680000000               0.322816532780424        0.832277358611019
1710000000               0.39564910818873966      0.798640238671225
1740000000               0.46505855245511685      0.7586790102757517
1770000000               0.53050217498593         0.7127386666830545
1800000000               0.5914717804040477       0.6612098309385273
1830000000               0.6474973522547046       0.6045253336429456
1860000000               0.6981504008321221       0.5431565202161587
1890000000               0.7430469600506847       0.47760932032983555
1920000000               0.7818502216488427       0.4084201120042919
1950000000               0.8142727980513027       0.33615141249366487
1980000000               0.8400786080412183       0.26138742754392624
2010000000               0.8590843823479152       0.1847294894180002
2040000000               0.8711607888490538       0.10679141292081012
2070000000               0.8762331798739436       0.02819479561999795
2100000000               0.8742819657020355       -0.05043571432878438
2130000000               0.8653426189133363       -0.12847716500739137
2.16E9                   0.8495053112331523       -0.20531305083424828
2.19E9                   0.8269141756730239       -0.2803380609555745
2.22E9                   0.7977661688442812       -0.3529628235863865
2.25E9                   0.7623094815628623       -0.42261863098307384
2.28E9                   0.7208414196089535       -0.48876209009900873
2.31E9                   0.6737056796275734       -0.5508795673086151
