% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 7 2022, 09:12
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5604605348108607       -0.7555188031090678
330000000                0.48887681516190384      -0.8021357091414345
360000000                0.4135831359516775       -0.8421061330651217
390000000                0.3351662343843252       -0.8751346775043158
420000000                0.25424176131707305      -0.9009757917283434
450000000                0.17144899868165916      -0.9194373588769965
480000000                0.08744541343493406      -0.9303835065183897
510000000                0.002901075066144898     -0.9337367196223912
540000000                -0.08150703515631648     -0.9294793045939506
570000000                -0.165100786067797       -0.9176542328853213
600000000                -0.24720669166156597     -0.8983653821626334
630000000                -0.32716169469548667     -0.8717771872344738
660000000                -0.40431889323060344     -0.8381137112017618
690000000                -0.4780531605980281      -0.7976571478062054
720000000                -0.5477666081855891      -0.7507457685254142
750000000                -0.6128938395745767      -0.6977713314433114
780000000                -0.6729069443544633      -0.6391759735179268
810000000                -0.727320180858516       -0.5754486128639494
840000000                -0.775694298893182       -0.5071208929118746
870000000                -0.8176404561854295      -0.4347627055491393
900000000                -0.8528236855537501      -0.35897733586959263
930000000                -0.8809658745462472      -0.2803962755164355
960000000                -0.9018482239800418      -0.19967375641278526
990000000                -0.9153131577222086      -0.1174810604073088
1020000000               -0.921265662354802       -0.03450066324384782
1050000000               -0.9196740420554109      0.048579726262999445
1080000000               -0.9105700810437537      0.1310731696053093
1110000000               -0.8940486131839684      0.21229948185916492
1140000000               -0.870266505509738       0.2915911327383918
1170000000               -0.8394410695387722      0.36829900449360975
1200000000               -0.8018479210822735      0.4417979482497059
1230000000               -0.7578183156226419      0.5114920835081332
1260000000               -0.7077359921804538      0.5768197895154108
1290000000               -0.6520335641397706      0.6372583414328326
1320000000               -0.5911884995490606      0.6923281502351002
1350000000               -0.5257187377227738      0.74159657003908
1380000000               -0.45617799158795447     0.7846812430938683
1410000000               -0.38315078750217363     0.8212529585857493
1440000000               -0.3072472954823597      0.8510380077118231
1470000000               -0.22909800341046457     0.8738200235596779
1500000000               -0.1493482882601958      0.8894413004462183
1530000000               -0.06865293676466191     0.8978035929551027
1560000000               0.012329334188427233     0.898868400439021
1590000000               0.09294130873764406      0.8926567475337589
1620000000               0.17253260928452063      0.8792484758314822
1650000000               0.25046489695141755      0.8587810657362284
1680000000               0.326116895863591        0.8314480109544743
1710000000               0.3988892053752935       0.7974967709546065
1740000000               0.4682088678537799       0.7572263290903658
1770000000               0.5335336634280967       0.7109843859048919
1800000000               0.5943561065610823       0.6591642185612174
1830000000               0.6502071229948488       0.6022012382619573
1860000000               0.7006593888879262       0.5405692781560966
1890000000               0.7453303173467174       0.4747766444915549
1920000000               0.7838846806890083       0.40536196370872074
1950000000               0.8160368597843632       0.332889857962843
1980000000               0.8415527148765393       0.2579464808800979
2010000000               0.8602510751677901       0.1811349445395123
2040000000               0.8720048474595213       0.1030706671102044
2070000000               0.8767417469803708       0.02437666824303797
2100000000               0.8744446559013153       -0.05432116420634751
2130000000               0.8651516161489614       -0.132398818134124
2.16E9                   0.8489554610621263       -0.20923890129226158
2.19E9                   0.8260030821545418       -0.2842353836718539
2.22E9                   0.7964943089914946       -0.35679834146565864
2.25E9                   0.7606803501883033       -0.42635869809933463
2.28E9                   0.7188617096549987       -0.4923729205797188
2.31E9                   0.6713854825362433       -0.5543275502381809
2.34E9                   0.6186419985646083       -0.6117433428573866
2.37E9                   0.561060950909933        -0.6641787403689304
2.4E9                    0.49910736649645354      -0.7112325103110163
2.43E9                   0.43327785450247147      -0.7525456965588616
2.46E9                   0.36409734896502927      -0.7878033358427459
2.49E9                   0.2921161384517696       -0.8167364158129606
2.52E9                   0.2179066952789114       -0.8391242204374146
2.55E9                   0.1420599009664217       -0.8547968092684232
2.58E9                   0.06518058037205635      -0.8636372157758174
2.61E9                   -0.012117478032099706    -0.8655830562444345
2.64E9                   -0.089216757750415       -0.8606274393270728
2.67E9                   -0.16550130152388595     -0.8488192073081715
2.7E9                    -0.2403619327272084      -0.83026258981894
2.73E9                   -0.31320135650926506     -0.8051163436732414
2.76E9                   -0.3834391151301624      -0.7735924280296242
2.79E9                   -0.4505163786365982      -0.735954243315286
2.82E9                   -0.5139005486161018      -0.6925144507620087
