% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 11 2022, 09:44
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.572246851868773        -0.7631464759296667
330000000                0.4999700960178743       -0.8112725258065174
360000000                0.4237861951788455       -0.8526469813473645
390000000                0.3443036688959293       -0.886956414896817
420000000                0.2621592007938          -0.9139399526688529
450000000                0.17801271856972695      -0.9333924629835266
480000000                0.09254218257997238      -0.945167148483792
510000000                0.006438138717452269     -0.9491775485508223
540000000                -0.07960191569106315     -0.945398955850008
570000000                -0.1648792965923562      -0.9338692464117841
600000000                -0.248699978831149       -0.9146891230452163
630000000                -0.33038046556844725     -0.8880217719718408
660000000                -0.4092536281289693      -0.8540919349318803
690000000                -0.48467445960511163     -0.813184402282328
720000000                -0.5560256849893952      -0.7656419370933677
750000000                -0.6227231724604545      -0.7118626444102845
780000000                -0.6842210884287148      -0.6522968062948736
810000000                -0.7400167422444035      -0.5874432081942552
840000000                -0.7896550678678325      -0.5178449883809616
870000000                -0.8327326926497002      -0.44408504819348915
900000000                -0.8689015476087829      -0.3667810660323336
930000000                -0.8978719778457492      -0.2865801637873614
960000000                -0.9194153172742934      -0.20415327887052942
990000000                -0.9333658979726298      -0.12018929900304179
1020000000               -0.9396224708394869      -0.03538902078024926
1050000000               -0.9381490216090367      0.049541005154067286
1080000000               -0.9289749734714846      0.13389467750132752
1110000000               -0.9121947752045723      0.2169725309118106
1140000000               -0.8879668813307356      0.2980878409449029
1170000000               -0.8565121381761035      0.37657258421280054
1200000000               -0.8181115970172391      0.4517831922684554
1230000000               -0.7731037822160408      0.5231060415935967
1260000000               -0.7218814483275997      0.589962626198704
1290000000               -0.6648878659090166      0.6518143637007512
1320000000               -0.6026126805309318      0.7081669914657895
1350000000               -0.5355873932123575      0.7585745155284744
1380000000               -0.4643805140382627      0.8026426806861144
1410000000               -0.3895924426809765      0.8400319370569003
1440000000               -0.31185013088790614     0.8704598848291278
1470000000               -0.231801582752205       0.8937031851966135
1500000000               -0.15011024796325537     0.9095989320075758
1530000000               -0.06744936241898429     0.91804548446283
1560000000               0.01550371126657879      0.9190027668947874
1590000000               0.09807309300626965      0.9124920467950958
1620000000               0.17958989695927274      0.8985952069354955
1650000000               0.2593976011770069       0.8774535314990735
1680000000               0.3368572346390316       0.8492660296888626
1710000000               0.41135234436172824      0.8142873232592909
1740000000               0.4822937093291282       0.7728251268194946
1770000000               0.5491237716475691       0.7252373516708426
1800000000               0.611320759298042        0.6719288652489095
1830000000               0.6684024781671639       0.6133479394237712
1860000000               0.7199297551026679       0.5499824211656148
1890000000               0.7655095166773788       0.48235565964200866
1920000000               0.8047974918756542       0.41102222362364876
1950000000               0.8375005300837117       0.3365634427246758
1980000000               0.8633785287695876       0.25958280561238856
2010000000               0.8822459685625262       0.18070124721310216
2040000000               0.8939730566329569       0.10055235560618242
2070000000               0.8984864827676081       0.019777526582661357
2100000000               0.8957697956117241       -0.06097891011682888
2130000000               0.8858634086454367       -0.14107457572443244
2.16E9                   0.868864243885529        -0.21987393200344485
2.19E9                   0.8449250116347611       -0.296753182017457
2.22E9                   0.8142530998164287       -0.37110520059278146
2.25E9                   0.7771090004953702       -0.4423445080537195
2.28E9                   0.7338041417144624       -0.5099122511686703
2.31E9                   0.684697963245559        -0.5732810313370454
2.34E9                   0.6301941675572689       -0.6319592392278388
2.37E9                   0.5707363689843835       -0.6854944572612789
2.4E9                    0.5068037467783288       -0.7334757069979075
2.43E9                   0.43890740109096404      -0.7755348935153428
2.46E9                   0.3675876112110512       -0.8113483031676707
2.49E9                   0.2934114177542028       -0.8406388679631095
2.52E9                   0.2169696357441124       -0.8631791741724548
2.55E9                   0.13887280296405322      -0.8787945740442136
2.58E9                   0.05974618362987112      -0.8873657278592291
2.61E9                   -0.01977574143023464     -0.8888302603602765
2.64E9                   -0.09905491090884073     -0.8831835490353674
2.67E9                   -0.17745523531297425     -0.870478797852864
2.7E9                    -0.2543479954480127      -0.8508265409688743
2.73E9                   -0.3291170800968033      -0.8243936649400283
2.76E9                   -0.4011640671089156      -0.7914019901183433
2.79E9                   -0.46991314184473043     -0.7521264256290673
2.82E9                   -0.5348158333215352      -0.7068927030782892
2.85E9                   -0.5953555377194424      -0.6560746946348766
2.88E9                   -0.6510517927290502      -0.600091325920268
2.91E9                   -0.7014642634078347      -0.5394031004677399
2.94E9                   -0.746196400036959       -0.4745082589600935
2.97E9                   -0.7848987300185479      -0.40593860253117103
3.0E9                    -0.8172717487635377      -0.3342550148238084
3.03E9                   -0.843068378230198       -0.26004272233592035
3.06E9                   -0.8620959663393196      -0.183906336745316
3.09E9                   -0.8742178056530711      -0.106464726139839
3.12E9                   -0.8793541553045023      -0.02834576471518765
3.15E9                   -0.8774827561146078      0.04981898790892746
3.18E9                   -0.8686388349683007      0.12739962592214232
3.21E9                   -0.852914600535892       0.20377320360262308
3.24E9                   -0.8304582381473655      0.2783289584620605
3.27E9                   -0.8014724168062465      0.3504734029755815
3.3E9                    -0.7662123257184161      0.41963523948541737
3.33E9                   -0.7249832612599948      0.48527005562577963
3.36E9                   -0.6781377880569326      0.546864760420627
3.39E9                   -0.6260724999807641      0.6039417235112687
3.42E9                   -0.5692244085784467      0.6560625816886918
3.45E9                   -0.5080669887631215      0.7028316772856379
3.48E9                   -0.4431059145583201      0.7438990930821137
3.51E9                   -0.37487452261876997     0.7789632478668951
3.54E9                   -0.30392904855915237     0.8077730172138864
3.57E9                   -0.23084369023386062     0.8301293470131551
3.6E9                    -0.15620556303527522     0.8458863339079818
3.63E9                   -0.08060962167845283     0.8549517587588042
3.66E9                   -0.004653629410347371    0.857287075745719
3.69E9                   0.07106674409448424      0.852906879544741
3.72E9                   0.14596262115469633      0.8418778934236455
3.75E9                   0.21945634957371463      0.8243175396531708
3.78E9                   0.2909856300580385       0.8003921678081822
3.81E9                   0.3600073223166378       0.7703150238540917
3.84E9                   0.4260009446775055       0.7343440396338745
3.87E9                   0.48847191041617877      0.6927795054170525
3.9E9                    0.5469545635066168       0.6459616570508542
3.93E9                   0.6010150778495291       0.5942681699501602
3.96E9                   0.6502542637184412       0.5381115163354925
3.99E9                   0.6943102880477543       0.47793612240407324
4.02E9                   0.732861273390494        0.4142152659672513
4.05E9                   0.7656277084584708       0.3474476797495121
4.08E9                   0.7923745896047429       0.27815386188852614
4.11E9                   0.8129132192162601       0.2068721300566447
4.14E9                   0.8271026076096387       0.1341544804967646
4.17E9                   0.8348504516347707       0.060562324044344744
4.2E9                    0.8361136882159141       -0.013337830698278498
4.23E9                   0.8308986398053975       -0.08697868794614201
4.26E9                   0.8192607790163386       -0.15979642554199736
4.29E9                   0.8013041417011444       -0.23123487766095835
4.32E9                   0.7771804131556813       -0.30074962369417535
4.35E9                   0.747087703860305        -0.36781197388597875
4.38E9                   0.7112690224037564       -0.43191284349689457
4.41E9                   0.6700104468627217       -0.4925665031668304
4.44E9                   0.6236389933190438       -0.5493141870321216
4.47E9                   0.5725201815885516       -0.6017275335634653
4.5E9                    0.5170553026636616       -0.6494118291097684
