% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 23 2022, 19:37
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5385897677184531       -0.7273262071636366
330000000                0.46993763106871445      -0.7718289092011434
360000000                0.3977452858696854       -0.8099986451593759
390000000                0.3225735828189077       -0.8415450254313956
420000000                0.24501186780393847      -0.8662286427738931
450000000                0.16567221582488578      -0.8838635258397132
480000000                0.08518381917808444      -0.8943191042247918
510000000                0.004187430549692195     -0.897521684143841
540000000                -0.07667018124710819     -0.8934554298531213
570000000                -0.15674177004464537     -0.882162844274734
600000000                -0.23538513374234027     -0.8637447430677432
630000000                -0.31196859211542355     -0.838359718317558
660000000                -0.38587638722823175     -0.8062230911306643
690000000                -0.45651396632408786     -0.7676053563600893
720000000                -0.5233131039026244      -0.7228301271980151
750000000                -0.585736817731718       -0.6722715921823487
780000000                -0.6432840323752596      -0.6163515026731984
810000000                -0.6954939448434305      -0.5555357138334276
840000000                -0.7419500477473155      -0.49033030794486776
870000000                -0.7822837681800386      -0.42127733372347853
900000000                -0.8161776832357925      -0.34895020078635214
930000000                -0.8433682775861542      -0.2739487723173662
960000000                -0.8636482125076066      -0.19689420412172787
990000000                -0.8768680817192636      -0.11842358059091745
1020000000               -0.8829376345561741      -0.039184402173044114
1050000000               -0.8818264536246971      0.04017102014041327
1080000000               -0.8735640802070965      0.11899120556219994
1110000000               -0.8582395874391331      0.19663112197099347
1140000000               -0.8360006077995941      0.27245772470505464
1170000000               -0.807051827952514       0.3458553596420581
1200000000               -0.7716529701576991      0.4162309768265101
1230000000               -0.7301162854114888      0.4830191034343832
1260000000               -0.6828035887793811      0.5456865288443334
1290000000               -0.6301228722160725      0.6037366585878223
1320000000               -0.5725245344625453      0.6567134986164874
1350000000               -0.5104972708976317      0.7042052366966837
1380000000               -0.4445636691643968      0.745847392940834
1410000000               -0.3752755582661158      0.781325517239937
1440000000               -0.30320916011407795     0.8103774170088974
1470000000               -0.22896009300868184     0.8327949042963259
1500000000               -0.15313827635462635     0.8484250568222594
1530000000               -0.07636278504092325     0.8571709927770543
1560000000               7.432993830015278E-4     0.8589921641441912
1590000000               0.07755799571625754      0.8539041779538876
1620000000               0.1534654454910115       0.8419781589692956
1650000000               0.22786081071049438      0.8233396710268723
1680000000               0.30015500983400795      0.7981672174885259
1710000000               0.3697792581916172       0.7666903439652447
1740000000               0.43618938213745867      0.7291873687690269
1770000000               0.4988698797927745       0.6859827682968851
1800000000               0.5573377042572059       0.6374442460362799
1830000000               0.611145748795276        0.5839795147277231
1860000000               0.6598860163915661       0.5260328219674063
1890000000               0.7031924592510926       0.4640812498438911
1920000000               0.7407434768370305       0.3986308191584895
1950000000               0.7722640637755447       0.33021242867503453
1980000000               0.7975276018565751       0.25937765921385586
2010000000               0.8163572930390818       0.18669447154268304
2040000000               0.8286272329913622       0.11274282570000667
2070000000               0.8342631272177006       0.038110247059731164
2100000000               0.8332426536021473       -0.03661263868527898
2130000000               0.8255954756801913       -0.11083658435735151
2.16E9                   0.811402908270609        -0.18397820266265952
2.19E9                   0.7907972289191285       -0.2554644450807068
2.22E9                   0.7639606120484843       -0.3247370751996619
2.25E9                   0.7311236377838658       -0.3912571220023422
2.28E9                   0.6925633032282943       -0.454509261239572
2.31E9                   0.6486004668472909       -0.5140060021924358
2.34E9                   0.5995967269800193       -0.5692914748351046
2.37E9                   0.5459508921173651       -0.6199445902394722
2.4E9                    0.4880953752202828       -0.6655814775565697
2.43E9                   0.42649287190338436      -0.7058573808285402
2.46E9                   0.36163344490695004      -0.7404684399066325
2.49E9                   0.2940317647974659       -0.7691537379700573
2.52E9                   0.22422405811287371      -0.7916976697634232
2.55E9                   0.15276444459721344      -0.8079323469575908
2.58E9                   0.08022064458572285      -0.8177396602527959
2.61E9                   0.007169254807606507     -0.8210527481212022
2.64E9                   -0.06580916637488823     -0.8178568070219211
2.67E9                   -0.13813502953730747     -0.8081892935266035
2.7E9                    -0.20923456873857793     -0.7921395999045586
2.73E9                   -0.27854458125188913     -0.7698482695483511
2.76E9                   -0.34551703554531843     -0.7415057930730605
2.79E9                   -0.40962353251974426     -0.7073510068367703
2.82E9                   -0.47035959995224125     -0.6676691060857832
2.85E9                   -0.5272487938651647      -0.6227892826836401
2.88E9                   -0.5798465760700856      -0.5730819993650939
2.91E9                   -0.6277439347037703      -0.5189559165332713
2.94E9                   -0.6705707141154139      -0.46085449235814524
2.97E9                   -0.707998621466071       -0.3992522817713917
3.0E9                    -0.739743879529204       -0.33465096448955517
3.03E9                   -0.7655694981841815      -0.26757513635492697
3.06E9                   -0.7852871408648823      -0.1985679018083037
3.09E9                   -0.7987585664737065      -0.12818630835319814
3.12E9                   -0.8058966320521365      -0.05699666606910913
3.15E9                   -0.8066658464893193      0.014430203164614325
3.18E9                   -0.8010824707378434      0.08552374128154466
3.21E9                   -0.7892141651548874      0.1557184091895268
3.24E9                   -0.7711791894604488      0.22445837683106884
3.27E9                   -0.7471451653433687      0.29120210493569243
3.3E9                    -0.7173274157623387      0.3554267770314763
3.33E9                   -0.6819868985307306      0.41663254225891144
3.36E9                   -0.6414277549108193      0.47434653151932765
3.39E9                   -0.5959944968953014      0.5281266112922613
3.42E9                   -0.5460688598185691      0.5775648411924211
3.45E9                   -0.4920663502687231      0.622290602895752
3.48E9                   -0.4344325231580133      0.6619733699212594
3.51E9                   -0.37363902631447116     0.6963250903021851
3.54E9                   -0.3101794559937851      0.7251021579378544
3.57E9                   -0.24456507163128338     0.7481069539753197
3.6E9                    -0.17732042215575633     0.7651889470551029
3.63E9                   -0.10897893816226        0.776245350378345
3.66E9                   -0.040078543597474516    0.7812213432677176
3.69E9                   0.028842662836682822     0.7801098740581165
3.72E9                   0.09725061170099902      0.7729510687523748
3.75E9                   0.16461931400233         0.7598312757769135
3.78E9                   0.23043472830029563      0.7408817817968124
3.81E9                   0.2941984208018994       0.7162772372247752
3.84E9                   0.355431005442572        0.6862338320718001
3.87E9                   0.41367536274940236      0.6510072612410354
3.9E9                    0.46849964782916875      0.6108905112996162
3.93E9                   0.5195001053432382       0.5662114879481772
3.96E9                   0.5663037092715287       0.5173304875162231
3.99E9                   0.6085706362429314       0.4646375018722737
4.02E9                   0.645996565487529        0.408549339382944
4.05E9                   0.6783147814070866       0.3495065475750404
4.08E9                   0.7052980418640239       0.2879701352078174
4.11E9                   0.7267601707539448       0.22441810818750954
4.14E9                   0.7425573377054541       0.15934185024829117
4.17E9                   0.7525889989703224       0.09324239102775805
4.2E9                    0.7567984878699957       0.02662660911039713
4.23E9                   0.7551732568503617       -0.03999658431484482
4.26E9                   0.7477447832425934       -0.10612004257826853
4.29E9                   0.734588155682555        -0.1712421320498951
4.32E9                   0.7158213579790751       -0.23487041135893993
4.35E9                   0.69160426344687         -0.29652522635264544
4.38E9                   0.6621373477200159       -0.3557432076455699
4.41E9                   0.6276601240553994       -0.4120806559402663
4.44E9                   0.5884493035960544       -0.4651167964793575
4.47E9                   0.5448166843491734       -0.5144568798653791
4.5E9                    0.4971067762263932       -0.5597351033281684
4.53E9                   0.44569417449084947      -0.6006173251144649
4.56E9                   0.39098069936583235      -0.636803545349451
4.59E9                   0.33339232467295443      -0.6680301292318154
4.62E9                   0.27337592237361225      -0.6940717527249856
4.65E9                   0.211395852106814        -0.7147430563705724
4.68E9                   0.1479304245541714       -0.7298999985942345
4.71E9                   0.08346826479185038      -0.7394409043853771
4.74E9                   0.018504597524407806     -0.7433072071009779
4.77E9                   -0.046462527657536334    -0.7414838795536326
4.8E9                    -0.11093605382591552     -0.7339995463065283
4.83E9                   -0.1744237567392183      -0.7209262645107097
4.86E9                   -0.23644207985029989     -0.7023789584775187
4.89E9                   -0.2965199280447024      -0.6785144956225571
4.92E9                   -0.3542023761309128      -0.6495303987589387
4.95E9                   -0.4090542440924619      -0.6156632006605077
4.98E9                   -0.4606634919283783      -0.5771864591117026
5.01E9                   -0.5086443927490989      -0.5344084618647365
5.04E9                   -0.552640452611582       -0.48766965902511417
5.07E9                   -0.5923270578339412      -0.43733986367621064
5.1E9                    -0.6274138427335496      -0.38381525902460456
5.13E9                   -0.6576467796941287      -0.32751524229260576
5.16E9                   -0.6828099960512227      -0.2688791242451611
5.19E9                   -0.7027273169276219      -0.20836269301217192
5.22E9                   -0.7172635215030293      -0.1464346471619388
5.25E9                   -0.7263252878470601      -0.08357290923398258
5.28E9                   -0.7298617955986919      -0.02026084594771967
5.31E9                   -0.7278649614102581      0.043016561161759295
5.34E9                   -0.7203692984508474      0.10577653949960682
5.37E9                   -0.7074514118023876      0.16754228863241366
5.4E9                    -0.6892291577010385      0.22784663983146422
5.43E9                   -0.6658605004343643      0.28623558621027984
5.46E9                   -0.6375420959347378      0.3422716731643121
5.49E9                   -0.6045076197638954      0.3955372470751764
5.52E9                   -0.567025845020235       0.4456375597293839
5.55E9                   -0.5253984671904821      0.49220371865439994
5.58E9                   -0.4799576704053455      0.5348954628491174
5.61E9                   -0.4310634332287558      0.5734037323971721
5.64E9                   -0.3791005815206031      0.6074529916346268
5.67E9                   -0.32447560984357104     0.636803261330719
5.7E9                    -0.26761330951013645     0.6612518179666673
5.73E9                   -0.20895325685377683     0.6806345295338998
5.76E9                   -0.1489462241546926      0.6948268166410055
5.79E9                   -0.08805057298622679     0.7037442501306937
5.82E9                   -0.02672867502521168     0.7073428136469699
5.85E9                   0.034556615594414274     0.7056188645521199
5.88E9                   0.09534543163470346      0.6986088182848209
5.91E9                   0.15518430366360506      0.6863885659133289
5.94E9                   0.21362950718193013      0.6690726211683219
5.97E9                   0.27025032908007257      0.6468129877770803
6.0E9                    0.32463222499255995      0.6197977411157414
