% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 26 2022, 21:32
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5711573332359038       -0.762846551470445
330000000                0.49888417860098716      -0.8108342084788293
360000000                0.42272362778507644      -0.8520721533564308
390000000                0.34328283811663773      -0.8862492104497023
420000000                0.2611971291034692       -0.9131064534772485
450000000                0.17712505026512293      -0.9324404555517996
480000000                0.09174316105461369      -0.9441059197459316
510000000                0.005740575036372775     -0.9480177058941431
540000000                -0.0801866775661523      -0.944152261270983
570000000                -0.165341417146605       -0.9325484587517674
600000000                -0.24903115838247933     -0.9133078440077143
630000000                -0.3305739762429049      -0.8865942934636335
660000000                -0.4093043397432492      -0.8526330863088823
690000000                -0.48457885784513766     -0.8117093968924007
720000000                -0.555781880523145       -0.7641662179578486
750000000                -0.6223308991631443      -0.7104017296875096
780000000                -0.6836816902817306      -0.6508661350345848
810000000                -0.7393331479315036      -0.5860579874090276
840000000                -0.7888317525619368      -0.5165200426621012
870000000                -0.8317756268546485      -0.4428346729963994
900000000                -0.8678181330599364      -0.3656188859469412
930000000                -0.8966709705410443      -0.2855189973249423
960000000                -0.9181067382407886      -0.20320501087398776
990000000                -0.931960932296021       -0.11936476220199493
1020000000               -0.9381333558415075      -0.03469788756341656
1050000000               -0.9365889251425626      0.05009031956656654
1080000000               -0.9273578634745485      0.1342950992976239
1110000000               -0.9105352818298513      0.21721839869297133
1140000000               -0.8862801529946559      0.29817496269767174
1170000000               -0.8548136930459119      0.3764982795631939
1200000000               -0.8164171714529691      0.4515463197536771
1230000000               -0.7714291777093488      0.5227070107754959
1260000000               -0.7202423785317394      0.5894033945212642
1290000000               -0.6632998053498543      0.6510984182427358
1320000000               -0.6010907164237126      0.7072993160470723
1350000000               -0.5341460819502681      0.7575615435043709
1380000000               -0.4630337436576598      0.8014922341871661
1410000000               -0.3883533025533783      0.8387531534671677
1440000000               -0.3107307899169904      0.8690631313085758
1470000000               -0.23081317695463027     0.8921999623794594
1500000000               -0.14926277853897202     0.9080017678486796
1530000000               -0.06675160487810992     0.9163678194926153
1560000000               0.016044286025635835     0.9172588319920165
1590000000               0.09845038543079508      0.910696734790216
1620000000               0.17979923276745355      0.8967639392373915
1650000000               0.2594357723719625       0.8756021210161452
1680000000               0.3367225274432453       0.8474105412676443
1710000000               0.41104455396917694      0.812443932870303
1740000000               0.481814141682821        0.771009980640988
1770000000               0.5484752323313483       0.7234664262283621
1800000000               0.6105075298159548       0.6702178297092987
1830000000               0.6674302799772278       0.6117120210658117
1860000000               0.7188057018167946       0.5484362750144681
1890000000               0.7642420548646847       0.48091324320789336
1920000000               0.803396331076516        0.4096966774981235
1950000000               0.8359765625274154       0.33536697780324315
1980000000               0.8617437393460201       0.2585265974756958
2010000000               0.8805133354778768       0.1797953379839141
2040000000               0.8921564427909516       0.09980556347393583
2070000000               0.8966005172856403       0.01919736300925742
2100000000               0.8938297436925773       -0.06138631521248994
2130000000               0.8838850261827496       -0.141304539331137
2.16E9                   0.8668636110964827       -0.21992326894266667
2.19E9                   0.8429183392827441       -0.2966202295328038
2.22E9                   0.8122565063366896       -0.37078979284758234
2.25E9                   0.7751382764112936       -0.44184786355192096
2.28E9                   0.731874556444092        -0.5092367349793253
2.31E9                   0.6828242217789797       -0.5724297930332812
2.34E9                   0.6283906449566232       -0.6309358314377285
2.37E9                   0.5690176583747839       -0.6843026739102546
2.4E9                    0.5051853226005083       -0.7321199070179041
2.43E9                   0.4374059782733646       -0.7740208522881726
2.46E9                   0.36622084143698186      -0.8096842541190459
2.49E9                   0.2921969490099789       -0.8388362083966698
2.52E9                   0.2159239400550259       -0.8612525188318245
2.55E9                   0.13801022584175335      -0.8767612343655691
2.58E9                   0.059078431682849875     -0.885244930061087
2.61E9                   -0.020239716488361384    -0.8866423936016213
2.64E9                   -0.09930879107750563     -0.8809495881308793
2.67E9                   -0.17749512805160422     -0.8682199159913829
2.7E9                    -0.2541722293508894      -0.8485638655659269
2.73E9                   -0.32872604159810487     -0.8221481190834409
2.76E9                   -0.4005600824133617      -0.7891941745572659
2.79E9                   -0.46910039400839054     -0.7499765131838491
2.82E9                   -0.5338003008714137      -0.7048203309412124
2.85E9                   -0.5941449427563594      -0.6540988488245878
2.88E9                   -0.6496555492203474      -0.5982302171816368
2.91E9                   -0.6998934193392057      -0.5376740333336721
2.94E9                   -0.7444635693769535      -0.4729274966856927
2.97E9                   -0.7830180121462806      -0.4045212308142714
3.0E9                    -0.815258634173299       -0.3330148070162252
3.03E9                   -0.8409396400246856      -0.258992008617643
3.06E9                   -0.8598695374885971      -0.18305587938623386
3.09E9                   -0.871912642255195       -0.1058236026205297
3.12E9                   -0.8769900860959914      -0.027921260490486335
3.15E9                   -0.8750803185731804      0.050021475545466966
3.18E9                   -0.8662190982241009      0.127376671225457
3.21E9                   -0.8504989752768485      0.20352342127743897
3.24E9                   -0.8280682736381171      0.2778530560375081
3.27E9                   -0.7991295851832692      0.34977421409266934
3.3E9                    -0.7639377938959826      0.418717734906475
3.33E9                   -0.7227976513897604      0.48414132767482826
3.36E9                   -0.6760609284775803      0.5455339756943162
3.39E9                   -0.6241231704735304      0.602420037567615
3.42E9                   -0.5674200865639595      0.6543630088564705
3.45E9                   -0.5064236068158067      0.7009689092963525
3.48E9                   -0.44163764416337836     0.7418892624331257
3.51E9                   -0.3735936034755784      0.7768236367230283
3.54E9                   -0.3028456855529796      0.8055217204773133
3.57E9                   -0.2299660398890569      0.8277849085468951
3.6E9                    -0.15553982555137402     0.8434673864998635
3.63E9                   -0.08016024290280815     0.8524767083305118
3.66E9                   -0.004423599324307759    0.8547738752788624
3.69E9                   0.07107553083184258      0.8503729347512881
3.72E9                   0.14574899772945518      0.8393401283045621
3.75E9                   0.21901957202944633      0.8217926256685841
3.78E9                   0.29032520703540926      0.7978968883278372
3.81E9                   0.3591230386177433       0.7678667116425306
3.84E9                   0.42489310728675245      0.7319609980893692
3.87E9                   0.487141801933263        0.6904813136708021
3.9E9                    0.545405041040435        0.6437692718075699
3.93E9                   0.5992512188165975       0.5922037735326195
3.96E9                   0.6482839466790161       0.5361981118417601
3.99E9                   0.6921446115293244       0.4761969279803284
4.02E9                   0.7305147534508762       0.41267299528338297
4.05E9                   0.7631182430877325       0.3461238060020029
4.08E9                   0.7897232200723551       0.2770679487528435
4.11E9                   0.8101437445956986       0.206041283710423
4.14E9                   0.8242411159459849       0.13359294380143616
4.17E9                   0.8319248232146464       0.06028120640518989
4.2E9                    0.8331531097520628       -0.013330711168133839
4.23E9                   0.8279331499785378       -0.08667887932591825
4.26E9                   0.8163208505325947       -0.15920286082030027
4.29E9                   0.798420295197198        -0.23034985683382453
4.32E9                   0.7743828541037754       -0.29957877009867623
4.35E9                   0.7444059738439244       -0.3663641683857291
4.38E9                   0.7087316588891444       -0.43020013520578815
4.41E9                   0.6676446491204363       -0.4906039932080525
4.44E9                   0.6214702953242348       -0.5471198814510333
4.47E9                   0.570572134925424        -0.5993221624401895
4.5E9                    0.5153491739429592       -0.6468186300725552
4.53E9                   0.4562328866269081       -0.689253487192075
4.56E9                   0.3936839510608735       -0.7263100609915539
4.59E9                   0.32818874552302796      -0.7577132268628134
4.62E9                   0.26025563612674657      -0.7832315158374551
4.65E9                   0.19041108984730803      -0.8026788873157668
4.68E9                   0.11919564766112921      -0.8159161561358588
4.71E9                   0.04715978971389241      -0.8228520694541995
4.74E9                   -0.025140280965544548    -0.8234440322269116
4.77E9                   -0.09714691510498792     -0.8176984789541291
4.8E9                    -0.16830533584388174     -0.8056708842638705
4.83E9                   -0.23806797826127984     -0.7874653983871177
4.86E9                   -0.3058988208022941      -0.7632340893707497
4.89E9                   -0.37127766821083497     -0.7331757750210169
4.92E9                   -0.4337043349412         -0.697534435209124
4.95E9                   -0.4927026710262443      -0.6565972081262013
4.98E9                   -0.5478243714434249      -0.6106919898178386
5.01E9                   -0.5986525158120789      -0.5601846716622841
5.04E9                   -0.644804796776238       -0.5054760626845851
5.07E9                   -0.6859364113938473      -0.44699854987060417
5.1E9                    -0.7217426067648431      -0.38521254836652885
5.13E9                   -0.7519608851340153      -0.32060278403179715
5.16E9                   -0.776372879875463       -0.2536744356536206
5.19E9                   -0.794805909216721       -0.1849491486765317
5.22E9                   -0.8071342002681986      -0.11496092401190233
5.25E9                   -0.8132797585261831      -0.04425189020514384
5.28E9                   -0.8132128472976565      0.026632015535397353
5.31E9                   -0.8069520451387728      0.09714540868104296
5.34E9                   -0.7945638683218882      0.166747795332448
5.37E9                   -0.7761619718581017      0.2349078182666935
5.4E9                    -0.7519059654573702      0.3011073559579416
5.43E9                   -0.721999891113883       0.36484544200930596
5.46E9                   -0.6866904047397607      0.42564199469557895
5.49E9                   -0.6462646899072434      0.4830413597235692
