% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 1 2022, 09:02
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.555768276259488        -0.7504055492462862
330000000                0.48478126216323986      -0.7964376197410918
360000000                0.4101462760673634       -0.8359079890821541
390000000                0.3324384949410279       -0.8685228623274516
420000000                0.2522630592354972       -0.8940380597770711
450000000                0.1702493577352902       -0.9122625405172319
480000000                0.08704532499534601      -0.923061120651291
510000000                0.0033117166487489414    -0.9263564925354798
540000000                -0.08028364741642663     -0.9221306051203098
570000000                -0.1630716609530996      -0.9104254385975438
600000000                -0.2443877073173173      -0.8913431927406017
630000000                -0.3235774017238618      -0.8650459012454258
660000000                -0.40000226060871324     -0.8317544819410596
690000000                -0.47304525481954507     -0.7917472331388412
720000000                -0.5421162000859593      -0.7453577887767538
750000000                -0.6066569361516102      -0.6929725487389109
780000000                -0.6661462462705503      -0.635027604696436
810000000                -0.7201044674532158      -0.5720051877339495
840000000                -0.7680977451640688      -0.5044296682003433
870000000                -0.8097418873031936      -0.43286314416105465
900000000                -0.8447057759346793      -0.35790065989183256
930000000                -0.8727142996427599      -0.280165100257441
960000000                -0.8935507738385685      -0.20030181157189922
990000000                -0.9070588221567791      -0.11897300307929892
1020000000               -0.9131436981114494      -0.036851986295419206
1050000000               -0.9117730327351489      0.04538268850949393
1080000000               -0.9029770007065459      0.12705313763927165
1110000000               -0.886847904564342       0.2074880300587653
1140000000               -0.8635391835784509      0.2860283931454443
1170000000               -0.8332638607881253      0.3620332787822471
1200000000               -0.7962924483213545      0.43488523256376593
1230000000               -0.7529503374589149      0.5039955117423279
1260000000               -0.7036147055855113      0.5688090017397089
1290000000               -0.648710977326472       0.628808785329779
1320000000               -0.5887088817825232      0.6835203235208371
1350000000               -0.524118151191248       0.7325152130633061
1380000000               -0.4554839096060029      0.7754144908348717
1410000000               -0.3833818020891522      0.8118914616698355
1440000000               -0.3084129162302647      0.8416740321999767
1470000000               -0.23119854835510953     0.8645465392506702
1500000000               -0.1523748666288256      0.880351067191337
1530000000               -0.07258752210436015     0.888988254340482
1560000000               0.007513742483620689     0.8904175936677978
1590000000               0.08728043882533072      0.8846572379888494
1620000000               0.16607058887500925      0.871783324164177
1650000000               0.24325384852106355      0.8519288347518948
1680000000               0.3182164601380894       0.8252820189172436
1710000000               0.390365998665612        0.7920843972358802
1740000000               0.45913587920018684      0.7526283774136576
1770000000               0.5239895978012852       0.7072545097227144
1800000000               0.5844246806279635       0.6563484124200999
1830000000               0.6399763200719377       0.6003373983152296
1860000000               0.6902206797431728       0.5396868344082578
1890000000               0.7347778537060347       0.47489626655219963
1920000000               0.7733144680586449       0.4064953414037846
1950000000               0.8055459163047094       0.33503955738537083
1980000000               0.8312382226622322       0.26110587599682905
2010000000               0.8502095304542903       0.18528822379253773
2040000000               0.8623312155477155       0.10819291387195401
2070000000               0.8675286274693086       0.03043401358939631
