% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 1 2022, 10:34
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5619017900394422       -0.7550358417133225
330000000                0.49041083410821146      -0.8018578842107555
360000000                0.4151784790927012       -0.8420373134730629
390000000                0.33679366808604283      -0.8752756468056169
420000000                0.25587397668000395      -0.9013246879712962
450000000                0.17306042541287248      -0.9199899835034785
480000000                0.08901210629778866      -0.9311335523969728
510000000                0.004400654198504661     -0.9346759500858108
540000000                -0.08009540312444052     -0.9305977037292064
570000000                -0.16379637794477164     -0.9189401403944472
600000000                -0.2460271961313395      -0.8998056215007563
630000000                -0.32612316716100076     -0.8733571928370956
660000000                -0.40343570187435884     -0.8398176585266977
690000000                -0.47733792873017084     -0.7994680885477297
720000000                -0.5472301566583229      -0.7526457722738934
750000000                -0.6125451322952353      -0.6997416345638898
780000000                -0.6727530402001348      -0.6411971349267006
810000000                -0.7273661938399818      -0.5775006766106444
840000000                -0.7759433689095078      -0.5091835565270869
870000000                -0.8180937318886109      -0.4368154932261903
900000000                -0.8534803207646745      -0.36099977505986425
930000000                -0.8818230391975871      -0.2823680755805507
960000000                -0.9029011304191837      -0.2015749876219004
990000000                -0.9165551028254229      -0.11929233163714106
1020000000               -0.9226880856907638      -0.03620329656721386
1050000000               -0.9212666000194922      0.04700352579377072
1080000000               -0.9123207366882293      0.12964015079277405
1110000000               -0.8959437411689275      0.21102519260128572
1140000000               -0.8722910114188367      0.2904897751505899
1170000000               -0.8415785225940873      0.36738330146052206
1200000000               -0.8040806990612653      0.4410790229374508
1230000000               -0.7601277606582798      0.5109793529422212
1260000000               -0.710102576087781       0.576520873203142
1290000000               -0.6544370614788678      0.6371789862324293
1320000000               -0.593608167035066       0.6924721717715392
1350000000               -0.5281334980995246      0.7419658114310203
1380000000               -0.458566620280196       0.7852755512035668
1410000000               -0.38549210035472115     0.8220701778639689
1440000000               -0.3095203358637668      0.8520739915824163
1470000000               -0.2312822269471928      0.8750686631104719
1500000000               -0.15142374374352416     0.8908945699351378
