% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 28 2022, 21:08
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5501558446498127       -0.7439214690315444
330000000                0.47991624834453345      -0.7893506274372035
360000000                0.40607551914604234      -0.8283151725209076
390000000                0.329199461663303        -0.8605190679586141
420000000                0.24988471253671118      -0.8857168698791962
450000000                0.16875255172299453      -0.9037168010064314
480000000                0.08644294647060775      -0.9143831287024945
510000000                0.003608701562085948     -0.9176379280961954
540000000                -0.07909034226888352     -0.9134622695447576
570000000                -0.16099308291068581     -0.901896849295277
600000000                -0.2414428977622105      -0.8830420718356721
630000000                -0.31979333130614807     -0.8570575888073897
660000000                -0.39541369736966364     -0.8241612987777901
690000000                -0.46769455749101124     -0.7846278144278561
720000000                -0.5360530329267981      -0.7387864066817182
750000000                -0.599937904182675       -0.6870184399960488
780000000                -0.6588344512571109      -0.6297543178167723
810000000                -0.7122689881046343      -0.567469962206846
840000000                -0.7598130452444178      -0.5006828575240301
870000000                -0.8010871572581449      -0.42994769296709806
900000000                -0.8357642148182287      -0.35585164417576154
930000000                -0.8635723448814174      -0.27900933871330974
960000000                -0.8842972873590136      -0.20005755472553566
990000000                -0.8977842421056448      -0.11964970565336429
1020000000               -0.9039391659128541      -0.038450166807798086
1050000000               -0.9027295055609003      0.04287149784131536
1080000000               -0.8941843597491757      0.1236463494258075
1110000000               -0.8783940694799561      0.20321186826666812
1140000000               -0.8555092433786604      0.2809176689749111
1170000000               -0.8257392311676086      0.3561310780862419
1200000000               -0.7893500650348094      0.42824251829245324
1230000000               -0.746661894660387       0.4966706462691294
1260000000               -0.6980459475101739      0.5608671944419242
1290000000               -0.6439210508074323      0.6203214720167488
1320000000               -0.5847497561053512      0.6745644850798711
1350000000               -0.5210341110379744      0.7231726410199347
1380000000               -0.4533111256549773      0.7657710082708366
1410000000               -0.38214798282299933     0.8020361081998871
1440000000               -0.30813704351347637     0.8316982218571103
1470000000               -0.23189069827427763     0.8545432002266244
1500000000               -0.15403611608655582     0.8704137723227309
1530000000               -0.07520994068402552     0.8792103510318541
1560000000               0.003947016716331397     0.8808913416550888
1590000000               0.08279504176326712      0.8754729629770893
1620000000               0.16070069397982645      0.8630285949186505
1650000000               0.23704185519167675      0.8436876707089959
1680000000               0.3112126109406219       0.8176341348346544
1710000000               0.3826279301465471       0.7851044907909364
1740000000               0.45072811123224704      0.7463854650768713
1770000000               0.5149829668717752       0.7018113156033581
1800000000               0.5748957226702242       0.6517608141712566
1830000000               0.6300066085870889       0.5966539336117104
1860000000               0.6798961251797047       0.5369482708644508
1890000000               0.7241879699902903       0.4731352374789956
1920000000               0.7625516123425456       0.40573604914087186
1950000000               0.7947045078155437       0.3352975455594329
1980000000               0.8204139466183122       0.2623878713681777
2010000000               0.839498532757482        0.18759204803295124
2040000000               0.8518292938506303       0.11150746501932128
2070000000               0.8573304238975485       0.03473931651369429
2100000000               0.8559796635146566       -0.04210399368629654
2130000000               0.8478083227321371       -0.1184154614370683
2.16E9                   0.8329009490576724       -0.19359409475084677
2.19E9                   0.8113946351924923       -0.26704952579423263
2.22E9                   0.7834779434386441       -0.33820662191287787
2.25E9                   0.7493893966861563       -0.4065100851645249
2.28E9                   0.709415457667939        -0.4714289921704078
2.31E9                   0.663887916083369        -0.5324611514726066
2.34E9                   0.6131806711361837       -0.5891370641605072
2.37E9                   0.5577060602216722       -0.6410232388624261
2.4E9                    0.4979110775389213       -0.6877247370241419
2.43E9                   0.43427387523749456      -0.7288871171553781
2.46E9                   0.3673007073255626       -0.7641982171454766
2.49E9                   0.2975230815325213       -0.7933901967282779
2.52E9                   0.2254946516654183       -0.8162419309606307
2.55E9                   0.15178749596634358      -0.8325814810510507
2.58E9                   0.07698773473937451      -0.8422882457271463
2.61E9                   0.001690678576657767     -0.8452945178091862
2.64E9                   -0.07350424365943535     -0.8415863623590897
2.67E9                   -0.1479985896110904      -0.8312038591817696
2.7E9                    -0.22119993813267877     -0.8142407911694449
2.73E9                   -0.292526808997488       -0.7908438479237662
2.76E9                   -0.36141344684481136     -0.7612113888176218
2.79E9                   -0.4273144529728278      -0.7255917897025244
2.82E9                   -0.489709243625137       -0.6842813871358668
2.85E9                   -0.5481063076609546      -0.6376220310963685
2.88E9                   -0.6020472316131472      -0.5859982589787264
2.91E9                   -0.651110457864323       -0.5298341075021068
2.94E9                   -0.6949147407431593      -0.4695895842601816
2.97E9                   -0.7331222666181495      -0.40575682542373726
3.0E9                    -0.7654414060565424      -0.33885597094248526
3.03E9                   -0.7916290692081509      -0.26943079304335715
3.06E9                   -0.811492639602422       -0.19804411731796365
3.09E9                   -0.8248914658282228      -0.1252730791863271
3.12E9                   -0.8317378956924595      -0.05170426068751043
3.15E9                   -0.831997842652841       0.022071245722197985
3.18E9                   -0.8256908797820159      0.09546279875272937
3.21E9                   -0.8128898619700046      0.16788514787733624
3.24E9                   -0.793720082213183       0.2387633042553771
3.27E9                   -0.7683579726361748      0.3075372977934551
3.3E9                    -0.7370293651075486      0.3736667771658126
3.33E9                   -0.7000073300130526      0.4366354116776668
3.36E9                   -0.6576096150232513      0.49595505601069334
3.39E9                   -0.6101957086129026      0.5511696409917191
3.42E9                   -0.5581635562166861      0.60185875510449
3.45E9                   -0.5019459601428269      0.6476408833134146
3.48E9                   -0.442006698381158       0.6881762715079628
3.51E9                   -0.37883640206125613     0.7231693874317913
3.54E9                   -0.3129482365986464      0.7523709526963714
3.57E9                   -0.244873436747769       0.7755795261483164
3.6E9                    -0.17515675019701737     0.7926426265258931
3.63E9                   -0.10435184666984282     0.8034573918325304
3.66E9                   -0.03301674888438982     0.807970783169235
3.69E9                   0.03829066131687622      0.8061793504279935
3.72E9                   0.10901701436087397      0.7981285855634472
3.75E9                   0.17861766094184459      0.7839118954849134
3.78E9                   0.24656068350494265      0.7636692317383076
3.81E9                   0.31233068656033436      0.7375854182399767
3.84E9                   0.3754323519181284       0.7058882207246717
3.87E9                   0.4353937575463405       0.668846200278447
3.9E9                    0.4917694713084624       0.6267663861963524
3.93E9                   0.5441434396220995       0.5799917898835472
3.96E9                   0.5921316915873275       0.5288987645237151
3.99E9                   0.6353848702915688       0.4738941997638435
4.02E9                   0.6735905865631203       0.4154125325630569
4.05E9                   0.7064755720728254       0.3539125576118267
4.08E9                   0.7338075943738549       0.28987403273000123
4.11E9                   0.7553970907140389       0.22379409211722662
4.14E9                   0.7710984811730012       0.15618349784815835
4.17E9                   0.7808111328395058       0.08756277301101746
4.2E9                    0.784479961675406        0.018458265628083222
4.23E9                   0.7820956731852352       -0.050601808906159756
4.26E9                   0.7736946539186231       -0.11909130616477533
4.29E9                   0.7593585313498036       -0.18649004071990657
4.32E9                   0.7392134197890852       -0.2522876020596276
4.35E9                   0.7134288661978918       -0.3159870828009069
4.38E9                   0.6822165044422278       -0.3771087058531436
4.41E9                   0.6458284221584514       -0.4351933355198718
4.44E9                   0.6045552425062735       -0.48980585361939943
4.47E9                   0.558723924219285        -0.5405383772381374
4.5E9                    0.5086952869816778       -0.5870132912004442
4.53E9                   0.45486127435791135      -0.6288860666698902
4.56E9                   0.39764197224639874      -0.6658478377271346
4.59E9                   0.3374824063091373       -0.697627710271544
4.62E9                   0.27484914626273443      -0.7239947819597826
4.65E9                   0.21022674743936565      -0.7447598576425171
4.68E9                   0.1441140599895075       -0.7597768508726566
4.71E9                   0.07702043335735348      -0.7689438670114571
4.74E9                   0.00946183921586865      -0.772203965616122
4.77E9                   -0.058043068114183076    -0.7695455982975047
4.8E9                    -0.12497693600389007     -0.7610027137939931
4.83E9                   -0.19082772167032191     -0.746654517001483
4.86E9                   -0.255092695891325       -0.7266248661580457
4.89E9                   -0.31728240455317425     -0.7010812946183975
4.92E9                   -0.37692454194566793     -0.6702336511613671
4.95E9                   -0.4335676850728889      -0.6343323642486944
4.98E9                   -0.48678483873542966     -0.5936663487559025
5.01E9                   -0.5361767469793656      -0.5485605858474324
5.04E9                   -0.58137493679363        -0.49937341563264087
5.07E9                   -0.6220444729116341      -0.44649358619861057
5.1E9                    -0.6578864158304694      -0.39033710032446306
5.13E9                   -0.6886399850952585      -0.3313438928841874
5.16E9                   -0.71408443323213        -0.2699743598406977
5.19E9                   -0.7340406304524981      -0.20670574857115206
5.22E9                   -0.7483723481212555      -0.14202841468777724
5.25E9                   -0.7569872156330997      -0.07644195653944774
5.28E9                   -0.759837318581996       -0.010451254228876494
5.31E9                   -0.7569194114693132      0.05543754138279488
5.34E9                   -0.7482747352027418      0.12072101150387311
5.37E9                   -0.7339884515002257      0.18490240563770294
5.4E9                    -0.7141887238711466      0.24749546487186835
5.43E9                   -0.6890454817004894      0.3080281043049474
5.46E9                   -0.6587688993490247      0.36604594361338916
5.49E9                   -0.6236076103158621      0.4211156840040305
5.52E9                   -0.5838466634121781      0.4728283298911853
5.55E9                   -0.5398052183990599      0.5208022463524424
5.58E9                   -0.49183397529469297     0.5646860321590731
5.61E9                   -0.4403123348879052      0.6041611764226664
5.64E9                   -0.3856452975399197      0.6389444572353971
5.67E9                   -0.32826012187846987     0.6687900357192472
5.7E9                    -0.2686027826425207      0.6934912011207552
5.73E9                   -0.2071342836210259      0.7128817341536776
5.76E9                   -0.14432689160956577     0.7268368760557852
5.79E9                   -0.08066035504918007     0.7352739147910146
5.82E9                   -0.016618155754638764    0.7381524186264437
5.85E9                   0.0473161800973621       0.735474153238524
5.88E9                   0.11066270458393018      0.7272827101760696
5.91E9                   0.17294860461990036      0.7136628582587502
5.94E9                   0.23371168809743725      0.694739614854653
5.97E9                   0.2925037829821392       0.6706770276096266
6.0E9                    0.34889402055715313      0.6416766600937933
