% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 28 2022, 20:57
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5651794447881067       -0.7578080747475548
330000000                0.4934768821998791       -0.8050348708076824
360000000                0.41797345045766454      -0.8456016502664545
390000000                0.3392618363544417       -0.8792004854453168
420000000                0.25796443582150275      -0.9055750692178484
450000000                0.174727868927463        -0.9245240522010061
480000000                0.09021740205159895      -0.9359036741864302
510000000                0.00511127148077204      -0.9396297516296992
540000000                -0.07990508307249851     -0.935679055237139
570000000                -0.16414484778702879     -0.9240900941178967
600000000                -0.24692569581726193     -0.9049633154405088
630000000                -0.32757563761449576     -0.8784607248133324
660000000                -0.40543881607721277     -0.844804932777196
690000000                -0.479881198194382       -0.8042776343352607
720000000                -0.5502961108267161      -0.7572175325884017
750000000                -0.6161095701162831      -0.7040177208050599
780000000                -0.6767853504192793      -0.6451225436309918
810000000                -0.7318297418644503      -0.5810239626731862
840000000                -0.78079594637647        -0.5122574575584369
870000000                -0.8232880641694051      -0.43939749996689337
900000000                -0.8589646277150808      -0.3630526420035436
930000000                -0.8875416427815678      -0.28386026730111935
960000000                -0.9087951026242895      -0.20248105644263387
990000000                -0.9225629467515195      -0.11959322250297827
1020000000               -0.9287464418263709      -0.03588657680069681
1050000000               -0.9273109697279184      0.047943514406276075
1080000000               -0.9182862144292946      0.13120221853709363
1110000000               -0.9017657469740894      0.2132013071748009
1140000000               -0.8779060151349122      0.2932651448560087
1170000000               -0.846924751562437       0.37073653478734336
1200000000               -0.8090988211834464      0.44498236152128
1230000000               -0.764761535302095       0.5153989743086549
1260000000               -0.7142994656076369      0.5814172590353839
1290000000               -0.6581487970682399      0.6425073506671527
1320000000               -0.596791262959221       0.6981829442000266
1350000000               -0.5307497095064976      0.7480051671750151
1380000000               -0.4605833403117132      0.7915859834337771
1410000000               -0.3868826933399815      0.8285911035557343
1440000000               -0.31026440408684036     0.8587423842803947
1470000000               -0.23136580950291377     0.8818197050494305
1500000000               -0.15083944668421623     0.8976623162249808
1530000000               -0.06934749937745757     0.9061696592531073
1560000000               0.012443756202562462     0.9073016645062529
1590000000               0.09386945698191536      0.901078537639868
1620000000               0.1742715638854911       0.8875800498166133
1650000000               0.2530041340289886       0.8669443511561143
1680000000               0.3294384148265735       0.839366330244761
1710000000               0.4029677230133231       0.8050955454951971
1740000000               0.4730120762239629       0.7644337564601552
1770000000               0.5390225478308356       0.7177320851382094
1800000000               0.6004853198843634       0.6653878385963806
1830000000               0.6569254121571593       0.6078410253659438
1860000000               0.7079100692717539       0.5455705983661012
1890000000               0.753051790766693        0.47909045760102426
1920000000               0.7920109924307621       0.408945245639067
1950000000               0.8244982902405887       0.33570596850511614
1980000000               0.8502764011419942       0.25996547399052344
2010000000               0.8691616578030505       0.18233381839938503
