% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 7 2022, 17:27
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.4522400360024234       -0.7313093139405121
330000000                0.3782137662309566       -0.7690116311628556
360000000                0.3012713077854633       -0.7994580394485937
390000000                0.22208823174075507      -0.8224161609499743
420000000                0.14136548103289517      -0.8377194354016079
450000000                0.05982089678295264      -0.8452691876471449
480000000                -0.021818769564403342    -0.845035863200137
510000000                -0.10282550952826171     -0.8370594783239036
540000000                -0.18247743922495854     -0.8214493201887042
570000000                -0.2600659230653232      -0.7983829281066166
600000000                -0.3349024253026106      -0.7681043862554143
630000000                -0.40632506110518984     -0.7309219593868993
660000000                -0.47370480798951936     -0.6872051063271307
690000000                -0.5364513365928971      -0.6373809092450291
720000000                -0.5940184178114829      -0.5819299607497895
750000000                -0.6459088648551922      -0.5213817546267308
780000000                -0.6916789708359992      -0.4563096302115639
810000000                -0.7309424069352564      -0.3873253232607232
840000000                -0.7633735498440684      -0.31507317997131845
870000000                -0.7887102128360516      -0.24022409288034124
900000000                -0.8067557600242434      -0.16346921972475414
930000000                -0.8173805893675159      -0.08551354767173236
960000000                -0.8205229759135539      -0.007069366303361153
990000000                -0.8161892730386717      0.07115028694535604
1020000000               -0.8044534756338652      0.14843814607466424
1050000000               -0.7854561552155396      0.22409913800967862
1080000000               -0.7594027830278183      0.29745664615325634
1110000000               -0.7265614628904299      0.3678585576713973
1140000000               -0.6872601010483899      0.4346830391476781
1170000000               -0.6418830453951541      0.4973439886518507
1200000000               -0.5908672312076549      0.5552961159
1230000000               -0.5346978746892775      0.6080396067614764
1260000000               -0.4739037595839216      0.6551243325938025
1290000000               -0.40905216526114174     0.696153570121544
1320000000               -0.3407434873819039      0.7307872027154486
1350000000               -0.26960560457433        0.7587443791535086
1380000000               -0.19628804596779387     0.7798056116626106
1410000000               -0.12145601554488082     0.7938143004991564
1440000000               -0.045784329754414446    0.8006776779334784
1470000000               0.0300486753764293       0.8003671700803046
1500000000               0.10536721189888852      0.792918180414259
1530000000               0.17950402788370248      0.7784293041178268
1560000000               0.25180626279052165      0.757060987497534
1590000000               0.32164111946608237      0.7290336515448462
1620000000               0.38840130458381616      0.6946253032999873
1650000000               0.4515101922162325       0.6541686629526067
1680000000               0.5104266685908018       0.6080478385377225
1710000000               0.5646496197054125       0.5566945836747159
1740000000               0.6137220274342141       0.5005841770217788
1770000000               0.6572346441437138       0.44023096487607005
1800000000               0.6948292202532702       0.37618361082390805
