% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 7 2022, 17:37
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.4969592686044626       -0.7902648451144327
330000000                0.41658560548241436      -0.8327211444045096
360000000                0.3328239595633967       -0.8671944532651863
390000000                0.24642794262636158      -0.8934181151356244
420000000                0.1581793364327213       -0.9111957333949872
450000000                0.06887952794118864      -0.9204048554387003
480000000                -0.02065896427700853     -0.9209993382518576
510000000                -0.10962086014291472     -0.9130105750375496
540000000                -0.19719635176470673     -0.8965476993588603
570000000                -0.2825891550017774      -0.8717968494787247
600000000                -0.3650243247207299      -0.8390195573724901
630000000                -0.4437557754342602      -0.7985503183413826
660000000                -0.5180734472750752      -0.7507933941019981
690000000                -0.5873100577853199      -0.6962189023714639
720000000                -0.6508473818627223      -0.6353582480299101
750000000                -0.7081220058702735      -0.5687989538682394
780000000                -0.758630505904262       -0.4971789525175182
810000000                -0.8019340060054465      -0.4211804041977102
840000000                -0.8376620773444371      -0.3415231087098782
870000000                -0.8655159466137374      -0.2589575822875706
900000000                -0.885270988333859       -0.17425787240259838
930000000                -0.8967784831889811      -0.08821418527319956
960000000                -0.8999666319003112      -0.001625401456398476
990000000                -0.8948408217047263      0.0847084446483391
1020000000               -0.8814831500233844      0.16999364660613614
1050000000               -0.8600512172829989      0.2534501952213579
1080000000               -0.8307762080810197      0.33431896382608617
1110000000               -0.7939602867705798      0.4118686409909489
1140000000               -0.7499733401316302      0.485402345287835
1170000000               -0.699249105857306       0.5542638612250682
1200000000               -0.6422807311261037      0.617843439994236
1230000000               -0.5796158107262314      0.6755831137365883
1260000000               -0.5118509583466507      0.7269814780503484
1290000000               -0.43962596874083837     0.7715979029924349
1320000000               -0.36361763118798796     0.8090561395725113
1350000000               -0.28453325756552605     0.8390472947236152
1380000000               -0.2031039895152257      0.8613321548612902
1410000000               -0.1200779506934163      0.8757428443744284
1440000000               -0.03621331001148427     0.8821838123356964
1470000000               0.04772867810901023      0.8806321470517725
1500000000               0.13099059192146909      0.8711372246809614
1530000000               0.2128256555636746       0.8538197041658183
1560000000               0.2925043863903241       0.8288698867667273
1590000000               0.36932101787855026      0.7965454640315565
1620000000               0.44259964321771045      0.7571686832844985
1650000000               0.5117000277269721       0.711122964652581
1680000000               0.5760230428789136       0.6588490080207112
1710000000               0.6350156788525134       0.6008404323151432
1740000000               0.6881755972946373       0.5376389931409072
1770000000               0.735055191299821        0.46982942773246705
1800000000               0.7752651248621171       0.3980339788136475
1830000000               0.808477329911294        0.32290665094394994
1860000000               0.8344274452128808       0.24512725421446732
1890000000               0.852916687862399        0.1653952909388392
1920000000               0.863813155241521        0.08442374040289513
1950000000               0.8670525627144934       0.0029327953298890256
1980000000               0.862638430450901        -0.07835640014473966
2010000000               0.8506417408635951       -0.1587279675086992
2040000000               0.8312000956573741       -0.23747743335313062
2070000000               0.8045164061274541       -0.31391777540398424
2100000000               0.7708571478702027       -0.3873853841692336
2130000000               0.730550193469113        -0.4572459813986305
2.16E9                   0.6839821910592367       -0.522900572037741
