% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 7 2022, 20:15
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.4935867745822762       -0.7901946724496502
330000000                0.4130570648754901       -0.832096495142822
360000000                0.32924880265965073      -0.8659929674327183
390000000                0.24291161657675034      -0.8916381387886209
420000000                0.1548209302284489       -0.908853250225146
450000000                0.06577011298492046      -0.9175307705264866
480000000                -0.023437502006121314    -0.9176370593907781
510000000                -0.11199663472068995     -0.9092138360307275
540000000                -0.19910802579494258     -0.8923785787343175
570000000                -0.2839862767820437      -0.8673239484812374
600000000                -0.3658674890972778      -0.8343163111888805
630000000                -0.444016632278063       -0.7936934226003823
660000000                -0.5177345737652548      -0.7458613353981871
690000000                -0.5863647069869096      -0.6912905864263489
720000000                -0.6492991180248386      -0.630511722744267
750000000                -0.705984235803571       -0.5641102269600262
780000000                -0.7559259153884867      -0.4927209052458114
810000000                -0.7986939103675024      -0.4170218036753663
840000000                -0.8339256958221493      -0.3377277215503789
870000000                -0.8613296102770529      -0.25558339261761065
900000000                -0.8806872919295445      -0.1713564068618535
930000000                -0.8918553915617352      -0.08582994713557057
960000000                -0.894766551970859       2.0458479068866765E-4
990000000                -0.8894296511056798      0.08595497766475277
1020000000               -0.8759293135754324      0.1706355818787198
1050000000               -0.8544247023995801      0.2534745694995137
1080000000               -0.8251476099603248      0.33372101270991156
1110000000               -0.7883998739234609      0.41065171301568304
1140000000               -0.7445501503169507      0.4835777169494243
1170000000               -0.6940300818869951      0.5518504582642899
1200000000               -0.6373299054088767      0.614867471052106
1230000000               -0.5749935465008642      0.6720776234723305
1260000000               -0.507613254917776       0.7229858272121025
1290000000               -0.4358238368245599      0.7671571838742246
1320000000               -0.36029654387466103     0.8042205353889371
1350000000               -0.28173268097440934     0.8338713922152436
1380000000               -0.200856996658493       0.8558742192986681
1410000000               -0.11841092055992011     0.8700640666328753
1440000000               -0.03514571330207037     0.8763475374525558
1470000000               0.0481844065443438       0.8747030938143961
1500000000               0.1308290946096829       0.8651807054794729
1530000000               0.21204860962161476      0.8479008541322737
1560000000               0.29112037895444837      0.823052910819396
1590000000               0.36734534320270584      0.7908929100130941
1620000000               0.4400540253896974       0.7517407488738328
1650000000               0.5086122739340002       0.7059768451225619
1680000000               0.572426632420953        0.6540382913363976
1710000000               0.6309492937833149       0.5964145473780792
1740000000               0.6836826007864968       0.5336427164164168
1770000000               0.7301830602883875       0.4663024527450298
1800000000               0.7700648435576412       0.39501055252729445
1830000000               0.8030027510080011       0.32041528043817885
1860000000               0.8287346256253759       0.24319048673704824
1890000000               0.8470632059437002       0.1640295700497541
1920000000               0.8578574164611361       0.08363934113803798
1950000000               0.8610531011930083       0.002733841268845264
1980000000               0.8566532143412204       -0.07797183420099925
2010000000               0.8447274909593973       -0.15776766288383132
2040000000               0.8254116290739759       -0.23595473929797572
2070000000               0.7989060211310254       -0.3118512192559173
2100000000               0.7654740726283713       -0.3847981739588329
2130000000               0.7254401313098647       -0.4541653987933689
2.16E9                   0.6791870075093407       -0.5193572632314981
2.19E9                   0.6271529769460038       -0.5798187185836364
2.22E9                   0.5698280074768322       -0.6350415579141911
2.25E9                   0.5077487593815121       -0.6845708723205797
2.28E9                   0.44149177795820266      -0.7280112815840037
2.31E9                   0.3716644610350736       -0.7650319310008658
2.34E9                   0.2988941336600714       -0.7953687038707753
2.37E9                   0.22381690559249512      -0.8188222377336024
2.4E9                    0.14706916869220396      -0.8352517812261371
2.43E9                   0.06928423309645186      -0.8445673308594039
2.46E9                   -0.00890589779305131     -0.8467240238728184
2.49E9                   -0.08686668931568704     -0.8417216518319347
2.52E9                   -0.163959283214745       -0.8296089713031813
2.55E9                   -0.23954309224714612     -0.8104898749921303
2.58E9                   -0.31298239888572427     -0.7845282514238203
2.61E9                   -0.3836550016183986      -0.7519498927103604
2.64E9                   -0.45096097776128174     -0.713041456562208
2.67E9                   -0.5143304489080748      -0.668147319767288
2.7E9                    -0.5732300190157834      -0.6176652309990872
2.73E9                   -0.6271679908350928      -0.5620414013857288
2.76E9                   -0.675698602536341       -0.5017653761804924
2.79E9                   -0.7184255065419479      -0.43736482959804013
2.82E9                   -0.7550046445294397      -0.3694003204875721
2.85E9                   -0.7851466074855269      -0.29846000663781747
2.88E9                   -0.8086185235079013      -0.2251543087854042
2.91E9                   -0.8252454880237847      -0.15011052279864592
2.94E9                   -0.8349115367478849      -0.07396738933266957
2.97E9                   -0.8375601558909385      0.002630359167768432
3.0E9                    -0.8331943236998859      0.0790374459270926
3.03E9                   -0.8218760799611478      0.15461345741199584
3.06E9                   -0.8037256244262919      0.2287281725299876
3.09E9                   -0.7789199503563873      0.3007667731774044
3.12E9                   -0.7476910249763182      0.37013489529297444
3.15E9                   -0.7103235339509593      0.4362634814921458
3.18E9                   -0.6671522115803793      0.4986133991539822
3.21E9                   -0.6185587814218274      0.5566797923075365
3.24E9                   -0.5649685331945984      0.6099961402641476
3.27E9                   -0.5068465608110031      0.6581380000004254
3.3E9                    -0.444693683474777       0.7007264117080637
3.33E9                   -0.37904206827953524     0.7374309463140829
3.36E9                   -0.31045056962937273     0.7679723701024636
3.39E9                   -0.23949980035749105     0.7921248945305431
3.42E9                   -0.1667869532516001      0.8097179701586774
3.45E9                   -0.09292040119973972     0.8206375743477375
3.48E9                   -0.018514120526819333    0.8248269355818396
3.51E9                   0.055817996093905725     0.8222866369039995
3.54E9                   0.12946784543020762      0.8130740501455253
3.57E9                   0.20183872282723403      0.7973020738744391
3.6E9                    0.2723507037600003       0.7751371805342712
3.63E9                   0.340445664446275        0.7467968178383227
3.66E9                   0.4055918221833883       0.7125462486394846
3.69E9                   0.4672877029770781       0.6726949449108388
3.72E9                   0.5250654787046759       0.6275926709744222
3.75E9                   0.5784936515224021       0.5776254003540551
3.78E9                   0.6271790988184013       0.5232112138319622
3.81E9                   0.6707685316818761       0.4647963249763709
3.84E9                   0.7089494683302058       0.40285136724388704
3.87E9                   0.7414508775249673       0.33786804158907935
3.9E9                    0.7680436898949878       0.27035615590822043
3.93E9                   0.7885413831780999       0.2008409926233274
3.96E9                   0.8028008023064968       0.12986084198549197
3.99E9                   0.8107232781655299       0.05796447049107167
4.02E9                   0.8122559841679877       -0.014291715163560856
4.05E9                   0.8073933561922502       -0.08634699049226356
4.08E9                   0.7961783341803841       -0.15764019723498693
4.11E9                   0.7787031798761742       -0.22761414272362643
4.14E9                   0.755109679150645        -0.2957203672743078
4.17E9                   0.7255886266504415       -0.3614240753262457
4.2E9                    0.6903785865737458       -0.42420901997083016
4.23E9                   0.6497640013460025       -0.4835821672029552
4.26E9                   0.6040727645183452       -0.5390780276659156
4.29E9                   0.553673381498788        -0.5902626091049459
4.32E9                   0.49897181875385466      -0.6367369937905454
4.35E9                   0.44040810306069605      -0.6781405710604997
4.38E9                   0.3784526936907561       -0.7141539545603841
4.41E9                   0.3136026247749053       -0.744501594191771
4.44E9                   0.24637740820426296      -0.768954065819324
4.47E9                   0.1773146975893658       -0.7873299985527032
4.5E9                    0.10696573472276044      -0.7994975867856263
4.53E9                   0.03589062433728323      -0.805375634365279
4.56E9                   -0.035346495048048966    -0.8049340900517393
4.59E9                   -0.10618230117230941     -0.7981940543656862
4.62E9                   -0.17605907050559857     -0.7852272647049147
4.65E9                   -0.2444293116212366      -0.7661550938863627
4.68E9                   -0.31076018836924346     -0.741147120632355
4.71E9                   -0.37453770241474094     -0.7104193413801774
4.74E9                   -0.4352706378629755      -0.6742320851655289
4.77E9                   -0.4924942940047922      -0.6328876673267295
4.8E9                    -0.5457740350869295      -0.5867277818441303
4.83E9                   -0.5947086650096075      -0.5361306009133489
4.86E9                   -0.6389335969091703      -0.48150753821148373
4.89E9                   -0.678123747455142       -0.42329964594867775
4.92E9                   -0.7119960584695099      -0.3619736520580156
4.95E9                   -0.7403115443950607      -0.298017691260183
4.98E9                   -0.7628767847467176      -0.23193682923517214
5.01E9                   -0.779544821895263       -0.16424851103400218
5.04E9                   -0.7902154782091659      -0.09547807526077134
5.07E9                   -0.7948351621871119      -0.026154459973881484
5.1E9                    -0.7933962780775847      0.043193816033705035
5.13E9                   -0.7859363731635471      0.11204237577766847
5.16E9                   -0.7725371398081237      0.17987445775313568
5.19E9                   -0.7533233341583376      0.246184237898507
5.22E9                   -0.728461595737417       0.3104801049895425
5.25E9                   -0.6981590835857274      0.37228795101843265
5.28E9                   -0.6626618191044948      0.43115445812778735
5.31E9                   -0.6222526596397442      0.4866502844928402
5.34E9                   -0.5772489058585678      0.5383730134453808
5.37E9                   -0.5279996310378788      0.5859497532011574
5.4E9                    -0.4748828704415871      0.6290393461403987
5.43E9                   -0.4183028029977681      0.6673342317954867
5.46E9                   -0.3586870030566443      0.7005620692167147
5.49E9                   -0.2964837637064231      0.7284872414566518
5.52E9                   -0.23215942418842356     0.7509123378907838
5.55E9                   -0.1661955920016924      0.7676796536733137
5.58E9                   -0.09908614241923282     0.7786726785713545
5.61E9                   -0.03133390210878151     0.783817485587724
5.64E9                   0.03655302635946427      0.7830838846255928
5.67E9                   0.10406527390689072      0.7764861875928483
5.7E9                    0.1706964479924361       0.7640834478197078
5.73E9                   0.23594744673871554      0.7459790930933836
5.76E9                   0.29933065701352285      0.7223199594197405
5.79E9                   0.3603738805827037       0.693294824045019
5.82E9                   0.4186239141118169       0.6591325924033673
5.85E9                   0.4736498064316729       0.6201002871377681
5.88E9                   0.5250458843788801       0.5765009231546259
5.91E9                   0.5724346479376637       0.5286712668320322
5.94E9                   0.6154695919270072       0.47697941254401943
5.97E9                   0.6538379448663161       0.4218220891877037
6.0E9                    0.6872632578554558       0.3636216301178561
